gene_symbol	category	note
ACTB	cytosolic loading control	beta-actin; common total lysate loading control; chicken file, edit if FASTA uses alternative GN
GAPDH	cytosolic loading control	glycolytic enzyme; common loading control; chicken file, edit if FASTA uses alternative GN
TUBA1A	cytoskeletal loading control	alpha-tubulin isoform; chicken file, edit if FASTA uses alternative GN
TUBA1B	cytoskeletal loading control	alpha-tubulin isoform; chicken file, edit if FASTA uses alternative GN
TUBA1C	cytoskeletal loading control	alpha-tubulin isoform; chicken file, edit if FASTA uses alternative GN
TUBB	cytoskeletal loading control	beta-tubulin; chicken file, edit if FASTA uses alternative GN
TUBB2A	cytoskeletal loading control	beta-tubulin isoform; chicken file, edit if FASTA uses alternative GN
TUBB2B	cytoskeletal loading control	beta-tubulin isoform; chicken file, edit if FASTA uses alternative GN
TUBB3	cytoskeletal loading control	neuron-enriched beta-tubulin; chicken file, edit if FASTA uses alternative GN
VCL	cytoskeletal/loading marker	vinculin; high-MW loading/control marker; chicken file, edit if FASTA uses alternative GN
HSP90AA1	chaperone/loading marker	HSP90 alpha; chicken file, edit if FASTA uses alternative GN
HSP90AB1	chaperone/loading marker	HSP90 beta; chicken file, edit if FASTA uses alternative GN
HSPA8	chaperone/loading marker	constitutive HSC70; chicken file, edit if FASTA uses alternative GN
HSPA1A	chaperone/stress marker	inducible HSP70; chicken file, edit if FASTA uses alternative GN
RPLP0	ribosomal loading control	acidic ribosomal phosphoprotein P0; chicken file, edit if FASTA uses alternative GN
EEF2	translation/loading marker	eukaryotic elongation factor 2; chicken file, edit if FASTA uses alternative GN
LMNB1	nuclear loading control	lamin B1; chicken file, edit if FASTA uses alternative GN
LMNA	nuclear loading/control marker	lamin A/C; chicken file, edit if FASTA uses alternative GN
H3C1	nuclear/histone loading control	histone H3 cluster member; chicken file, edit if FASTA uses alternative GN
H3C2	nuclear/histone loading control	histone H3 cluster member; chicken file, edit if FASTA uses alternative GN
H2AC1	nuclear/histone loading control	histone H2A cluster member; chicken file, edit if FASTA uses alternative GN
TBP	nuclear loading control	TATA-binding protein; chicken file, edit if FASTA uses alternative GN
PCNA	nuclear/proliferation marker	PCNA; chicken file, edit if FASTA uses alternative GN
VDAC1	mitochondrial loading control	outer mitochondrial membrane marker; chicken file, edit if FASTA uses alternative GN
VDAC2	mitochondrial marker	outer mitochondrial membrane marker; chicken file, edit if FASTA uses alternative GN
COX4I1	mitochondrial loading control	cytochrome c oxidase subunit 4; chicken file, edit if FASTA uses alternative GN
ATP5F1A	mitochondrial loading control	ATP synthase subunit alpha; chicken file, edit if FASTA uses alternative GN
TOMM20	mitochondrial loading control	TOM20; chicken file, edit if FASTA uses alternative GN
SDHA	mitochondrial loading control	succinate dehydrogenase complex subunit A; chicken file, edit if FASTA uses alternative GN
CANX	ER loading control	calnexin; chicken file, edit if FASTA uses alternative GN
CALR	ER marker	calreticulin; chicken file, edit if FASTA uses alternative GN
P4HB	ER marker	protein disulfide-isomerase; chicken file, edit if FASTA uses alternative GN
ATP1A1	plasma membrane marker	sodium/potassium ATPase alpha-1; chicken file, edit if FASTA uses alternative GN
TFRC	membrane/endosomal marker	transferrin receptor; chicken file, edit if FASTA uses alternative GN
H3F3A	nuclear/histone loading control	histone H3.3 alternative symbol often used in chicken annotations
H2AFZ	nuclear/histone loading control	histone H2A.Z alternative symbol often used in avian annotations
