family	mw_kda	gaussian_family_mass	family_member_count
Actin family	0.0	0.0	1073
Actin family	0.25	0.0	1073
Actin family	0.5	0.0	1073
Actin family	0.75	0.0	1073
Actin family	1.0	0.0	1073
Actin family	1.25	0.0	1073
Actin family	1.5	0.0	1073
Actin family	1.75	0.0	1073
Actin family	2.0	0.0	1073
Actin family	2.25	0.0	1073
Actin family	2.5	0.0	1073
Actin family	2.75	0.0	1073
Actin family	3.0	0.0	1073
Actin family	3.25	0.0	1073
Actin family	3.5	0.0	1073
Actin family	3.75	0.0	1073
Actin family	4.0	0.0	1073
Actin family	4.25	0.0	1073
Actin family	4.5	0.0	1073
Actin family	4.75	0.0006759959386736853	1073
Actin family	5.0	0.0029613852583732095	1073
Actin family	5.25	0.007210865129796648	1073
Actin family	5.5	0.016513351526730134	1073
Actin family	5.75	0.03696070251948754	1073
Actin family	6.0	0.075643494715322	1073
Actin family	6.25	0.14748692249790574	1073
Actin family	6.5	0.26968138926240826	1073
Actin family	6.75	0.4663311690525781	1073
Actin family	7.0	0.7650179012070608	1073
Actin family	7.25	1.1899079005623725	1073
Actin family	7.5	1.7593255835313495	1073
Actin family	7.75	2.479030890638044	1073
Actin family	8.0	3.337546193967105	1073
Actin family	8.25	4.30510178080879	1073
Actin family	8.5	5.335317193546944	1073
Actin family	8.75	6.368482654882552	1073
Actin family	9.0	7.3378485908988615	1073
Actin family	9.25	8.178533125738142	1073
Actin family	9.5	8.8326829225424	1073
Actin family	9.75	9.259486999178518	1073
Actin family	10.0	9.445324534245039	1073
Actin family	10.25	9.40744860062041	1073
Actin family	10.5	9.19848228505155	1073
Actin family	10.75	8.898811945892431	1073
Actin family	11.0	8.604682557839126	1073
Actin family	11.25	8.405228843695818	1073
Actin family	11.5	8.3671246335295	1073
Actin family	11.75	8.517484145674764	1073
Actin family	12.0	8.843647102692874	1073
Actin family	12.25	9.30230057012289	1073
Actin family	12.5	9.833562742836243	1073
Actin family	12.75	10.382351324596705	1073
Actin family	13.0	10.910940379802666	1073
Actin family	13.25	11.402210585495133	1073
Actin family	13.5	11.852666552354151	1073
Actin family	13.75	12.26377930445538	1073
Actin family	14.0	12.63594395430091	1073
Actin family	14.25	12.954006249770755	1073
Actin family	14.5	13.208754991103072	1073
Actin family	14.75	13.38855492740802	1073
Actin family	15.0	13.504585487987109	1073
Actin family	15.25	13.592582303323162	1073
Actin family	15.5	13.708870027220755	1073
Actin family	15.75	13.91731223004013	1073
Actin family	16.0	14.272845116219788	1073
Actin family	16.25	14.797846674576338	1073
Actin family	16.5	15.474243722432668	1073
Actin family	16.75	16.241227141494726	1073
Actin family	17.0	17.00659575067982	1073
Actin family	17.25	17.663812058389023	1073
Actin family	17.5	18.12373467715831	1073
Actin family	17.75	18.337704022357787	1073
Actin family	18.0	18.306376343919602	1073
Actin family	18.25	18.098329521657625	1073
Actin family	18.5	17.833134294509843	1073
Actin family	18.75	17.65250694860096	1073
Actin family	19.0	17.697109466263925	1073
