mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
0.0-2.0 kDa	0.0	2.0	10	0	0	1	Histone family			, , AGT, GNRH2,  [Histone family], , ADA2, , NTS, ME1	1.25	routine	1.0	15.98233983793783	3.998406731280638	0.9148485626283368	0.0	0.0	0.964322458978005	0.3114532574083532	31.14532574083532
2.0-4.0 kDa	2.0	4.0	16	0	0	0				NPPC, MLN, EIF5A2, , SCT, AMPD1, GAL, RPN1, , HPX, , CLPS, UBLCP1, SLN, BLACAT1, RPN2	0.8	routine	3.0	42.88012558337239	5.42223722592193	0.9369224845995893	0.0	0.0	0.34950228140650735	0.28270777851030343	28.270777851030342
4.0-6.0 kDa	4.0	6.0	42	0	0	2	Heat shock proteins; Mitochondrial markers			C12orf75, , CRABP2, PYY, , USP49, , , , GLI2, , , , , , , TMSB4B, 	3.6	routine	5.0	157.65970684193977	7.300670186828124	0.9579697125256673	0.0	0.001419401404787612	5.6019648217450335	0.4055178088420767	40.55178088420767
6.0-8.0 kDa	6.0	8.0	189	0	0	2	Heat shock proteins; Mitochondrial markers			, , , PLN, PLN, TOMM5 [Mitochondrial markers], , , , COPS9, , C14orf2 [Mitochondrial markers], LOC107055098, , MT3, , , KCTD9	10.95	elevated	7.0	366.852515270781	8.519056366596622	0.9677874743326489	0.00352164427501235	0.42103437683871564	13.152794276957234	0.47930258629325806	47.930258629325806
8.0-10.0 kDa	8.0	10.0	330	0	4	7	Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway		CDK2AP1, RBMXL1, RBX1	TMEM167A, , PKIA, , , GNG13, , , LOC100859314, GNG12, UBA52, SYNE2, ADM, DEFB4A, ,  [Histone family], , 	27.75	elevated	9.0	687.464881379889	9.425142206203882	0.9769635523613963	0.39596458052076183	4.070415215619599	34.87832571406621	0.6360792270638403	63.60792270638404
10.0-12.0 kDa	10.0	12.0	488	1	5	8	Actin family; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; p53 pathway	VCL	CDK2AP1, CDKAL1, CDKN2A, RBMXL1, SMAD3	LOC418813, LOC121110032, COX7A2 [Mitochondrial markers], SEC61B, , , , LOC100858797, , IFI27L2, VAPB, LOC426913, TCF4, ZPBP1, , IMMP2L [Mitochondrial markers], , GYPC	38.5	elevated	11.0	1012.1297164766526	9.983178485094392	0.9815195071868583	0.85103735081943	6.209395688714212	64.25770822097	0.7108009145857727	71.08009145857727
12.0-14.0 kDa	12.0	14.0	608	1	4	8	Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family	H2AFZ	CCNJL, CDK2AP1, CDK2AP2, MAPK12	, DDTL, LOC431325, SDHAF4 [Mitochondrial markers], TSC22D2, , PTMA, HNRNPK, CHTF8, LOC107055128, UFM1, , LYRM7, IKZF5, IKZF2, , LOC121107576, EMC6	37.0	elevated	13.0	1284.0737572075518	10.326512357917814	0.9857546201232033	0.9576000557909141	8.174663467784853	69.93569801918218	0.7332898958655442	73.32898958655441
14.0-16.0 kDa	14.0	16.0	767	1	16	8	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway	TOMM20	CASP14, CDKN2B, GSKIP, MAP3K7CL, RASL11AL, RBM44, RBP1, RBP2, RBX1, RHOA, TP53I3, TP53TG5	PCBD2, FAM103A1, RPL35A, CYCS [Mitochondrial markers], IMMP2L [Mitochondrial markers], H2A-IX [Histone family], SRP14, IMMP2L [Mitochondrial markers], , MTPN, , LSM7, LOC121107546, NDUFS6 [Mitochondrial markers], , GABARAPL1, , 	55.0	high	15.0	1513.6297965469196	10.563796678892942	0.9878721765913757	1.702122425953	15.079048538130838	77.63225971104504	0.8031800435838281	80.31800435838281
16.0-18.0 kDa	16.0	18.0	828	1	6	9	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; p53 pathway	TOMM20	CASP14, CDK2AP1, CDKN1A, CDKN2C, MAPK8, RBM3	FABP7, PTPN7, , LITAF, , , , PNRC2, , LOC396480, , CASK, , UMAD1, MCFD2, RBM3, LOC121108846, LIN52	40.75	elevated	17.0	1693.5319997690856	10.725819531885069	0.9890272073921971	1.1279346096352698	12.501717384551666	70.5416643940354	0.7596932795694256	75.96932795694255
18.0-20.0 kDa	18.0	20.0	866	1	15	10	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway	GAPDH	BCL2L15, CDK2AP1, CDK8, CDKN1A, GSKIP, MAP3K7CL, MAPK8, RBM3, RBM44, RBPMS2, RHOF, TP53I3	RAMP3, SCT, MMGT1, UBE2I, GCSH [Mitochondrial markers], NDUFAF3, ZCCHC10, C9orf85, NEU3, DR1, , , SFT2D1, GTSF1, , CPLX4, HRASLS, PPP1R17	55.0	high	19.0	1827.685492691912	10.835802118093634	0.9899255646817249	0.9823515234238757	18.71329142703518	72.0453340351192	0.7813169453159473	78.13169453159473
20.0-22.0 kDa	20.0	22.0	965	0	29	10	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; p53 pathway		BCL7A, CCNC, CCNT2, CDK2AP1, CDKN1A, CDKN1B, CDKN2C, MAP3K7CL, MAPK8, PRKRIP1, RBM18, RBM3, RBPMS, RBPMS2, RHOC, RHOF, RHOG, RHOG2, RHOH, TP53, TP53I11	CBFB, , JDP2, RAB22A, GREM2, FSBP, TMX1, ALG14, NTPCR, FAM180A, FAM168B, CLCF1, CRYAB, CGA, RPP25L, SAMD12, , LOC121109670	71.0	high	21.0	1986.752288411133	10.956196290838603	0.9921072895277208	0.25054625844521605	31.000972028795125	93.884670484118	0.7567018435325223	75.67018435325224
22.0-24.0 kDa	22.0	24.0	1038	0	27	9	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; Tubulin family; p53 pathway		CCNC, CDKN1A, CDKN1C, CDKN3, PRKRIP1, RASL10A, RASL10B, RASSF1, RBM18, RBM24, RBM38, RBP4, RHOB, RHOC, RHOD, RHOG2, RHOJ, RHOQ, VEGFA	GATD3AL1, , ORMDL3, VSTM2L,  [Histone family], IL15, PLCXD1, LOC101751545 [Cell-cycle CDK/cyclin], CRYBG3, CLEC3A, GUCA1B, TRNP1, UBE2T, UBE2K, CAMKK1, DTD2, ANKRD22, CLDN19	67.25	high	23.0	2127.0891029042436	11.054664753139622	0.995444045174538	0.240865737420309	33.16557713249066	92.13746798378975	0.7587487368999515	75.87487368999516
24.0-26.0 kDa	24.0	26.0	1045	2	18	9	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; Tubulin family; p53 pathway	GAPDH, PCNA	BCL2, BCL2L1, CCNJ, CDKN1C, PIK3IP1, RASL11A, RASL11AL, RBBP6, RBM24, RBP4L, RHOD, RHOF, RHOV, TP53INP2, VEGFA	, PGLS, ZFAND6, TCTEX1D4, EIF4H, PSMD10, FEV, NUDT16L1, CHMP2B, NKAIN3 [Actin family], MPZL2, TIMP4, AKAP14, IL2RA, HPRT1, CCDC59, GSTK1, LIN54	63.75	high	25.0	2139.1794611200917	11.062841803540678	0.9962140657084189	1.9154227955872423	25.331598262781128	123.100113290886	0.8666396698394002	86.66396698394003
