metric	value
protein_count_analyzed	18372
mw_column	mw_kda
minimum_mw_kda	0.64481488
median_mw_kda	48.70112282999993
mean_mw_kda	65.11790847887883
maximum_mw_kda	3895.525057078744
hard_window_tolerance_kda	2.0
gaussian_sigma_kda	1.0
bin_width_kda	2.0
median_window_candidate_count	799.0
mean_window_candidate_count	658.2210973220117
median_effective_candidate_number	825.4777786732562
mean_effective_candidate_number	679.2443337220678
median_identity_entropy_bits	9.689085568483646
median_nearest_neighbor_gap_kda	0.0022997000000053447
