mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
0.0-2.0 kDa	0.0	2.0	10	5.0	19.618310209249096	19.049343274235206	2.9628811597178655	0.0524033152115409	0.9188911704312115	0.08110882956878851	1.3377650300000001	18.5	18.8	11.661195933943562	11.649865659637019	2.9465500765514587	0.05254593571638224	0.07105925000000002
2.0-4.0 kDa	2.0	4.0	16	8.0	51.30898796306735	48.11890666156732	3.9135471593320865	0.020456703730922142	0.9383983572895277	0.061601642710472304	3.2726444237499996	40.5	41.8125	24.898281493756624	25.70351801145412	3.873631434018961	0.02078366996897442	0.049372999999999445
4.0-6.0 kDa	4.0	6.0	42	21.0	177.65498100063627	191.33578630603563	5.1308232061543135	0.006270267160468993	0.9584188911704312	0.04158110882956878	5.225978958571428	171.5	158.78571428571428	94.41187651346183	89.9437653315022	5.253920296465156	0.005227559916459941	0.017925650000000015
6.0-8.0 kDa	6.0	8.0	189	94.5	387.1551411599106	386.4350378802206	5.935959345740766	0.0027055908927981027	0.9691991786447639	0.030800821355236097	7.087988759365079	368.0	365.2116402116402	237.10988832982187	232.89744404488198	5.956963775971227	0.0025877570664541035	0.003520900000000715
8.0-10.0 kDa	8.0	10.0	330	165.0	708.8528053317481	715.3728815966299	6.55611250059622	0.0014325956023595033	0.9784394250513347	0.021560574948665256	9.155984804545456	686.0	684.4545454545455	436.02117196355505	430.31601670553493	6.572803297564652	0.0013978741290719835	0.002009400000003936
10.0-12.0 kDa	10.0	12.0	488	244.0	1007.2755753863693	1030.4776187009174	6.910837187933263	0.001001211116662753	0.9815195071868583	0.01848049281314168	11.05336853553279	1012.0	985.3872950819672	620.7469187315876	614.4960624119932	6.937777649573645	0.0009704238550622752	0.0014623000000062447
12.0-14.0 kDa	12.0	14.0	608	304.0	1283.8886028424902	1285.8560060239233	7.155183176678885	0.0007827457866161446	0.9861396303901437	0.01386036960985626	13.012564440855272	1257.0	1242.6940789473683	770.6129793179266	773.2697725389313	7.159179924180107	0.0007776920612782679	0.0011645000000033434
14.0-16.0 kDa	14.0	16.0	767	383.5	1522.3614386980114	1516.6938419421747	7.327280247333057	0.0006578422858781128	0.9881930184804928	0.01180698151950721	15.020478090299882	1482.0	1477.5827900912648	950.0633223587945	941.5214939800729	7.324288140880436	0.0006593288456419578	0.0009938999999778986
16.0-18.0 kDa	16.0	18.0	828	414.0	1691.8096989324727	1694.1210187159745	7.433450690597001	0.0005912054892137818	0.9892197125256673	0.010780287474332684	17.030943316473444	1640.0	1641.5809178743962	1027.9360897703427	1027.755697768801	7.434919312276149	0.0005902766030055482	0.0008214999999900385
18.0-20.0 kDa	18.0	20.0	866	433.0	1826.2003438448216	1830.901398794531	7.509575209865112	0.0005480433425203466	0.9902464065708418	0.009753593429158158	19.02591232561202	1743.0	1766.174364896074	1086.6294073383624	1093.4764560199756	7.512563692085901	0.0005461790574352386	0.000782699999994918
20.0-22.0 kDa	20.0	22.0	965	482.5	1987.839597705202	1992.3973789354873	7.594562193007353	0.0005033020481435742	0.992299794661191	0.007700205338808996	21.0247227703627	1923.0	1932.5119170984456	1229.8065862064418	1220.5880610934698	7.597093905666988	0.0005019079078162045	0.0007189000000025203
22.0-24.0 kDa	22.0	24.0	1038	519.0	2117.2429114726765	2128.2064128299344	7.6578027153382635	0.0004723761249109367	0.9948665297741273	0.005133470225872738	22.99637877007708	2073.0	2057.646435452794	1281.6544947744019	1283.2377799763449	7.663034844034613	0.00046987923466344035	0.0006543000000078791
24.0-26.0 kDa	24.0	26.0	1045	522.5	2144.8407051429886	2139.0410858180844	7.670807599067926	0.00046624716594947935	0.9964065708418891	0.0035934291581108946	24.993226873205746	2082.0	2079.131100478469	1310.3798865281424	1309.14415632071	7.668112916854029	0.0004674992016890345	0.0006762999999985198
26.0-28.0 kDa	26.0	28.0	1054	527.0	2124.2964145016454	2116.4704364641016	7.661137302159631	0.00047079919875509706	0.9958932238193019	0.004106776180698102	27.01871407819735	2045.5	2056.9326375711576	1298.3707791992072	1295.1979465603629	7.657505090239269	0.0004724847490284788	0.0006555000000201261
28.0-30.0 kDa	28.0	30.0	977	488.5	2102.5006289068	2103.2676136828754	7.650880345559481	0.00047562634579762555	0.99435318275154	0.0056468172484599455	29.00723363373593	2033.0	2028.8741044012284	1257.9359751323634	1260.1679407559711	7.651247420903346	0.0004754506718472094	0.0006827999999892143
30.0-32.0 kDa	30.0	32.0	1048	524.0	2158.0135547350387	2155.6874625439887	7.676790969831506	0.00046353036156725235	0.9969199178644764	0.0030800821355235763	31.016818166641222	2086.5	2084.960877862595	1298.235480423035	1301.4219083490175	7.675864959235341	0.0004638891390881186	0.0006366000000053162
32.0-34.0 kDa	32.0	34.0	1101	550.5	2318.2520544380614	2312.3252961589083	7.748212261642856	0.0004316666100526216	0.997946611909651	0.002053388090349051	33.01286393158946	2220.0	2237.7420526793826	1400.2786429241569	1400.7656342993037	7.7460089189257575	0.000432465104136143	0.0006412000000111107
34.0-36.0 kDa	34.0	36.0	1253	626.5	2486.7707787518375	2495.920168578481	7.81871525671864	0.0004021481224695485	1.0	0.0	35.038967599632876	2433.0	2427.70790103751	1545.086429733456	1534.1350186096022	7.822412745235232	0.0004006538400503158	0.0005803000000028646
36.0-38.0 kDa	36.0	38.0	1181	590.5	2480.347646469397	2491.7497565746453	7.816125026254376	0.00040319274043075016	0.9994866529774127	0.0005133470225873182	36.95675192987297	2421.0	2409.455546147333	1512.2090774206554	1507.9131620773833	7.8207404561550335	0.0004013244096287897	0.0005239000000187843
38.0-40.0 kDa	38.0	40.0	1121	560.5	2394.9287208939677	2391.326531116458	7.781096628100391	0.00041755906492676396	0.9989733059548255	0.0010266940451745254	38.97219468918821	2305.0	2307.2890276538806	1437.0537455169622	1439.6709330270373	7.779603524891131	0.0004181779388919847	0.0005391000000045665
40.0-42.0 kDa	40.0	42.0	1184	592.0	2354.3730160428904	2363.031142438913	7.763995884243598	0.00042477040638026645	0.9984599589322382	0.0015400410677618437	40.94973350584457	2299.0	2299.826858108108	1453.470593857433	1446.224101429447	7.767700456294559	0.00042318528183672244	0.0005598999999918419
42.0-44.0 kDa	42.0	44.0	1092	546.0	2194.710304888498	2185.0867202276804	7.693535714755338	0.00045588606967852664	0.9974332648870636	0.002566735112936369	42.95587604923074	2104.5	2120.195054945055	1339.4774283876582	1334.0706164419978	7.689410795481896	0.0004576477404974568	0.0006305000000210725
44.0-46.0 kDa	44.0	46.0	959	479.5	2090.375731696313	2086.5951147892006	7.645082573202127	0.0004783986831327484	0.9933264887063655	0.006673511293634471	45.037470059666276	2000.0	2001.5370177267987	1235.1762572227715	1238.768055093966	7.643288884800993	0.0004792496603257051	0.0007369000000139181
46.0-48.0 kDa	46.0	48.0	1065	532.5	2120.0690704494755	2124.9197189460283	7.65919209439446	0.00047169394488902306	0.9953798767967146	0.00462012320328542	47.021233231455355	2072.0	2068.937089201878	1312.5512551750394	1307.1852526573564	7.661489301325345	0.00047060601446910445	0.0006384000000707601
48.0-50.0 kDa	48.0	50.0	1003	501.5	2096.1615702443623	2095.3190085380675	7.647828881216206	0.000477095130223404	0.9938398357289527	0.006160164271047264	48.99144256953135	2030.0	2026.7567298105682	1266.4890192163261	1266.984856105748	7.647461092142681	0.00047725429680405256	0.0007128999999466146
50.0-52.0 kDa	50.0	52.0	976	488.0	2021.2465651326502	2021.1999226891348	7.6113572597295525	0.0004948554891632934	0.9928131416837782	0.007186858316221789	51.01740460961059	1964.0	1958.96618852459	1231.3635872321797	1231.6327911597764	7.611446633969509	0.0004947556108482622	0.0006869999999778997
52.0-54.0 kDa	52.0	54.0	935	467.5	1977.7395602725426	1977.7920951843364	7.589701334370123	0.0005056363540535205	0.9917864476386037	0.008213552361396315	52.95887646502666	1915.0	1913.4245989304814	1180.0399100947207	1186.7967890080695	7.589736398055902	0.0005056143173161974	0.0006748999998080762
54.0-56.0 kDa	54.0	56.0	957	478.5	1940.214149217126	1940.4253204163156	7.5705489730493865	0.0005154118268187531	0.9912731006160165	0.008726899383983522	54.992909299122175	1880.0	1884.0815047021943	1190.0926672068736	1187.7954360044143	7.5706624653563805	0.0005153509333641613	0.000723499999899957
56.0-58.0 kDa	56.0	58.0	915	457.5	1888.3868201573875	1887.3411465841757	7.543421666303053	0.0005296124181722868	0.9907597535934292	0.00924024640657084	56.953325163387895	1820.0	1829.1704918032788	1147.2134569481004	1146.3234199827648	7.5429243168313596	0.0005298459167331039	0.0007642999998722644
