mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
0.0-2.0 kDa,0.0,2.0,10,0,0,1,Histone family,,,", , AGT, GNRH2,  [Histone family], , ADA2, , NTS, ME1",1.25,routine
2.0-4.0 kDa,2.0,4.0,16,0,0,0,,,,"NPPC, MLN, EIF5A2, , SCT, AMPD1, GAL, RPN1, , HPX, , CLPS, UBLCP1, SLN, BLACAT1, RPN2",0.8,routine
4.0-6.0 kDa,4.0,6.0,42,0,0,2,Heat shock proteins; Mitochondrial markers,,,"C12orf75, , CRABP2, PYY, , USP49, , , , GLI2, , , , , , , TMSB4B, ",3.6,routine
6.0-8.0 kDa,6.0,8.0,189,0,0,2,Heat shock proteins; Mitochondrial markers,,,", , , PLN, PLN, TOMM5 [Mitochondrial markers], , , , COPS9, , C14orf2 [Mitochondrial markers], LOC107055098, , MT3, , , KCTD9",10.95,elevated
8.0-10.0 kDa,8.0,10.0,330,0,4,7,Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway,,"CDK2AP1, RBMXL1, RBX1","TMEM167A, , PKIA, , , GNG13, , , LOC100859314, GNG12, UBA52, SYNE2, ADM, DEFB4A, ,  [Histone family], , ",27.75,elevated
10.0-12.0 kDa,10.0,12.0,488,1,5,8,Actin family; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; p53 pathway,VCL,"CDK2AP1, CDKAL1, CDKN2A, RBMXL1, SMAD3","LOC418813, LOC121110032, COX7A2 [Mitochondrial markers], SEC61B, , , , LOC100858797, , IFI27L2, VAPB, LOC426913, TCF4, ZPBP1, , IMMP2L [Mitochondrial markers], , GYPC",38.5,elevated
12.0-14.0 kDa,12.0,14.0,608,1,4,8,Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family,H2AFZ,"CCNJL, CDK2AP1, CDK2AP2, MAPK12",", DDTL, LOC431325, SDHAF4 [Mitochondrial markers], TSC22D2, , PTMA, HNRNPK, CHTF8, LOC107055128, UFM1, , LYRM7, IKZF5, IKZF2, , LOC121107576, EMC6",37.0,elevated
14.0-16.0 kDa,14.0,16.0,767,1,16,8,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,TOMM20,"CASP14, CDKN2B, GSKIP, MAP3K7CL, RASL11AL, RBM44, RBP1, RBP2, RBX1, RHOA, TP53I3, TP53TG5","PCBD2, FAM103A1, RPL35A, CYCS [Mitochondrial markers], IMMP2L [Mitochondrial markers], H2A-IX [Histone family], SRP14, IMMP2L [Mitochondrial markers], , MTPN, , LSM7, LOC121107546, NDUFS6 [Mitochondrial markers], , GABARAPL1, , ",55.0,high
16.0-18.0 kDa,16.0,18.0,828,1,6,9,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; p53 pathway,TOMM20,"CASP14, CDK2AP1, CDKN1A, CDKN2C, MAPK8, RBM3","FABP7, PTPN7, , LITAF, , , , PNRC2, , LOC396480, , CASK, , UMAD1, MCFD2, RBM3, LOC121108846, LIN52",40.75,elevated
18.0-20.0 kDa,18.0,20.0,866,1,15,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,GAPDH,"BCL2L15, CDK2AP1, CDK8, CDKN1A, GSKIP, MAP3K7CL, MAPK8, RBM3, RBM44, RBPMS2, RHOF, TP53I3","RAMP3, SCT, MMGT1, UBE2I, GCSH [Mitochondrial markers], NDUFAF3, ZCCHC10, C9orf85, NEU3, DR1, , , SFT2D1, GTSF1, , CPLX4, HRASLS, PPP1R17",55.0,high
20.0-22.0 kDa,20.0,22.0,965,0,29,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; p53 pathway,,"BCL7A, CCNC, CCNT2, CDK2AP1, CDKN1A, CDKN1B, CDKN2C, MAP3K7CL, MAPK8, PRKRIP1, RBM18, RBM3, RBPMS, RBPMS2, RHOC, RHOF, RHOG, RHOG2, RHOH, TP53, TP53I11","CBFB, , JDP2, RAB22A, GREM2, FSBP, TMX1, ALG14, NTPCR, FAM180A, FAM168B, CLCF1, CRYAB, CGA, RPP25L, SAMD12, , LOC121109670",71.0,high
