family	mw_kda	gaussian_family_mass	family_member_count
Mitochondrial markers	0.0	0.0	622
Mitochondrial markers	0.25	0.0	622
Mitochondrial markers	0.5	0.0	622
Mitochondrial markers	0.75	0.0	622
Mitochondrial markers	1.0	0.0	622
Mitochondrial markers	1.25	0.0	622
Mitochondrial markers	1.5	0.000779666585082953	622
Mitochondrial markers	1.75	0.0019458205491876713	622
Mitochondrial markers	2.0	0.005927085041751364	622
Mitochondrial markers	2.25	0.015033585481105552	622
Mitochondrial markers	2.5	0.034099204137316506	622
Mitochondrial markers	2.75	0.0714949304225564	622
Mitochondrial markers	3.0	0.1422277930926767	622
Mitochondrial markers	3.25	0.26761171613426243	622
Mitochondrial markers	3.5	0.4795239416202338	622
Mitochondrial markers	3.75	0.8177584168338375	622
Mitochondrial markers	4.0	1.3269904988932182	622
Mitochondrial markers	4.25	2.0510268993024474	622
Mitochondrial markers	4.5	3.026572050046543	622
Mitochondrial markers	4.75	4.268480668645525	622
Mitochondrial markers	5.0	5.765514812369	622
Mitochondrial markers	5.25	7.477913693595339	622
Mitochondrial markers	5.5	9.345717842504499	622
Mitochondrial markers	5.75	11.29758561459994	622
Mitochondrial markers	6.0	13.279800873233338	622
Mitochondrial markers	6.25	15.264603340183534	622
Mitochondrial markers	6.5	17.26001456707283	622
Mitochondrial markers	6.75	19.297079653814485	622
Mitochondrial markers	7.0	21.417891115028777	622
Mitochondrial markers	7.25	23.65442390743198	622
Mitochondrial markers	7.5	26.009735786566775	622
Mitochondrial markers	7.75	28.454528098483483	622
Mitochondrial markers	8.0	30.92728837124884	622
Mitochondrial markers	8.25	33.34261610632934	622
Mitochondrial markers	8.5	35.599516792444106	622
Mitochondrial markers	8.75	37.587912861293894	622
Mitochondrial markers	9.0	39.19470540148679	622
Mitochondrial markers	9.25	40.32474461916071	622
Mitochondrial markers	9.5	40.9108187454572	622
Mitochondrial markers	9.75	40.92727180613753	622
Mitochondrial markers	10.0	40.40259736444129	622
Mitochondrial markers	10.25	39.416668607292266	622
Mitochondrial markers	10.5	38.0915952302761	622
Mitochondrial markers	10.75	36.56886810351452	622
Mitochondrial markers	11.0	34.98128162240881	622
Mitochondrial markers	11.25	33.426922757285794	622
Mitochondrial markers	11.5	31.946852904173774	622
Mitochondrial markers	11.75	30.52996836053022	622
Mitochondrial markers	12.0	29.130516292499642	622
Mitochondrial markers	12.25	27.69395181190771	622
Mitochondrial markers	12.5	26.195023060358103	622
Mitochondrial markers	12.75	24.66215319700828	622
Mitochondrial markers	13.0	23.17806466813963	622
Mitochondrial markers	13.25	21.858697555913537	622
Mitochondrial markers	13.5	20.811583564769357	622
Mitochondrial markers	13.75	20.105775132999902	622
Mitochondrial markers	14.0	19.734136195685466	622
Mitochondrial markers	14.25	19.63097140362675	622
Mitochondrial markers	14.5	19.690081165303496	622
Mitochondrial markers	14.75	19.80906504488862	622
Mitochondrial markers	15.0	19.926143549102694	622
Mitochondrial markers	15.25	20.043033542427263	622
Mitochondrial markers	15.5	20.216629182413904	622
Mitochondrial markers	15.75	20.532905670183453	622
Mitochondrial markers	16.0	21.058421190953776	622
Mitochondrial markers	16.25	21.807313335812083	622
Mitochondrial markers	16.5	22.728774003103485	622
Mitochondrial markers	16.75	23.723393367455373	622
Mitochondrial markers	17.0	24.668720275019748	622
Mitochondrial markers	17.25	25.457800154460433	622
Mitochondrial markers	17.5	26.031062545587332	622
Mitochondrial markers	17.75	26.382905230513323	622
Mitochondrial markers	18.0	26.544455271805845	622
