mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
0.0-2.0 kDa	0.0	2.0	12	0	0	0				MGMT, , , , , HOOK3, , , , , , 	0.6	routine	1.0	39.291354145697134	5.296139984893596	0.7978569359976831	0.0	0.0	0.0004969661404832212	0.20206840066608744	20.206840066608745
2.0-4.0 kDa	2.0	4.0	43	0	0	0				, , , , , , , , , , , , , , , , , 	2.15	routine	3.0	75.31453261454405	6.234856367593361	0.8265276571097596	0.0	0.009017893758277525	0.36158628909591783	0.28518345324425554	28.518345324425553
4.0-6.0 kDa	4.0	6.0	54	0	0	2	Actin family; Mitochondrial markers			, , DEFB12, OST4, DEFB1, DEFB8, DEFB13, , , , DEFB2, TMSB10, DEFB6,  [Actin family], GIP, ASNSD1, , TMSB4	4.2	routine	5.0	172.07088950167724	7.4268592364620405	0.8702577468867652	0.0	0.6767369151504087	9.072973604850272	0.46699711888405476	46.699711888405474
6.0-8.0 kDa	6.0	8.0	195	0	2	6	Actin family; Heat shock proteins; Histone family; JAK-STAT; Mitochondrial markers; NF-kB/Rel		RELN, STATH	MT2A, TOMM5 [Mitochondrial markers], CYFIP1 [Actin family], DEFB9, PLN, LOC613358, RELN [NF-kB/Rel], PMAIP1, PLN, , ZG16B, LOC768319, SMIM30,  [Mitochondrial markers], COPS9, TOMM7 [Mitochondrial markers], MT4, 	17.25	elevated	7.0	368.4441600723985	8.52530217655504	0.9058789458441935	0.0	1.6438130782834248	29.043723656781296	0.5588517214204989	55.88517214204989
8.0-10.0 kDa	8.0	10.0	280	0	0	6	Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; p53 pathway			, CCDC179, UQCC6 [Mitochondrial markers], SMLR1, PKIA, LOC107131456, , SPAAR, , SMIM45, GTF2H5, GNG12, BBIP1 [Actin family], TMEM167A, LOC101904690, SMIM42, PIGY, NDUFA1	18.5	elevated	9.0	651.0584548344922	9.3466432703605	0.9351288734433826	0.0	0.22802231359132236	54.57807790755535	0.5058539531961651	50.58539531961651
10.0-12.0 kDa	10.0	12.0	493	0	1	5	Actin family; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers		RBIS	, OTOS, , LOC132342861, CENPW, LOC132343303, ACBD7, , , DBI,  [Mitochondrial markers], BANF1, CCL5, LOC112444288, SRP9, MLLT11, GNRH1, 	25.25	elevated	11.0	884.8778592045837	9.789334521715384	0.9432377642629598	0.0	1.4635760558989261	56.64195753492293	0.5766085801649621	57.660858016496206
12.0-14.0 kDa	12.0	14.0	468	0	3	5	Actin family; Cell-cycle CDK/cyclin; Histone family; Mitochondrial markers; Tubulin family		CDK2AP2, CDKN2AIPNL, RBIS	ADM5, DNAL4, , , PSENEN, EMC6, WDR83OS, , CLPS, GHRH, POLE4, , PTMA, COX6A1 [Mitochondrial markers], , PVALB, TMEM273, LOC781576	28.25	elevated	13.0	1025.6959301024176	10.002387388754459	0.9536634810309875	0.0043481942340833505	3.7739574112096737	60.03059408828895	0.6406319237590097	64.06319237590097
14.0-16.0 kDa	14.0	16.0	518	0	5	5	Actin family; Cell-cycle CDK/cyclin; Histone family; Mitochondrial markers; p53 pathway		CDKN2B, GSKIP, RBP1, RBP2, RBP5	, TMEM262, , , , , , H2AJ [Histone family], , CDKN2B [Cell-cycle CDK/cyclin], LOC132343308, , GABARAPL1, , , BATF, LOC514876, LLCFC1	31.25	elevated	15.0	1077.8244457419862	10.073906498111945	0.9666956269910223	0.4307438510469243	4.743947895216713	78.37574522765182	0.7519687207024646	75.19687207024646
16.0-18.0 kDa	16.0	18.0	573	1	5	7	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; MAPK cascade; Mitochondrial markers	TOMM20	BCL2L15, CDKN2A, CDKN2D, MAP3K7CL, RBM3	PLA2G2E, PLA2G1B, COTL1, JPT1, , C1D, LOC100296105, LAMTOR3, , , , MRPL27, , SEC61B, CNIH4, TMEM18, RPS19, HBE1	37.75	high	17.0	1073.471190237616	10.068067757405995	0.9632203880683463	0.823409790759509	7.049494514617479	63.24424775125526	0.8006909033653188	80.06909033653187
18.0-20.0 kDa	18.0	20.0	489	1	3	7	Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; Tubulin family	COX4I1	CDK2AP1, CDKN2C, RBM8A	NCBP2, RFESD, LRCOL1, ALOX5AP, IER3, IQCF5, ACP1, SCOC, LOC505033, MRPL50, GABARAPL2, UBD, KCNE4, UXT, LOC101903026, TNFRSF12A, LY6K, SPACA3	34.75	elevated	19.0	1108.0921219205472	10.113862110375232	0.9713292788879235	1.337916674836824	5.931746086410542	60.82853940672965	0.8384538807354729	83.84538807354728
