metric	value
protein_count_analyzed	51612
mw_column	mw_kda
minimum_mw_kda	0.96719128
median_mw_kda	50.046225829999926
mean_mw_kda	65.80936271840405
maximum_mw_kda	891.8682705799927
hard_window_tolerance_kda	2.0
gaussian_sigma_kda	1.0
bin_width_kda	2.0
median_window_candidate_count	2102.0
mean_window_candidate_count	1834.2735410369683
median_effective_candidate_number	2171.5693441276344
mean_effective_candidate_number	1891.6488506495996
median_identity_entropy_bits	11.084522307373572
median_nearest_neighbor_gap_kda	0.0008460999999719832
