mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
0.0-2.0 kDa	0.0	2.0	14	7.0	63.49760529266723	62.94586432746655	4.138899313276059	0.01613988301818872	0.742152466367713	0.25784753363228696	1.5314847514285714	58.0	60.0	36.50165284204659	36.64368121584808	4.142038560831345	0.01589418339233669	0.03403059999999991
2.0-4.0 kDa	2.0	4.0	57	28.5	124.56194345595841	120.80692699897996	4.791057834563167	0.008583374252168704	0.8116591928251121	0.18834080717488788	2.944014116842105	113.0	114.19298245614036	70.82839855796716	71.49610205724261	4.794193626563472	0.008277671031301405	0.013079500000000355
4.0-6.0 kDa	4.0	6.0	118	59.0	320.0211967724079	317.1462039519656	5.741244242337611	0.003301954156701452	0.8497757847533632	0.15022421524663676	5.155180120677965	283.0	292.77966101694915	172.65141362242878	175.228548780458	5.759360656934849	0.0031531338896481948	0.005370649999999255
6.0-8.0 kDa	6.0	8.0	303	151.5	634.0727256161321	641.1898091142115	6.438852924537531	0.0016208265620542286	0.8923766816143498	0.1076233183856502	7.148837352277228	617.0	611.6798679867986	394.6719203464293	385.8721014076896	6.463325527150286	0.0015596005828312778	0.0021414000000019584
8.0-10.0 kDa	8.0	10.0	455	227.5	1026.079751139547	1040.1862995938263	6.92569202860487	0.000990138863843587	0.9147982062780269	0.08520179372197312	9.055853930549452	1016.0	990.9868131868132	609.1597864019601	608.8865974157726	6.947155110317632	0.0009613662479408561	0.0015240000000051879
10.0-12.0 kDa	10.0	12.0	737	368.5	1411.7888872641759	1406.9978112942067	7.2498781364621605	0.0007122141246378371	0.9349775784753364	0.06502242152466364	11.052411931696069	1383.0	1372.1506105834465	888.7143216944062	878.3075214450938	7.249213501529815	0.0007107331596203155	0.0009414000000003142
12.0-14.0 kDa	12.0	14.0	814	407.0	1766.545074147015	1779.4729582143	7.475705993853124	0.0005673042705436308	0.9461883408071748	0.053811659192825156	13.051427161572489	1728.0	1714.1707616707617	1056.0632177752823	1062.0059025272678	7.484072508440871	0.0005619641453979772	0.0008732499999997145
14.0-16.0 kDa	14.0	16.0	1001	500.5	2024.6062752714024	2028.4520355206114	7.612300389067985	0.0004947458143393594	0.9506726457399103	0.04932735426008972	14.987675272607405	1978.0	1975.93006993007	1242.986973931224	1240.326100715908	7.615028237072696	0.0004929867615742491	0.0006303000000187353
16.0-18.0 kDa	16.0	18.0	1108	554.0	2164.22085389497	2145.4210150859344	7.6797063366347595	0.0004621605672794932	0.9551569506726457	0.04484304932735428	17.007650261407953	2082.0	2093.384476534296	1332.133848995043	1329.226286201477	7.671091089520135	0.0004661089795388255	0.0006561999999981083
18.0-20.0 kDa	18.0	20.0	1052	526.0	2338.655297466665	2337.7705290375216	7.757135152162109	0.000427764030102033	0.9596412556053812	0.04035874439461884	19.063806958422063	2246.0	2245.0941064638782	1381.7049011949016	1388.1566942606164	7.7569529871366205	0.00042775798177503363	0.0006241500000001565
20.0-22.0 kDa	20.0	22.0	1280	640.0	2551.8951416377995	2558.454126231893	7.844304956622063	0.00039209092330617316	0.9775784753363229	0.022421524663677084	21.01581107843751	2509.0	2490.0859375	1585.37568614055	1575.6926791686406	7.847158497486444	0.0003908610246515282	0.0005050500000027824
22.0-24.0 kDa	22.0	24.0	1295	647.5	2663.8075972426645	2666.418126116743	7.8874994180569	0.00037541179578830757	0.9887892376681614	0.011210762331838597	22.998918171583018	2596.0	2596.0239382239383	1620.4249931892641	1620.9033010149624	7.888491324944	0.00037503495427266577	0.0005575999999933856
24.0-26.0 kDa	24.0	26.0	1275	637.5	2605.7429594698506	2603.058344391862	7.865463316769166	0.0003837752224573488	0.984304932735426	0.015695067264574036	24.977934350666672	2515.0	2521.0282352941176	1587.5070703876536	1583.8191200720855	7.864442319031445	0.00038416349835355854	0.0005045000000016842
26.0-28.0 kDa	26.0	28.0	1242	621.0	2538.341819492488	2533.963580414863	7.839204195801166	0.0003940068845540456	0.9730941704035875	0.026905829596412523	27.036020607214173	2450.0	2456.485507246377	1540.9969953550562	1540.0521656720816	7.8375399883339725	0.0003946386632692986	0.0005336000000113472
28.0-30.0 kDa	28.0	30.0	1173	586.5	2511.164946357843	2513.1845959445764	7.828500690081287	0.0003982226319609484	0.968609865470852	0.03139013452914796	28.98980916635976	2428.0	2428.6589940323956	1507.891100015796	1513.0768852785982	7.8293059912503296	0.0003979015316318822	0.0005198999999649345
30.0-32.0 kDa	30.0	32.0	1239	619.5	2577.290510476248	2557.168239335238	7.854200680910994	0.00038823051078817005	0.9820627802690582	0.017937219730941756	31.01134482116223	2447.0	2464.0653753026636	1539.735545702962	1542.4370555775515	7.846655768721291	0.0003910575708776831	0.0005569000000527069
32.0-34.0 kDa	32.0	34.0	1365	682.5	3135.5326020815965	3145.1483936691116	8.047622040207647	0.0003208084084873572	0.9955156950672646	0.004484304932735439	33.05772195443223	3019.0	3003.3809523809523	1802.9662855276754	1823.981751746577	8.053616352017949	0.00031795002169465394	0.0005199000000288834
34.0-36.0 kDa	34.0	36.0	2084	1042.0	3638.745681760098	3653.7066827260314	8.199339498507658	0.00027485026564644726	1.0	0.0	35.0575477815355	3638.0	3624.5585412667947	2424.4680732548177	2390.7219867490717	8.203497460789258	0.00027369465773697643	0.0003262999999975591
36.0-38.0 kDa	36.0	38.0	1515	757.5	3453.107610201141	3490.2116974320966	8.14585457444324	0.00029028161732683617	0.9977578475336323	0.0022421524663677195	36.93506044587457	3425.0	3351.2303630363035	2035.8564852595978	2047.8209283445735	8.157717671646832	0.00028651557174475814	0.0004296999999979789
38.0-40.0 kDa	38.0	40.0	1422	711.0	2918.0204527039145	2888.7452017972755	7.978301545794936	0.00034294247730595116	0.9932735426008968	0.006726457399103158	39.00445037971868	2771.0	2789.872011251758	1757.3812128160062	1757.4738504081033	7.968577500522571	0.0003461710640020277	0.0004950499999836211
40.0-42.0 kDa	40.0	42.0	1328	664.0	2775.4221571494977	2781.798179644584	7.928444634440889	0.000360387503417544	0.9910313901345291	0.008968609865470878	41.00478736689757	2710.5	2694.1626506024095	1682.3410469431335	1682.7907381324071	7.930852824732025	0.00035947970900194234	0.00048469999998346225
42.0-44.0 kDa	42.0	44.0	1266	633.0	2618.539185083025	2615.760283475691	7.870256312581152	0.0003819805249521958	0.9865470852017937	0.013452914798206317	42.9688767069352	2530.0	2536.034755134281	1592.8208335179677	1590.35379983326	7.869310073610233	0.00038229802873737467	0.0005179999999427309
44.0-46.0 kDa	44.0	46.0	1179	589.5	2517.8103230792913	2510.859190522673	7.831133208316967	0.00039717976119867056	0.9708520179372198	0.029147982062780242	44.98042320035619	2422.0	2423.2926208651397	1504.8521702711619	1507.4117414032628	7.828380280533306	0.0003982700438855892	0.0005516000000085342
46.0-48.0 kDa	46.0	48.0	1265	632.5	2498.098355419841	2496.873045283229	7.823280392704011	0.0004003082315328011	0.9663677130044843	0.03363228699551568	47.002569142292444	2417.0	2419.695652173913	1529.2497943156513	1528.3407870263613	7.822794446089043	0.00040050093932051176	0.000520799999925714
48.0-50.0 kDa	48.0	50.0	1188	594.0	2542.197962532122	2543.0184441339525	7.840779960022644	0.0003933638348795344	0.9753363228699552	0.024663677130044803	49.02910734910769	2459.0	2459.9882154882157	1519.3327462601105	1526.79365589377	7.841107018299185	0.000393233482953011	0.0006068000000070128
50.0-52.0 kDa	50.0	52.0	1265	632.5	2554.7015595929824	2556.0697970813435	7.845686296737117	0.0003914385947820084	0.9798206278026906	0.020179372197309364	50.991406776205466	2488.0	2486.6371541501976	1569.559054277445	1567.710830008678	7.846226122276917	0.0003912256234715708	0.000518300000017291
52.0-54.0 kDa	52.0	54.0	1193	596.5	2485.3393674792405	2489.020062541298	7.818047603282508	0.0004024537497820129	0.9641255605381166	0.0358744394618834	52.97647680254813	2411.0	2410.450125733445	1510.0561982756037	1509.6028215760666	7.819644362817749	0.0004017645398080868	0.0005548999999334114
54.0-56.0 kDa	54.0	56.0	1151	575.5	2348.7601385621824	2349.878327677411	7.761520701651583	0.00042586063614252886	0.9618834080717489	0.03811659192825112	54.97677519303207	2281.0	2274.3266724587315	1420.6467170078838	1421.350897234795	7.762118830341389	0.00042555394814351385	0.0005957999999708363
56.0-58.0 kDa	56.0	58.0	1084	542.0	2197.7898731335595	2194.419121206897	7.695002244536812	0.0004551891442845975	0.9573991031390134	0.04260089686098656	57.00480004623608	2116.0	2130.09778597786	1344.766616102593	1340.0548889575205	7.693672653005669	0.0004557014613895798	0.0006530999999014853
58.0-60.0 kDa	58.0	60.0	976	488.0	2080.125826064785	2083.3930963615794	7.640050746220061	0.00048086816166963473	0.952914798206278	0.047085201793722	59.00764037569663	2021.0	2014.0819672131147	1239.9719635694096	1247.4826885167947	7.641753139294544	0.0004799862315787687	0.0006774500000013006
60.0-62.0 kDa	60.0	62.0	974	487.0	1925.1263941744016	1919.236531332348	7.562500202546135	0.0005197022509632515	0.9484304932735426	0.05156950672645744	60.987792130410575	1876.0	1870.9856262833675	1200.689005957004	1190.348502662637	7.559682745951768	0.0005210405199114935	0.0007555999999446783
62.0-64.0 kDa	62.0	64.0	809	404.5	1747.8272319157534	1742.614909301664	7.4655487020920726	0.0005728015021391954	0.9439461883408071	0.056053811659192876	63.0016403064523	1675.0	1682.2608158220025	1038.8449331459133	1043.7365258348166	7.463142085540262	0.0005738502492215795	0.0007884999998992726
64.0-66.0 kDa	64.0	66.0	784	392.0	1614.5644384015093	1612.4080357410453	7.386693732639416	0.0006195190369913351	0.9417040358744395	0.058295964125560484	64.99773231622437	1549.0	1561.8545918367347	975.702957295249	976.683757809173	7.385484014366584	0.0006201904102376675	0.0009396999999466971
