mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
0.0	12	5.7859300936642	3.1718436109829726	4.576003048040477	23.851416580587173	0.041926230948224126	0.7364610483637417	0.2635389516362583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18411526209093543	0.8158847379090646	18.411526209093545	81.58847379090646	routine
0.25	21	8.432398809862935	3.306540051751837	4.7703289351631115	27.290538083096774	0.03664273664942431	0.7468867651317694	0.25311323486823056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18672169128294236	0.8132783087170576	18.672169128294236	81.32783087170577	routine
0.5	27	11.785689765936585	3.436683176876724	4.958085776386578	31.08368790358887	0.03217121478962416	0.7639733565015928	0.23602664349840718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1909933391253982	0.8090066608746018	19.09933391253982	80.90066608746018	routine
0.75	31	15.824001934271392	3.5586421592695467	5.134035395476568	35.11548352488942	0.028477466337355498	0.7793223284100782	0.2206776715899218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19483058210251955	0.8051694178974804	19.483058210251954	80.51694178974805	routine
1.0	38	20.444055914072347	3.6710044983797876	5.296139984893596	39.291354145697134	0.025450891722689883	0.7978569359976831	0.20214306400231685	0.0	0.0	0.0004969661404832212	0.0004969661404832212	0.0	0.0	0.010416666666666666	0.20206840066608744	0.7979315993339126	20.206840066608745	79.79315993339125	routine
1.25	45	25.455139512575563	3.7735679381962717	5.444107750893352	43.535118672901426	0.02296996150426146	0.7993049522154648	0.20069504778453517	0.0	0.0	0.0012771666720730614	0.0012771666720730614	0.0	0.0	0.03125	0.2076387380538662	0.7923612619461338	20.76387380538662	79.23612619461338	routine
1.5	48	30.58028368013267	3.8649302007999404	5.575915634076059	47.69994289863344	0.020964385683334835	0.8013321749203591	0.19866782507964087	0.0	0.0	0.003863031658835729	0.003863031658835729	0.0	0.0	0.05859375	0.21498148123008978	0.7850185187699102	21.498148123008978	78.50185187699103	routine
1.75	51	35.49550081815138	3.946627358144339	5.693779717831549	51.76050248601872	0.019319750620081688	0.805676223573704	0.19432377642629595	0.0	0.0	0.009605821310914375	0.009605821310914375	0.0	0.0	0.08203125	0.221926868393426	0.778073131606574	22.192686839342603	77.8073131606574	routine
2.0	55	39.87452271222909	4.021249904156965	5.801437294902474	55.77077039846544	0.017930539471757333	0.8105994787141616	0.1894005212858384	0.0	0.0	0.022507800829417217	0.022507800829417217	0.0	0.0	0.10807291666666667	0.22966809884520706	0.7703319011547929	22.966809884520707	77.03319011547929	routine
2.25	59	43.451995497145504	4.09261253319312	5.904391805917732	59.89616820406079	0.016695558830960456	0.8149435273675065	0.18505647263249347	0.0	0.0006814142329668376	0.05025838127551082	0.05025838127551082	0.0	0.011916583912611719	0.13997395833333334	0.2417085174033629	0.7582914825966371	24.170851740336293	75.82914825966371	routine
2.5	64	46.07496927859661	4.16372428671007	6.006984380065555	64.3105882181758	0.01554953900604154	0.8189979727772951	0.18100202722270486	0.0	0.001715744348413232	0.10259955485828215	0.10259955485828215	0.0	0.027805362462760674	0.17057291666666666	0.2543440629766806	0.7456559370233193	25.434406297668062	74.56559370233194	routine
2.75	66	47.76136986235174	4.238945789805365	6.115506069549351	69.3347199287346	0.014422788482131979	0.822473211699971	0.177526788300029	0.0	0.004058359808181484	0.1974731835453219	0.1974731835453219	0.0	0.04369414101290963	0.205078125	0.26781136942822015	0.7321886305717799	26.781136942822016	73.21886305717798	routine
3.0	69	48.709991151893675	4.32167311239356	6.234856367593361	75.31453261454405	0.013277649947294358	0.8265276571097596	0.17347234289024038	0.0	0.009017893758277525	0.36158628909591783	0.36158628909591783	0.0	0.06355511420059583	0.2506510416666667	0.28518345324425554	0.7148165467557445	28.518345324425553	71.48165467557445	routine
