mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
0.0-2.0 kDa,0.0,2.0,14,0,0,0,,,,"MGMT, , , , , HOOK3, , , NUDT7, , MXRA7, , , ",0.7,routine
2.0-4.0 kDa,2.0,4.0,57,0,0,3,Actin family; Mitochondrial markers; Tubulin family,,,", , , , , , , , , , , , , , RNF165, , , ",5.1,routine
4.0-6.0 kDa,4.0,6.0,118,0,0,3,Actin family; Heat shock proteins; Mitochondrial markers,,,", MNT, , DEFB12, PRM1, OST4, UBL5, DEFB1, ZNF599, KALRN, SMAGP, DEFB8, PDAP1, MSMB, PTMA, LOC132343858, DEFB13, PDCD5",8.15,routine
6.0-8.0 kDa,6.0,8.0,303,0,4,10,AKT pathway; Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; JAK-STAT; MAPK cascade; Mitochondrial markers; NF-kB/Rel; p53 pathway,,"MAPKBP1, MDM1, RELN, STATH","CYB561D1, CAMLG, MAL, MT2A, TOMM5 [Mitochondrial markers], ADH5, CYFIP1 [Actin family], DEFB9, PLN, LOC613358, RELN [NF-kB/Rel], TXNDC12, PMAIP1, PLN, , SUMO2, ZG16B, LOC768319",28.65,elevated
8.0-10.0 kDa,8.0,10.0,455,0,4,8,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway,,"BCL2L13, CASP6, RBM3","POLR2F, , CCDC179, UQCC6 [Mitochondrial markers], SMLR1, PKIA, LOC107131456, , SPAAR, KLF2, , SMIM45, UBE2C, GTF2H5, GNG12, BBIP1 [Actin family], ATP6V1G1, TMEM167A",32.0,elevated
10.0-12.0 kDa,10.0,12.0,737,1,6,7,Actin family; Apoptosis caspase/BCL; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; Tubulin family,RPLP0,"BCL2L12, CASP1, RBIS, RBM39, RHOBTB3",", THAP6, OTOS, , SCN4B, LOC132342861, CENPW, LOC132343303, DBI, TBCA [Tubulin family], TAF13, ACBD7, , BCL2L12 [Apoptosis caspase/BCL], KNCN, , DBI, NHP2",39.25,elevated
12.0-14.0 kDa,12.0,14.0,814,0,12,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,,"BCL2L12, BCL2L13, CASP2, CDK2AP1, CDK2AP2, CDKN2A, CDKN2AIPNL, MAPK9, MDM4, NFKBIL1, RBIS, RBM38","ADM5, DNAL4, , UBE2V2, RNF4, , PSENEN, EMC6, TANGO2, WDR83OS, , CEP20, CHCHD7, CLPS, COX5A [Mitochondrial markers], BEX3, GHRH, ",45.5,elevated
14.0-16.0 kDa,14.0,16.0,1001,0,16,8,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway,,"BCL11A, BCL2L11, BCL2L12, CCNT1, CDKN2B, GSKIP, MDM4, RBP1, RBP2, RBP5, RBP7, RHOD",", , TMEM262, , LOC100847874, , , DYNLRB1, , C19H17orf49, , H2AJ [Histone family], CFAP68, , CDKN2B [Cell-cycle CDK/cyclin], MAX, LOC132343308, SNCA",50.0,elevated
16.0-18.0 kDa,16.0,18.0,1108,1,19,8,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; MAPK cascade; Mitochondrial markers; p53 pathway,TOMM20,"BCL2L12, BCL2L15, BCL7B, CCN4, CDKN2A, CDKN2AIPNL, CDKN2D, GSKIP, MAP3K7CL, RASGRP2, RBM14, RBM3, RBM4, RBM4B, RBP1, RBX1","PLA2G2E, PLA2G1B, QDPR, COTL1, JPT1, , C1D, LOC100296105, LAMTOR3, SF3B1, MRPL27, , ELK3, , RAP1B, , MRPL27, FKBP11",59.5,elevated
18.0-20.0 kDa,18.0,20.0,1052,1,23,11,AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,COX4I1,"AKTIP, BCL2L13, CCNL1, CDK2AP1, CDKN1C, CDKN2AIPNL, CDKN2B, CDKN2C, CDKN3, FOSB, MAP3K7CL, MAPK8, PIK3IP1, RBBP9, RBM42, RBM8A, RBP1, RHOF, TP53I11, TP53INP1","RAB7B, NCBP2, ABCC9, MFAP5, UBE2I, CIRBP, RFESD, SAMD5, LRCOL1, ZBTB8OS, DCTN3 [Actin family], YY1, ALOX5AP, IER3, RAB18, SREK1IP1, TAFA2, NAMPT",67.75,high
20.0-22.0 kDa,20.0,22.0,1280,2,30,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,"COX4I1, H2AC1","BCL2A1, BCL2L11, BCL2L2, CASP3, CCNT1, CDKN2AIPNL, CDKN3, MAP3K7, PRKRIP1, RBBP9, RBM18, RBP1, RBP4, RBP7, RBPMS, RHOA, RHOC, RHOG, RHOG2, RHOH, TP53I11, VEGFB","LOC100847317, C19H17orf49, SLC25A26 [Mitochondrial markers], CDKN2AIPNL [Actin family; Cell-cycle CDK/cyclin], LOC514011, GH1, IL1RN, CSN3, MORN5, EPO, DUT, AP1S3, JDP2, IL7, MECP2, PFDN1, LOC104970886, CATHL2",82.5,high
22.0-24.0 kDa,22.0,24.0,1295,0,23,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,,"BCL2, BCL2L2, BCL7A, BCL7B, CDKN1A, CDKN1B, CDKN3, MAPK1IP1L, PRKAA1, PRKRIP1, RASL10A, RBP1, RBP4, RBPMS2, RHOB, RHOC, RHOF, RHOQ, VEGFA","BMERB1, COQ10B [Mitochondrial markers], SAMD5, LOC100298530, ARFIP1 [Actin family], RHOC, LOC132344423, CLDN11, SAT2, PEMT [Lamin family], FHL1, PPIF [Mitochondrial markers], TRIR [Actin family], CHMP1B, C17H5orf52, RAB1B, RNASE11, MGMT",62.0,high
