family	mw_kda	gaussian_family_mass	family_member_count
Ubiquitin_proteasome	0.0	0.0	205
Ubiquitin_proteasome	0.25	0.0	205
Ubiquitin_proteasome	0.5	0.0	205
Ubiquitin_proteasome	0.75	0.0	205
Ubiquitin_proteasome	1.0	0.0	205
Ubiquitin_proteasome	1.25	0.0	205
Ubiquitin_proteasome	1.5	0.0	205
Ubiquitin_proteasome	1.75	0.0	205
Ubiquitin_proteasome	2.0	0.0	205
Ubiquitin_proteasome	2.25	0.0	205
Ubiquitin_proteasome	2.5	0.0	205
Ubiquitin_proteasome	2.75	0.0	205
Ubiquitin_proteasome	3.0	0.0	205
Ubiquitin_proteasome	3.25	0.0	205
Ubiquitin_proteasome	3.5	0.0	205
Ubiquitin_proteasome	3.75	0.0	205
Ubiquitin_proteasome	4.0	0.0	205
Ubiquitin_proteasome	4.25	0.0	205
Ubiquitin_proteasome	4.5	0.0	205
Ubiquitin_proteasome	4.75	0.0006781011735667893	205
Ubiquitin_proteasome	5.0	0.0022357106638080508	205
Ubiquitin_proteasome	5.25	0.005392292140250991	205
Ubiquitin_proteasome	5.5	0.013803512654280772	205
Ubiquitin_proteasome	5.75	0.030119906264736564	205
Ubiquitin_proteasome	6.0	0.062044922968650724	205
Ubiquitin_proteasome	6.25	0.12126298340187863	205
Ubiquitin_proteasome	6.5	0.22332799040431625	205
Ubiquitin_proteasome	6.75	0.38907543977115705	205
Ubiquitin_proteasome	7.0	0.6416140056185123	205
Ubiquitin_proteasome	7.25	1.002159863551015	205
Ubiquitin_proteasome	7.5	1.4838700956004387	205
Ubiquitin_proteasome	7.75	2.0834935952090645	205
Ubiquitin_proteasome	8.0	2.776252477263453	205
Ubiquitin_proteasome	8.25	3.513032925932479	205
Ubiquitin_proteasome	8.5	4.224460962508989	205
Ubiquitin_proteasome	8.75	4.831550190794187	205
Ubiquitin_proteasome	9.0	5.261186186836475	205
Ubiquitin_proteasome	9.25	5.462382437613451	205
Ubiquitin_proteasome	9.5	5.4182790589923195	205
Ubiquitin_proteasome	9.75	5.149778807927174	205
