mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
0.0-2.0 kDa	0.0	2.0	7	0	0	0				tal-1A, tal-2A, tal-3A, Dmel\CG43739, CG1461-5'utr, CG6424-5'utr, Dmel\CG46270	0.35	routine	1.0	31.932347079181906	4.996946692112645	0.9294117647058824	0.0	0.0	0.05622978499333327	0.2680437306501548	26.80437306501548
2.0-4.0 kDa	2.0	4.0	49	0	0	1	Ribosomal_proteins			CG14253-5'utr, Dmel\CG43178, Dmel\CG46525, Dmel\CG45088, MSAmiP, Dmel\CG43200, noncoding_5744, MIP03715_ORF_1, Acp98AB, MIP03715, CG13627-5'utr, Dmel\CG46335, CG43200-3'utr, Mst40, Dmel\CG46310, Dmel\CG45307, CR33939, CG7708-5'utr	3.2	routine	3.0	105.54996384390697	6.721782274265336	0.9541687979539641	0.0	0.0	0.9828463258398813	0.3466014100148068	34.66014100148068
4.0-6.0 kDa	4.0	6.0	104	0	0	1	Ribosomal_proteins			Dmel\CG43965, chr2L_11663230_11663806, BomS3, Dmel\CG45099, Dmel\CG43814, Mst57Db, BomS6, gdl-ORF39, Dmel\CG43251, BomS5, lincRNA.174, Dmel\CG43645, Ost4, Hdac3-5'utr, Dmel\CG43390, Dso1, MtnB, Dmel\CG43694	5.95	routine	5.0	230.24255371524097	7.847010688580768	0.9681841432225063	0.0	0.0	3.433924794004783	0.40290129896352134	40.290129896352134
6.0-8.0 kDa	6.0	8.0	189	0	0	2	Mitochondrial_membrane; Ribosomal_proteins			Tom7, Dmel\CG43610, Dmel\CG46320, Dmel\CG43618, Dmel\CG46456, CG4959, Anp, Dmel\CG43230, Dmel\CG44040, BcDNA:RH07028, Dmel\CG45089, CR43920, Dmel\CG43185, ND-MNLL [Mitochondrial_membrane], Dup99B, Dmel\CG46429, Dmel\CG44355, UQCR-6.4	10.95	elevated	7.0	394.21940678676754	8.62285498945868	0.9748337595907929	0.0	0.0	14.052038771460099	0.45110975568717193	45.110975568717194
8.0-10.0 kDa	8.0	10.0	290	0	0	4	Heat_shock_chaperones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome			lawc, UQCR-6.4L, E(spl)m6-BFM, p8, BomT2, Dmel\CG17776 [Mitochondrial_membrane], Dmel\CG43182, Ggamma1, Dmel\CG11458, Dmel\CG46433, Dmel\CG44142, Drsl6, NEST:bs34b09, CG15281, ksh, Dmel\CG43169, Dmel\CG42649, RpL38 [Ribosomal_proteins]	17.5	elevated	9.0	575.4722664795252	9.168602592543078	0.9815856777493606	0.0	0.0	28.398313169764677	0.47286352470049803	47.286352470049806
10.0-12.0 kDa	10.0	12.0	343	0	0	6	Apoptosis; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome			pre-mod(mdg4)-AA, SLIRP1, Dmel\CG7377, CG9167, Dmel\CG43405, hemo, BcDNA:RE60135, Tim8 [Mitochondrial_membrane], Dmel\CG13069, VhaM9.7-b, Dmel\CG33268, inaF-A, Dmel\CG43982, Dmel\CG42806, UQCR-Q, Dmel\CG45486, Dmel\CG42581, Triap1 [Apoptosis]	21.65	elevated	11.0	711.4798188124307	9.474679024935266	0.9910997442455243	0.003178647368075375	0.0	33.87302289074762	0.5013868724884702	50.13868724884703
12.0-14.0 kDa	12.0	14.0	389	0	0	7	Actin_tubulin; Apoptosis; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins			Dmel\CG42568, Dmel\CG14312, Dmel\CG14096, Dmel\CG44362, Dmel\CG42583, ATPsynGL [Mitochondrial_membrane], BaraC, Tst1, Cpr65Av, Dmel\CG13117, Dmel\CG32074, Dmel\CG15034, Dmel\CG32278, Dmel\CG43308, CG10674, Dmel\CG15200, Dmel\CG14984, ND-B12 [Mitochondrial_membrane]	24.7	high	13.0	755.0429664628983	9.560414934529243	0.992838874680307	0.390231240481659	0.04059624312174745	35.18386733030653	0.6186798837410675	61.86798837410675
14.0-16.0 kDa	14.0	16.0	361	1	1	6	Apoptosis; Autophagy; Histones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome	Atg8a	MED10	Dmel\CG13050, CG13515, Cpr65Ea, BcDNA:RH04491, Dmel\CG13965, strat, dHYPK, DIGF-1, Dmel\CG44088, pal, BcDNA:AT27312, Dmel\CG15404, ITP, Obp18a, Cnep1r1, Dmel\CG13510, Dmel\CG31415, Dmel\CG34185	29.05	high	15.0	795.2703555493765	9.635301583888527	0.9943734015345268	1.4255414166178675	1.8463136982429713	39.01415359815506	0.9129348037738387	91.29348037738387
16.0-18.0 kDa	16.0	18.0	424	1	3	8	Actin_tubulin; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome	RpL32	MED21, MED22, MED9	Chrac-16, Dmel\CG13689, Dmel\CG13239, Dmel\CG7781, Rbp1, RpS23 [Ribosomal_proteins], RpL32 [Ribosomal_proteins], Npc2a, ND-B14.5AL [Mitochondrial_membrane], RpL28 [Ribosomal_proteins], Dmel\CG9568, Dmel\CG11663, Pburs, Dmel\CG11300, MED21, Dmel\CG14658, Blos3, BcDNA:RE30174	35.5	high	17.0	812.8123696835739	9.666778547526238	0.9961125319693095	0.6518416488857891	2.9876208146736074	52.251214080452556	0.8780594312737993	87.80594312737992
18.0-20.0 kDa	18.0	20.0	355	0	1	7	Actin_tubulin; Autophagy; Heat_shock_chaperones; Mitochondrial_membrane; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome		MED11	ppl, mRpS17 [Ribosomal_proteins], EG:EG0003.8, Dmel\CG13994 [Ubiquitin_proteasome], Dmel\CG13560, BcDNA:AT27976, CCAP, Dmel\CG5500, Dmel\CG34312, RpL34a [Ribosomal_proteins], Dmel\CG15368, Archease, Dmel\CG12426, CG30182, Dmel\CG42655, Gadd45, Dmel\CG15023, RpS11 [Ribosomal_proteins]	24.5	high	19.0	830.2765880961252	9.697448207924557	0.9992838874680307	0.01178637963282473	1.1285006879607455	41.846567197881924	0.6668836927632676	66.68836927632677
20.0-22.0 kDa	20.0	22.0	441	0	2	9	Actin_tubulin; Apoptosis; Heat_shock_chaperones; Histones; Mitochondrial_membrane; RAS_ERK_MAPK; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome		MED28, Ras85D	retinin, Arf6, Dmel\CG34327, DCTN6-p27, mRpS10, Dmel\CG8300, Glo1, Dmel\CG34251, BcDNA:SD01241, dnd, mt:ND6, CheA7a, Sfp24F, arx, Hand, lectin-33A, Arpc3B [Actin_tubulin], Dmel\CG33654	29.75	high	21.0	814.6017511010788	9.669951105395365	0.9967263427109975	0.07859729045041848	2.328495124565971	37.26344818622663	0.7833175704677703	78.33175704677703
22.0-24.0 kDa	22.0	24.0	358	2	2	6	Actin_tubulin; Heat_shock_chaperones; Mitochondrial_membrane; RAS_ERK_MAPK; Ribosomal_proteins; Ubiquitin_proteasome	Rab5, Rab7	MED31, mad2	Cib2, Dmel\CG31109, Dmel\CG11226, CG14286, Dmel\CG14495, ND-SGDH [Mitochondrial_membrane], BcDNA:GH11730, Dmel\CG16813, VhaPPA1-1, CG15250, Dmel\CG42830, Dmel\CG14455, BP1005, Dmel\CG32797, Rab18, Dmel\CG14777, Dmel\CG34138, Dmel\CG3955	35.4	high	23.0	832.0629987023046	9.700548954288415	0.999693094629156	1.577980689565947	2.596072363327277	34.18858533643368	0.937939213071496	93.7939213071496
24.0-26.0 kDa	24.0	26.0	414	0	2	9	Apoptosis; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_kinases; Ribosomal_proteins; Ubiquitin_proteasome		MED18, MED7	tun, Dmel\CG12535, Dmel\CG14932, Dmel\CG14086, Dmel\CG43312, GLaz, LSm-4, Polr3G, Dmel\CG33262, Dmel\CG14362, Mabi, CREG, Dmel\CG4000, Dmel\CG13226, Dmel\CG13002, Cfap97D, Dmel\CG9782, Ccp84Ac	29.75	high	25.0	794.1696311839331	9.633303383452489	0.9942710997442455	0.8301842985427518	2.387060004603226	38.811235965396065	0.8835827553467434	88.35827553467433
26.0-28.0 kDa	26.0	28.0	381	0	2	8	Actin_tubulin; GAPDH_metabolic_controls; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome		MED20, MED8	CG11134, Gas41, Lipt2, alphaTry, CG9154, Dmel\CG3699, Dmel\CG13616, Dmel\CG12729 [Ubiquitin_proteasome], BcDNA:GH06302, Dmel\CG13603, Vha26, Tsp42Eh, Dmel\CG33340, Osi9, CK02422a, Dmel\CG11672, Sld5, cerv	28.05	high	27.0	820.5596152832491	9.68046434197703	0.9981585677749361	0.012844248878443857	2.6581742559681265	37.35437264614568	0.7593581055581151	75.93581055581151
28.0-30.0 kDa	28.0	30.0	413	0	3	11	Actin_tubulin; Apoptosis; GAPDH_metabolic_controls; Histones; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome; Wnt_Wingless		MED4, MED6, imd	Obp83cd, Dmel\CG12861, CG6171, 15010468, Obp83ef, Jon65Aiv, EG:BACR25B3.6, lectin-29Ca, BaraA1, BaraA2, Dmel\CG32391, Dmel\CG34442, Obp56c, Jhbp7, Ag5r, CG11342, Dmel\CG9150, 312	32.75	high	29.0	808.7362808985584	9.659525523745415	0.9954987212276215	0.30080630711852857	3.5119036744851	37.91869450251321	0.8454642885751098	84.54642885751097
30.0-32.0 kDa	30.0	32.0	362	1	1	12	Actin_tubulin; Apoptosis; Autophagy; GAPDH_metabolic_controls; Histones; JNK_MAPK; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome	porin	Jra	Fire-like, Dmel\CG10053, Dmel\CG13408, Jhbp5, BcDNA:SD21514, Dmel\CG13996, Ip259, Fst, Ric, Osi7, Q9VXA9, fd19B, aqz, mt:CoIII [Mitochondrial_membrane], CAHbeta, Dmel\CG8508, Dmel\CG4815, wupA	33.6	high	31.0	738.8930139448661	9.529221678063784	0.992225063938619	0.9037172362195992	1.6482583936182675	35.06303169534949	0.8452681157292063	84.52681157292064
32.0-34.0 kDa	32.0	34.0	320	0	1	8	Actin_tubulin; Mitochondrial_membrane; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless		MED27	Osi3, Mtap, Dmel\CG11095, Cchl, Dmel\CG13622, SPH199, anon2A5 [Mitochondrial_membrane], Dmel\CG10587, Dmel\CG14329, Dmel\CG34295, CG17837, Nubpl, Dmel\CG34206, Ing5, Dmel\CG8252, Dmel\CG34011, Osi6, HDC06756	23.5	high	33.0	705.5807258085175	9.462667341429425	0.9905882352941177	0.17325316314458858	1.5638179098031806	30.01152740730751	0.7464456491799412	74.64456491799412
34.0-36.0 kDa	34.0	36.0	352	2	3	9	Actin_tubulin; Apoptosis; GAPDH_metabolic_controls; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless	Gapdh1, Gapdh2	MED19, MED30, TORIP	TORIP, Dmel\CG10973, Teh1, Dmel\CG11617, RpL5 [Ribosomal_proteins], Dmel\CG34444, CAH14, LPP-like, Dmel\CG6067, Dmel\CG10465, MET30, Dmel\CG46434, Dmel\CG6972, Dmel\CG32371, Surf1, jhamt, Dmel\CG14420, Osi18	38.85	high	35.0	695.2077711519433	9.441300398710279	0.9891560102301791	1.8744746287319893	3.02906531261605	31.833378841274886	0.9536333438715959	95.3633343871596
36.0-38.0 kDa	36.0	38.0	329	0	0	7	Apoptosis; Autophagy; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome			EG:BACR43E12.6, Sbp2, PPP1R15 [Protein_phosphatases], Tengl1, Dmel\CG14511, AnxB9, Mdh1, Dmel\CG1275, jet, Sr-CIII, wmd, anon-WO0242455.53, Zip48C, TBC1d7, JMJD7, elgi [Ubiquitin_proteasome], Ski8, Gmer	21.7	elevated	37.0	709.0691404511031	9.469782499499873	0.9907928388746803	0.5211743780229894	1.0331544997031168	27.118939318065134	0.726907009399379	72.6907009399379
