mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
0.0-2.0 kDa	0.0	2.0	7	3.5	47.7750869792071	50.97302885615643	3.846432354998721	0.021798202107028205	0.9353518821603928	0.06464811783960722	1.5921109942857143	41.0	41.0	24.91726722704062	22.61339198008475	3.9312966468782635	0.019618218152622525	0.031193599999999932
2.0-4.0 kDa	2.0	4.0	49	24.5	119.53027670143896	119.4652927553524	4.748218187946756	0.009004097161390986	0.9549918166939444	0.045008183306055605	3.2255629718367347	112.0	112.46938775510205	67.85760760472286	67.96733403732404	4.7830258919928115	0.00837063197968179	0.009790799999998878
4.0-6.0 kDa	4.0	6.0	104	52.0	240.17945188455138	242.64681259696513	5.467694227517663	0.004281929334105911	0.9689034369885434	0.03109656301145658	5.114046754038461	229.0	230.08653846153845	143.82301884649712	142.11363932987317	5.491606848345348	0.004121217058353097	0.007348249999998835
6.0-8.0 kDa	6.0	8.0	189	94.5	402.68448135187	403.7071833288143	5.989518085329918	0.002526978736661085	0.9754500818330606	0.02454991816693941	7.068954356190475	393.0	385.7989417989418	240.7101976940844	240.00938116001905	6.000689821430622	0.0024770428699196884	0.003141299999996683
8.0-10.0 kDa	8.0	10.0	290	145.0	579.3419010493482	582.6916765117435	6.359182871379586	0.0017355560060301793	0.9819967266775778	0.018003273322422242	9.085929743793104	572.0	566.6862068965518	362.73612630284833	358.82801177726964	6.3676581896748585	0.0017161734762358195	0.0026242000000014087
10.0-12.0 kDa	10.0	12.0	343	171.5	705.0175645250885	712.314757105639	6.557287259220575	0.001421081229386213	0.9909983633387889	0.009001636661211121	11.012110418192425	692.0	690.536443148688	428.3322012327893	428.6753728529993	6.568519888312366	0.001403873765108163	0.0018898000000078241
12.0-14.0 kDa	12.0	14.0	389	194.5	756.2559719261562	755.265103675787	6.628321899619011	0.0013224569132956707	0.9934533551554828	0.006546644844517169	13.026394864575844	732.0	736.0462724935733	468.0660979173951	466.5267280214184	6.627068818313475	0.0013240384007325598	0.0018053999999914083
14.0-16.0 kDa	14.0	16.0	361	180.5	795.1806293546209	795.5530689764997	6.678464002975296	0.0012578412052238696	0.9942716857610474	0.005728314238952592	15.041899742049871	764.0	767.3684210526316	465.69424209021054	470.6640702416686	6.679037557025389	0.001256987169047725	0.0017748999999973591
16.0-18.0 kDa	16.0	18.0	424	212.0	813.8566299686521	813.6559100294844	6.701782923499235	0.001228720827831941	0.9967266775777414	0.00327332242225864	17.03148874792454	796.0	794.8561320754717	512.3560939152413	509.94029942534405	6.701537561681702	0.001229020753950095	0.0013272500000010012
18.0-20.0 kDa	18.0	20.0	355	177.5	828.0128169684517	829.1911675409672	6.719016447244091	0.0012077402468911227	1.0	0.0	18.976697116056346	797.0	795.1915492957746	482.49944900702104	484.0994294929479	6.720450728721207	0.0012059945150713317	0.001894900000007027
