mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
0.0-2.0 kDa,0.0,2.0,7,0,0,0,,,,"tal-1A, tal-2A, tal-3A, Dmel\CG43739, CG1461-5'utr, CG6424-5'utr, Dmel\CG46270",0.35,routine
2.0-4.0 kDa,2.0,4.0,49,0,0,1,Ribosomal_proteins,,,"CG14253-5'utr, Dmel\CG43178, Dmel\CG46525, Dmel\CG45088, MSAmiP, Dmel\CG43200, noncoding_5744, MIP03715_ORF_1, Acp98AB, MIP03715, CG13627-5'utr, Dmel\CG46335, CG43200-3'utr, Mst40, Dmel\CG46310, Dmel\CG45307, CR33939, CG7708-5'utr",3.2,routine
4.0-6.0 kDa,4.0,6.0,104,0,0,1,Ribosomal_proteins,,,"Dmel\CG43965, chr2L_11663230_11663806, BomS3, Dmel\CG45099, Dmel\CG43814, Mst57Db, BomS6, gdl-ORF39, Dmel\CG43251, BomS5, lincRNA.174, Dmel\CG43645, Ost4, Hdac3-5'utr, Dmel\CG43390, Dso1, MtnB, Dmel\CG43694",5.95,routine
6.0-8.0 kDa,6.0,8.0,189,0,0,2,Mitochondrial_membrane; Ribosomal_proteins,,,"Tom7, Dmel\CG43610, Dmel\CG46320, Dmel\CG43618, Dmel\CG46456, CG4959, Anp, Dmel\CG43230, Dmel\CG44040, BcDNA:RH07028, Dmel\CG45089, CR43920, Dmel\CG43185, ND-MNLL [Mitochondrial_membrane], Dup99B, Dmel\CG46429, Dmel\CG44355, UQCR-6.4",10.95,elevated
8.0-10.0 kDa,8.0,10.0,290,0,0,4,Heat_shock_chaperones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome,,,"lawc, UQCR-6.4L, E(spl)m6-BFM, p8, BomT2, Dmel\CG17776 [Mitochondrial_membrane], Dmel\CG43182, Ggamma1, Dmel\CG11458, Dmel\CG46433, Dmel\CG44142, Drsl6, NEST:bs34b09, CG15281, ksh, Dmel\CG43169, Dmel\CG42649, RpL38 [Ribosomal_proteins]",17.5,elevated
10.0-12.0 kDa,10.0,12.0,343,0,0,6,Apoptosis; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome,,,"pre-mod(mdg4)-AA, SLIRP1, Dmel\CG7377, CG9167, Dmel\CG43405, hemo, BcDNA:RE60135, Tim8 [Mitochondrial_membrane], Dmel\CG13069, VhaM9.7-b, Dmel\CG33268, inaF-A, Dmel\CG43982, Dmel\CG42806, UQCR-Q, Dmel\CG45486, Dmel\CG42581, Triap1 [Apoptosis]",21.65,elevated
12.0-14.0 kDa,12.0,14.0,389,0,0,7,Actin_tubulin; Apoptosis; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins,,,"Dmel\CG42568, Dmel\CG14312, Dmel\CG14096, Dmel\CG44362, Dmel\CG42583, ATPsynGL [Mitochondrial_membrane], BaraC, Tst1, Cpr65Av, Dmel\CG13117, Dmel\CG32074, Dmel\CG15034, Dmel\CG32278, Dmel\CG43308, CG10674, Dmel\CG15200, Dmel\CG14984, ND-B12 [Mitochondrial_membrane]",24.7,high
14.0-16.0 kDa,14.0,16.0,361,1,1,6,Apoptosis; Autophagy; Histones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_proteasome,Atg8a,MED10,"Dmel\CG13050, CG13515, Cpr65Ea, BcDNA:RH04491, Dmel\CG13965, strat, dHYPK, DIGF-1, Dmel\CG44088, pal, BcDNA:AT27312, Dmel\CG15404, ITP, Obp18a, Cnep1r1, Dmel\CG13510, Dmel\CG31415, Dmel\CG34185",29.05,high
16.0-18.0 kDa,16.0,18.0,424,1,3,8,Actin_tubulin; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome,RpL32,"MED21, MED22, MED9","Chrac-16, Dmel\CG13689, Dmel\CG13239, Dmel\CG7781, Rbp1, RpS23 [Ribosomal_proteins], RpL32 [Ribosomal_proteins], Npc2a, ND-B14.5AL [Mitochondrial_membrane], RpL28 [Ribosomal_proteins], Dmel\CG9568, Dmel\CG11663, Pburs, Dmel\CG11300, MED21, Dmel\CG14658, Blos3, BcDNA:RE30174",35.5,high
18.0-20.0 kDa,18.0,20.0,355,0,1,7,Actin_tubulin; Autophagy; Heat_shock_chaperones; Mitochondrial_membrane; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome,,MED11,"ppl, mRpS17 [Ribosomal_proteins], EG:EG0003.8, Dmel\CG13994 [Ubiquitin_proteasome], Dmel\CG13560, BcDNA:AT27976, CCAP, Dmel\CG5500, Dmel\CG34312, RpL34a [Ribosomal_proteins], Dmel\CG15368, Archease, Dmel\CG12426, CG30182, Dmel\CG42655, Gadd45, Dmel\CG15023, RpS11 [Ribosomal_proteins]",24.5,high
20.0-22.0 kDa,20.0,22.0,441,0,2,9,Actin_tubulin; Apoptosis; Heat_shock_chaperones; Histones; Mitochondrial_membrane; RAS_ERK_MAPK; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome,,"MED28, Ras85D","retinin, Arf6, Dmel\CG34327, DCTN6-p27, mRpS10, Dmel\CG8300, Glo1, Dmel\CG34251, BcDNA:SD01241, dnd, mt:ND6, CheA7a, Sfp24F, arx, Hand, lectin-33A, Arpc3B [Actin_tubulin], Dmel\CG33654",29.75,high
22.0-24.0 kDa,22.0,24.0,358,2,2,6,Actin_tubulin; Heat_shock_chaperones; Mitochondrial_membrane; RAS_ERK_MAPK; Ribosomal_proteins; Ubiquitin_proteasome,"Rab5, Rab7","MED31, mad2","Cib2, Dmel\CG31109, Dmel\CG11226, CG14286, Dmel\CG14495, ND-SGDH [Mitochondrial_membrane], BcDNA:GH11730, Dmel\CG16813, VhaPPA1-1, CG15250, Dmel\CG42830, Dmel\CG14455, BP1005, Dmel\CG32797, Rab18, Dmel\CG14777, Dmel\CG34138, Dmel\CG3955",35.4,high
24.0-26.0 kDa,24.0,26.0,414,0,2,9,Apoptosis; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_kinases; Ribosomal_proteins; Ubiquitin_proteasome,,"MED18, MED7","tun, Dmel\CG12535, Dmel\CG14932, Dmel\CG14086, Dmel\CG43312, GLaz, LSm-4, Polr3G, Dmel\CG33262, Dmel\CG14362, Mabi, CREG, Dmel\CG4000, Dmel\CG13226, Dmel\CG13002, Cfap97D, Dmel\CG9782, Ccp84Ac",29.75,high
26.0-28.0 kDa,26.0,28.0,381,0,2,8,Actin_tubulin; GAPDH_metabolic_controls; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome,,"MED20, MED8","CG11134, Gas41, Lipt2, alphaTry, CG9154, Dmel\CG3699, Dmel\CG13616, Dmel\CG12729 [Ubiquitin_proteasome], BcDNA:GH06302, Dmel\CG13603, Vha26, Tsp42Eh, Dmel\CG33340, Osi9, CK02422a, Dmel\CG11672, Sld5, cerv",28.05,high
28.0-30.0 kDa,28.0,30.0,413,0,3,11,Actin_tubulin; Apoptosis; GAPDH_metabolic_controls; Histones; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome; Wnt_Wingless,,"MED4, MED6, imd","Obp83cd, Dmel\CG12861, CG6171, 15010468, Obp83ef, Jon65Aiv, EG:BACR25B3.6, lectin-29Ca, BaraA1, BaraA2, Dmel\CG32391, Dmel\CG34442, Obp56c, Jhbp7, Ag5r, CG11342, Dmel\CG9150, 312",32.75,high
30.0-32.0 kDa,30.0,32.0,362,1,1,12,Actin_tubulin; Apoptosis; Autophagy; GAPDH_metabolic_controls; Histones; JNK_MAPK; Mitochondrial_membrane; Notch; Protein_phosphatases; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome,porin,Jra,"Fire-like, Dmel\CG10053, Dmel\CG13408, Jhbp5, BcDNA:SD21514, Dmel\CG13996, Ip259, Fst, Ric, Osi7, Q9VXA9, fd19B, aqz, mt:CoIII [Mitochondrial_membrane], CAHbeta, Dmel\CG8508, Dmel\CG4815, wupA",33.6,high
32.0-34.0 kDa,32.0,34.0,320,0,1,8,Actin_tubulin; Mitochondrial_membrane; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless,,MED27,"Osi3, Mtap, Dmel\CG11095, Cchl, Dmel\CG13622, SPH199, anon2A5 [Mitochondrial_membrane], Dmel\CG10587, Dmel\CG14329, Dmel\CG34295, CG17837, Nubpl, Dmel\CG34206, Ing5, Dmel\CG8252, Dmel\CG34011, Osi6, HDC06756",23.5,high
34.0-36.0 kDa,34.0,36.0,352,2,3,9,Actin_tubulin; Apoptosis; GAPDH_metabolic_controls; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless,"Gapdh1, Gapdh2","MED19, MED30, TORIP","TORIP, Dmel\CG10973, Teh1, Dmel\CG11617, RpL5 [Ribosomal_proteins], Dmel\CG34444, CAH14, LPP-like, Dmel\CG6067, Dmel\CG10465, MET30, Dmel\CG46434, Dmel\CG6972, Dmel\CG32371, Surf1, jhamt, Dmel\CG14420, Osi18",38.85,high
36.0-38.0 kDa,36.0,38.0,329,0,0,7,Apoptosis; Autophagy; Notch; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_proteasome,,,"EG:BACR43E12.6, Sbp2, PPP1R15 [Protein_phosphatases], Tengl1, Dmel\CG14511, AnxB9, Mdh1, Dmel\CG1275, jet, Sr-CIII, wmd, anon-WO0242455.53, Zip48C, TBC1d7, JMJD7, elgi [Ubiquitin_proteasome], Ski8, Gmer",21.7,elevated
38.0-40.0 kDa,38.0,40.0,339,0,1,7,Histones; Mitochondrial_membrane; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome; Wnt_Wingless,,Torsin,"Dmel\CG10657, BVRA, Dmel\CG12224, sro, AlkB, Dmel\CG11674, QC, CG18512, CG7840, Tssk2, Dmel\CG8746, UBL3 [Ubiquitin_proteasome], Dmel\CG14074, Dmel\CG3397, Rpn8 [Ubiquitin_proteasome], Cyt-c1L, Dmel\CG10931, mtTFB1",23.7,high
40.0-42.0 kDa,40.0,42.0,316,2,0,9,Actin_tubulin; GAPDH_metabolic_controls; Heat_shock_chaperones; Mitochondrial_membrane; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome; Wnt_Wingless,"Act42A, Act5C",,"Dmel\CG11367, Dmel\CG7530, Dmel\CG4983, Dmel\CG14445, CG5135, Dmel\CG2082, Cpr97Ea, Ubx, Dmel\CG17287, SP42, Uro, Bace, Gpdh2, Rbp6, Prp38, Dmel\CG5418, FMRFa, Dmel\CG8870",32.55,high
42.0-44.0 kDa,42.0,44.0,313,0,2,8,Actin_tubulin; Apoptosis; JNK_MAPK; Notch; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome,,"Dsor1, bsk","Rpn13 [Ubiquitin_proteasome], Dmel\CG7810, Dmel\CG17134, Fa2h, Pbp45, CG13886, Arp53D [Actin_tubulin], Dmel\CG18563, HL03644, Dmel\CG17440, wkd, Ttc19, Dmel\CG14507, Dmel\CG18808, Dmel\CG12520, beg, Sdc, Rtc1",24.65,high
44.0-46.0 kDa,44.0,46.0,330,0,0,10,Actin_tubulin; Autophagy; Heat_shock_chaperones; Mitochondrial_membrane; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless,,,"CG12294, CG33047, Dmel\CG11099, Dmel\CG43711, Gr10b, sug, Dmel\CG8539, CtsK2, a6, Pect, BcDNA:SD02419, eIF3m, Dmel\CG2267, Lipt1, betaggt-I, Pk34A [Protein_kinases], anon-WO0118547.731, Dus4",24.0,high
46.0-48.0 kDa,46.0,48.0,307,0,1,13,Actin_tubulin; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ribosomal_proteins; Toll_Imd_NFkB; Ubiquitin_proteasome; Wnt_Wingless,,Egfrap,"Dmel\CG1105, Dmel\CG14834, SppL, Dmel\CG15056, Or94a, CG12822-PA, Dmel\CG3987, tin, Or42b, Gr85a, Or69a, Egfrap, Dmel\CG7264, Yp3, bip1, Dmel\CG9372, Dmel\CG9775, Gr22a",26.6,high
48.0-50.0 kDa,48.0,50.0,300,2,0,12,Actin_tubulin; Apoptosis; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Notch; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome; Wnt_Wingless,"alphaTub84B, alphaTub84D",,"GalT5, pre-lola-G, l(3)neo38, anon-WO0118547.264, PolD2 [Notch], sut4, rho-4, Dmel\CG10376, Diap1 [Apoptosis], CG13770, Dmel\CG3635, Dmel\CG10559, carboxypeptidase, 6959, Eig71Ee, cpt, M1BP, brwl",34.0,high
50.0-52.0 kDa,50.0,52.0,291,1,2,10,Actin_tubulin; Apoptosis; Autophagy; BMP_TGFbeta; Histones; Mitochondrial_membrane; Notch; Protein_kinases; Ubiquitin_proteasome; Wnt_Wingless,betaTub56D,"Mad, PVRAP","Dmel\CG33116, T3dh, Dmel\CG12061, Dmel\CG14718, Sry-delta [Notch], Uba3, acs, amls, Stard7, Dmel\CG14696, CG12258, Dmel\CG8563, Herp, Dbct, IP3K1, loqs, eIF4H2, nvd",30.05,high
52.0-54.0 kDa,52.0,54.0,265,0,3,8,Actin_tubulin; BMP_TGFbeta; Hedgehog; JNK_MAPK; Mitochondrial_membrane; Protein_kinases; Ubiquitin_proteasome; Wnt_Wingless,,"Smox, ptch, sgg","Acph-1, ppk30, Jheh2, Dmel\CG8366, Drep4, FBgn, Dmel\CG42826, polyph, Dmel\CG7239, BcDNA:LP01340, ap, Ets65A, path, Sms, Dph2, Orc5, Dmel\CG8785, Argk3",23.75,high
54.0-56.0 kDa,54.0,56.0,247,1,2,10,Apoptosis; GAPDH_metabolic_controls; Heat_shock_chaperones; Histones; Insulin_PI3K_AKT_TOR; Mitochondrial_membrane; Protein_kinases; Ribosomal_proteins; Ubiquitin_proteasome; Wnt_Wingless,ATPsynbeta,"S6KL, S6k","CapaR, Dmel\CG32204, dmGlut, BcDNA:RE64043, ana, sut2, Dmel\CG17782, Mur29B, Rh50, Dmel\CG1774, Dmel\CG11927, Dmel\CG5653, Dmel\CG14015, Dmel\CG18493, Dh44-R2, Dmel\CG15572, trbl, PIG-M",27.85,high
56.0-58.0 kDa,56.0,58.0,277,0,1,9,Apoptosis; Autophagy; GAPDH_metabolic_controls; Mitochondrial_membrane; Notch; Protein_kinases; Protein_phosphatases; Toll_Imd_NFkB; Ubiquitin_proteasome,,pll,"Rpn3 [Ubiquitin_proteasome], gene, Dmel\CG16721, PIG-Q, Es2, Ofut2, emei, CtIP, Dmel\CG3610, Synd, PGRP-LC, Dmel\CG7352, SmydA-9, mthl6, B-H1, Cp7Fb, VGlut2, Vml",22.1,elevated
