family	mw_kda	gaussian_family_mass	family_member_count
Actin family	0.0	5.0461203954161	1317
Actin family	0.25	6.650892025001736	1317
Actin family	0.5	8.424143280161026	1317
Actin family	0.75	10.309665516439313	1317
Actin family	1.0	12.251039078617097	1317
Actin family	1.25	14.214116458236454	1317
Actin family	1.5	16.18072447465333	1317
Actin family	1.75	18.151408857531756	1317
Actin family	2.0	20.141919208615594	1317
Actin family	2.25	22.178528277628505	1317
Actin family	2.5	24.302451686033184	1317
Actin family	2.75	26.565726360928227	1317
Actin family	3.0	29.02656234906337	1317
Actin family	3.25	31.727524142240718	1317
Actin family	3.5	34.68109775148538	1317
Actin family	3.75	37.85246709953374	1317
Actin family	4.0	41.14184839195204	1317
Actin family	4.25	44.40377602986177	1317
Actin family	4.5	47.45918820622707	1317
Actin family	4.75	50.13557143428645	1317
Actin family	5.0	52.29478838181752	1317
Actin family	5.25	53.864153773492276	1317
Actin family	5.5	54.83731745396378	1317
Actin family	5.75	55.27034476322516	1317
Actin family	6.0	55.26242420955969	1317
Actin family	6.25	54.934728472329446	1317
Actin family	6.5	54.408171490434356	1317
Actin family	6.75	53.799050252677446	1317
Actin family	7.0	53.2193627770802	1317
Actin family	7.25	52.79037136109443	1317
Actin family	7.5	52.633253086101135	1317
Actin family	7.75	52.87348956224233	1317
Actin family	8.0	53.62441663844027	1317
Actin family	8.25	54.95407037558239	1317
Actin family	8.5	56.869126144590226	1317
Actin family	8.75	59.291483678581045	1317
Actin family	9.0	62.06423328520236	1317
Actin family	9.25	64.96529519486059	1317
Actin family	9.5	67.74635923864629	1317
Actin family	9.75	70.17895615014345	1317
Actin family	10.0	72.09499166790928	1317
Actin family	10.25	73.42074874266547	1317
Actin family	10.5	74.18224291147715	1317
Actin family	10.75	74.47826951435923	1317
Actin family	11.0	74.44270374900171	1317
Actin family	11.25	74.20620398414647	1317
Actin family	11.5	73.85169279727573	1317
Actin family	11.75	73.41312527173608	1317
Actin family	12.0	72.88058372808477	1317
Actin family	12.25	72.22675164088035	1317
Actin family	12.5	71.42071244547472	1317
Actin family	12.75	70.44345012021189	1317
Actin family	13.0	69.3009128525552	1317
Actin family	13.25	68.01460684710113	1317
Actin family	13.5	66.64887821790389	1317
Actin family	13.75	65.30997072487426	1317
Actin family	14.0	64.14959180817885	1317
Actin family	14.25	63.34709005144454	1317
Actin family	14.5	63.095066679034716	1317
Actin family	14.75	63.535214659397425	1317
Actin family	15.0	64.73043048013696	1317
Actin family	15.25	66.62520977618951	1317
Actin family	15.5	69.04264777674507	1317
Actin family	15.75	71.70674974094358	1317
Actin family	16.0	74.28185123604675	1317
Actin family	16.25	76.44783391807765	1317
Actin family	16.5	77.95573668939753	1317
Actin family	16.75	78.67621323415807	1317
Actin family	17.0	78.60969492522335	1317
Actin family	17.25	77.87194513990929	1317
Actin family	17.5	76.6555574083501	1317
Actin family	17.75	75.17402744551009	1317
Actin family	18.0	73.62329342402609	1317
Actin family	18.25	72.16545883692302	1317
Actin family	18.5	70.92199895245551	1317
Actin family	18.75	69.98162227804522	1317
Actin family	19.0	69.39432848440781	1317
Actin family	19.25	69.15756907279066	1317
Actin family	19.5	69.21002319285142	1317
Actin family	19.75	69.41480263868335	1317
Actin family	20.0	69.58921217141506	1317
Actin family	20.25	69.52679552252688	1317
Actin family	20.5	69.07267402314157	1317
Actin family	20.75	68.14709572276632	1317
Actin family	21.0	66.78420655657712	1317
