mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
0.0-2.0 kDa	0.0	2.0	332	1	6	6	AKT pathway; Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Mitochondrial markers; p53 pathway	Tfrc	Akt1s1, Ccnb1ip1, Ccnl1, Cdk17, Rbbp6, Rbm47	Gm45021, , Aars1, Ighd1-1, Tsc2, , Tlr3, Tor1aip2 [Actin family], Dtx2, Slc2a4, Pou2f1, Ighd1-3, Rnf44, Dab2, Pgpep1, Nrip1 [Actin family], Tll1, 	35.1	elevated	1.0	826.3109843045752	9.690541035677402	0.9816607233825777	0.9336461592627857	9.603238062640159	30.072975289890767	0.7400934254578668	74.00934254578668
2.0-4.0 kDa	2.0	4.0	958	0	20	12	AKT pathway; Actin family; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway		Aktip, Ccnd3, Ccnl1, Ccny, Cdk6, Cdk9, Jak1, Map2k4, Map3k12, Mapkap1, Prkag2, Prkcg, Rassf2, Rassf6, Rbbp8, Rbm38, Rbsn, Rhox7a	Traj9, Traj25, Stac3, Akap7, Traj24, Traj31, Hras, Glt8d1, Man2a2, Traj41, Mier1, Trgj2, Traj34, Chd7, Aasdh, Sgms2, Traj33, Traj4	59.0	high	3.0	2188.8317999118517	11.095945379995735	0.9910213958227203	0.31748038056380123	28.732853233738584	94.01586719314514	0.7464924620177034	74.64924620177034
4.0-6.0 kDa	4.0	6.0	1867	1	58	13	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	H3f3a	Akt1s1, Aktip, Bcl2l13, Bclaf1, Bclaf3, Ccn4, Ccnd3, Cdk17, Cdk19, Cdk20, Cdk2ap2, Cdk5rap3, Cdkl3, Cdkn2aipnl, Cdkn2d, Jakmip2, Map3k12, Mapk13, Mapk14, Mapk8, Mapkap1, Pik3cd, Prkab2, Prkag3, Prkar1b, Prkar2a, Prkcz, Rasa2, Rasa3, Rasgef1b, Rasl12, Rassf4, Rassf6, Rassf7, Rb1, Rb1cc1, Rbakdn, Rbbp4, Rbfox2, Rbm25, Rbm39, Rbm48, Rbm6, Rbm7, Rbpms, Rbsn, Rell1, Reln, Tgfb1, Tgfbrap1	Abhd5, Dnajc1 [Heat shock proteins], Sun2, Cx3cl1, Calm2, Mettl1, Sacm1l [Actin family], Rgsl1, Cdh5, Sgms1, Chd2, Ddx51, Slc22a21, Sema4c, Fkbp8, Sil1, Galt, Lce1m	121.75	high	5.0	3522.2804778165805	11.78229407964717	0.9951604686704024	2.435267387378793	60.02340917386158	186.9873318367023	0.909789301175105	90.9789301175105
6.0-8.0 kDa	6.0	8.0	2183	5	49	14	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Cox4i1, Gapdh, H3f3a, Vdac2	Akt2, Bcl2l13, Bcl7c, Bclaf3, Casp4, Ccnd3, Ccne1, Cdk18, Cdk20, Cdk4, Cdk5rap2, Cdk9, Fosl1, Map2k2, Map3k11, Map3k4, Mapk13, Mapkapk5, Pik3cb, Pik3cd, Prkg1, Prkn, Rasgrp2, Rasgrp3, Rbakdn, Rbis, Rbm20, Rbm33, Rbm39, Rbm6, Rbp7, Rbpms, Rbx1, Rela, Relt, Rho, Rhoa, Smad2, Stat5a	Krtdap, Acbd4, Mlst8, Eri1, Stat5a [JAK-STAT], Retreg1, Xkr5, Shb, S100a14, Plpp5, Gpr12, Slc2a4, Gimap4, Psma3, Ppat, Gm64043, Phf3, Chfr	129.0	high	7.0	4450.226053864855	12.119662905798805	0.9977075904228222	4.961443951223206	63.783343277424066	205.8591701699701	0.967853501860515	96.7853501860515
8.0-10.0 kDa	8.0	10.0	2351	3	62	14	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Atp5f1a, Hsp90ab1, Tbp	Akt1s1, Akt2, Bcl2l1, Bcl2l11, Bcl2l12, Bcl2l2, Bcl7c, Bcl9l, Ccn2, Ccnd3, Ccni, Ccnyl1, Cdk17, Cdk2ap1, Cdk5rap3, Cdk6, Cdkal1, Cdkl2, Cdkl3, Hif3a, Jakmip1, Map2k2, Map2k4, Map2k7, Map3k20, Map3k5, Mapkapk3, Pik3r2, Pik3r3, Prkar1b, Prkrip1, Rasal1, Rasgrp4, Rassf1, Rassf4, Rassf7, Rassf8, Rbakdn, Rbbp6, Rbbp7, Rbis, Rbm18, Rbm25, Rbm3, Rbm38, Rbm6, Rbx1, Relch, Rell2, Rhobtb3, Rhog, Rhox3a, Rhox3a2, Rhox3c, Rhox3e, Rhox3f, Rhox3h, Smad6	Ubxn2a, Vmn2r83, Gm6993, Slc16a11, Krtap6-1, Styx, Litafd, Sp140l2, Rcbtb2, Ncl, Cox8c [Mitochondrial markers], Grip1 [Actin family], Rad9a, Asph, D2hgdh, Ppid, Cystm1, A630089N07Rik	138.5	high	9.0	4866.317129430606	12.248614625930745	0.9985354049923586	3.898522492378935	77.24280036896464	247.45703265313517	0.962057017857458	96.2057017857458
10.0-12.0 kDa	10.0	12.0	2494	5	55	14	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; Nuclear receptor PPAR; Tubulin family; p53 pathway	Actb, Cox4i1, Hsp90aa1, Tomm20	Akt1s1, Akt2, Bcl2l1, Bcl3, Casp1, Casp4, Ccna1, Ccnd3, Ccnl2, Ccny, Cdk14, Cdk2ap2, Cdk5rap2, Cdkal1, Cdkl3, Foxo3, Gskip, Jakmip1, Map2k4, Map3k4, Pparg, Prkcz, Prkg2, Prkn, Raf1, Rasgef1b, Rasgrp2, Rassf8, Rb1cc1, Rbis, Rbm18, Rbm25, Rbm38, Rbm5, Rbmx, Rbp4, Rbpms, Rhobtb1, Rhobtb3, Rhoj, Rhoq, Rhox2c, Rhox2f, Rhox2g, Rhox2h, Srcin1	Evc, Dbi, Ccdc71, A030005L19Rik, Arhgef40, Tmbim1, Clec4n, Kcnj13, Arhgef39, Lce3a, Zfand2a, Gm27235, Ctdnep1 [Mitochondrial markers], Mppe1, Acbd7, Gm17655, Taf11, Sgk1	138.0	high	11.0	5236.793269300257	12.35446793790416	0.999490575649516	5.434486350489207	74.03863846776892	260.9209633816556	0.9808944417781577	98.08944417781576
12.0-14.0 kDa	12.0	14.0	2736	6	53	15	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	H3f3a, Hsp90ab1, Hspa8, Lmna, Tbp, Tubb3	Akt1s1, Bcl2l12, Bcl2l2, Bcl6b, Ccnd3, Ccnf, Ccnh, Cdk10, Cdk2ap1, Cdk2ap2, Cdk5rap3, Cdk8, Cdkal1, Cdkn2aip, Cdkn2aipnl, Cdkn2b, Mapk1, Mapk1ip1l, Mapkapk5, Mdm4, Pik3cd, Pik3r1, Prkacb, Prkar1b, Prkch, Prkcsh, Prkg2, Raf1, Rassf7, Rbbp5, Rbbp6, Rbbp8, Rbm14, Rbm17, Rbm38, Rbm5, Rbp4, Rbx1, Rela, Relb, Relt, Rhoc, Rhot2, Rhox2c, Smad3, Stat6, Tgfb1i1, Tgfbrap1	, Atp8a1, Ms4a15, Tgfbrap1, Nrg2, , Rtca, Pemt [Lamin family], St6galnac6, , , Pum2, Stk19, Zfp655, Pex39, Rbbp5 [Histone family], Slurp1, Tsr3	140.75	high	13.0	5249.814669142353	12.358050777797287	0.9995542536933265	7.610583665264232	63.8378302146148	266.64565549960764	0.989593825320767	98.9593825320767
14.0-16.0 kDa	14.0	16.0	2255	5	40	14	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Nuclear receptor PPAR; Tubulin family; p53 pathway	H2ac1, H3c1, H3c2, H3f3a, Tbp	Akt1, Bcl2a1c, Bcl2l14, Casp3, Ccnd3, Cdk10, Cdk5r1, Cdk5rap3, Cdkl3, Cdkn1c, Gskip, Map2k4, Mapk1, Mapk15, Mdm4, Nfkb1, Nfkbib, Ppargc1a, Prkce, Prkci, Prkcz, Rasa4, Rasgrp2, Rbfox1, Rbfox3, Rbm10, Rbm12, Rbm28, Rbm48, Rbm8a, Rbp1, Rbp2, Rbp7, Relb, Rell2, Stat1, Stat5a	Crebl2, Trbv12-2, Inpp5d, Nop56, Reep6, Tktl1, Ankrd24, Cpne6, Rab38, Gm3676, Ccdc163, Nsun3, H2ac21 [Histone family], Cbx6, Sox6, Txndc17, Tsen15, Sptbn4	115.5	high	15.0	4807.2367891525755	12.230992152444657	0.9984080489047377	7.07113126661249	57.109274115471095	233.31275945654392	0.9725264557345004	97.25264557345004
16.0-18.0 kDa	16.0	18.0	2093	3	53	14	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Actb, Rplp0, Tomm20	Bcl2l1, Bcl2l12, Bcl7b, Casp1, Ccn4, Ccna2, Ccnh, Ccni, Ccnl1, Cdk10, Cdk20, Cdk4, Cdk5rap3, Cdkn1a, Cdkn2a, Cdkn2d, Hif3a, Jakmip1, Map3k5, Map3k7cl, Mapk1ip1l, Mdm2, Pik3cd, Pik3ip1, Prkag1, Rasal2, Rasgrf1, Rasl10b, Rbbp5, Rbm25, Rbm3, Rbm4, Rbm47, Rbm4b, Rbm5, Rbm7, Rbpms, Rbsn, Rell2, Rhoc, Rhoq, Rhox12, Smad3, Tgfbr3	Usp15, Slc35b3, Folr1, MNCb-2990, Cep72, Zfp429, Tdrkh, Klf15, Mef2c, Zfp965, Snrpb2, Uqcrc2 [Mitochondrial markers], Rpl32-ps, Grsf1, Dusp3, Bsph1, Pbsn, Arhgap42	125.0	high	17.0	4269.906010663702	12.059988598198307	0.9973255221599593	4.144593200789523	60.923637134071754	207.00904224459472	0.9512046484191777	95.12046484191778
18.0-20.0 kDa	18.0	20.0	1887	4	51	13	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Cox4i1, Hsp90ab1, P4hb, Tbp	Bcl2a1, Bcl2l15, Ccna1, Ccnd2, Ccne1, Ccni, Ccnl1, Cdk14, Cdk19, Cdk8, Cdkn1c, Cdkn2a, Cdkn2c, Map2k3, Map3k5, Mapk10, Mapkap1, Mapkapk2, Pik3ip1, Prkab1, Prkab2, Prkar1a, Prkrip1, Rasa4, Rasal2, Rasgrp2, Rasl12, Rb1cc1, Rbfox3, Rbm25, Rbm39, Rbm4, Rbm44, Rbm8a, Rbm8a2, Rbms3, Rbmyf4, Rbpms2, Rell2, Rhoa, Rhoj, Rhot2, Rhox2a, Rhox2c, Rhox3g, Rhox3h, Rhox9, Stat1	Prdm11, Syp, Ndfip1 [Actin family], Spaca5, Polg2, Ube2i, Zfp426, Pigp, Wtip [Actin family], Jchain, Pcca, Il36a, Ncbp2, Cpne8, Srr, Czib, Slxl1, Utp20	126.25	high	19.0	4100.741552323413	12.001669105886151	0.9967524197656648	3.792027009352527	63.40917494915432	196.08240760256353	0.9465899290747081	94.6589929074708
