metric	value
protein_count_analyzed	54857
mw_column	mw_kda
minimum_mw_kda	0.66374358
median_mw_kda	30.14124778
mean_mw_kda	47.01371890682615
maximum_mw_kda	3925.5382021787127
hard_window_tolerance_kda	2.0
gaussian_sigma_kda	1.0
bin_width_kda	2.0
median_window_candidate_count	2949.0
mean_window_candidate_count	2695.0128333667535
median_effective_candidate_number	3025.3914498995578
mean_effective_candidate_number	2775.1333973459186
median_identity_entropy_bits	11.562906106815188
median_nearest_neighbor_gap_kda	0.0006099000000006072
