mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
0.0-2.0 kDa	0.0	2.0	61	30.5	126.72181066805301	130.3887040677543	4.840054755013645	0.007922584904997502	0.9672466734902764	0.032753326509723624	1.5475001160655737	133.0	129.78688524590163	107.9871642027169	98.46567578994258	4.870520020493086	0.007669376018035786	0.007976299999999936
2.0-4.0 kDa	2.0	4.0	79	39.5	138.82711887081464	137.85517311832467	4.93295499571499	0.007207149382481604	0.9698055271238485	0.030194472876151512	2.6117344989873414	140.0	139.86075949367088	111.07773388521002	97.80745236348761	4.926203663920737	0.007253989657259173	0.006006300000000131
4.0-6.0 kDa	4.0	6.0	41	20.5	160.09699236381772	153.14225879455853	5.069523589146039	0.006324290247731206	0.9708290685772774	0.029170931422722646	5.317191482439024	127.0	134.4878048780488	76.07531684523485	80.14717922086587	5.031367285442717	0.006529876259311986	0.011073199999999339
6.0-8.0 kDa	6.0	8.0	138	69.0	312.6755323620684	321.65073105827196	5.721101299451518	0.0033606058541944543	0.9779938587512794	0.02200614124872058	7.165120166956521	302.5	291.19565217391306	188.57744709610307	182.12083019929062	5.773458863990812	0.003109008365136717	0.0038240000000038243
8.0-10.0 kDa	8.0	10.0	238	119.0	595.3159209986691	601.9583949009518	6.375662208220514	0.0017263698000013407	0.9861821903787104	0.013817809621289645	9.080205368235294	577.5	565.7142857142857	348.12102109806904	348.29451098948954	6.400187977949814	0.001661245553666158	0.00343520000000197
10.0-12.0 kDa	10.0	12.0	467	233.5	1001.8146733293202	1013.2858501148049	6.898751837331343	0.0010203392178208517	0.9923234390992836	0.007676560900716445	10.996623550663815	1000.0	978.4625267665953	587.977195571128	598.5116039040965	6.9209536461949295	0.0009868883493110068	0.001490099999996275
12.0-14.0 kDa	12.0	14.0	745	372.5	1208.5755505530005	1210.607617122278	7.097190177241149	0.0008274328452537851	0.9969293756397134	0.0030706243602866	12.962447111275173	1208.0	1210.4939597315436	832.7131634807969	819.741945194145	7.09887767546016	0.000826031478619876	0.00092549999999747
14.0-16.0 kDa	14.0	16.0	436	218.0	1080.744647319289	1084.9632472420312	6.982691477992453	0.0009303511522073116	0.9948822927328557	0.0051177072671443335	14.936586849724781	1015.5	1029.9747706422017	591.8900877768604	611.0178345224881	6.989301363387845	0.0009216902595997468	0.0015785499999942942
16.0-18.0 kDa	16.0	18.0	461	230.5	929.7819124147359	927.2589646469493	6.834895096735611	0.0010756390228983032	0.9897645854657113	0.010235414534288667	17.031015562863352	891.0	889.587852494577	564.7939966785696	563.3121210238274	6.83223288431644	0.001078447378916144	0.0017046000000107142
18.0-20.0 kDa	18.0	20.0	448	224.0	1011.706535391362	1011.2418233628639	6.918812805157003	0.0009895791935015399	0.9928352098259979	0.007164790174002067	18.999161384017867	982.0	972.5066964285714	592.164431261124	598.3665759972173	6.918934378148781	0.000988883159233229	0.0015840500000035007
20.0-22.0 kDa	20.0	22.0	585	292.5	1114.6036416933864	1110.1564585589888	7.015935913685308	0.0008977503315743654	0.9959058341862845	0.004094165813715467	21.01920131863249	1079.0	1086.8529914529915	698.1186670289367	692.0635293015596	7.012256238030093	0.000900773933521069	0.0011790000000004852
22.0-24.0 kDa	22.0	24.0	556	278.0	1213.5452167350966	1217.7240418051042	7.1010975590735415	0.0008243685807043182	0.9974411463664279	0.0025588536335721113	23.003227712553965	1169.0	1171.9892086330935	716.2232985129945	722.0919918551468	7.104738855902058	0.0008212041199318456	0.0013109999999905142
24.0-26.0 kDa	24.0	26.0	666	333.0	1255.5159458124313	1256.3144214823978	7.135300342302024	0.000796487754174842	0.9979529170931423	0.0020470829068577334	25.04498145192193	1224.0	1227.1381381381382	787.4624469574868	784.2925526649926	7.13593765127056	0.0007959790820741205	0.0010494000000065284
26.0-28.0 kDa	26.0	28.0	559	279.5	1201.829713285069	1208.962563031786	7.091062735313475	0.0008329644674602916	0.996417604912999	0.003582395087000978	26.98944291363149	1170.0	1172.2432915921288	727.2062249296728	728.6135243480873	7.097517884901105	0.0008271554724508935	0.0013212000000208945
28.0-30.0 kDa	28.0	30.0	506	253.0	1070.1224739588129	1064.0982064084726	6.975242338386636	0.000935005258369368	0.9943705220061413	0.005629477993858711	28.95435637367589	1017.0	1026.5810276679842	638.6119780902269	640.7133262033987	6.9698829646348655	0.0009397628851402453	0.0012260499999978691
30.0-32.0 kDa	30.0	32.0	490	245.0	1064.0139241307877	1039.224191067894	6.968943132691655	0.0009414274449330993	0.9938587512794268	0.0061412487205732	31.00961085979592	989.0	989.5448979591837	615.9548490564234	620.3788237658567	6.9462297435008935	0.0009622562762314896	0.0013314000000050896
32.0-34.0 kDa	32.0	34.0	545	272.5	1768.5978947380145	1814.099056145769	7.460950908848972	0.0005855416212411093	0.9989764585465711	0.0010235414534288667	33.05407233908257	1680.0	1652.783486238532	897.913490559569	934.3407877128059	7.503344235659268	0.0005512378150532738	0.0012825999999961368
34.0-36.0 kDa	34.0	36.0	1722	861.0	2367.7794938491106	2387.0206345251036	7.76952580585532	0.0004224918039568061	1.0	0.0	35.04853475067363	2423.0	2402.1085946573753	1744.3180991295899	1705.093976883839	7.777801270827357	0.0004189322813432546	0.00038930000000547693
36.0-38.0 kDa	36.0	38.0	734	367.0	2029.8210927776104	2093.795215171771	7.60439039508042	0.000504233596708252	0.9994882292732856	0.0005117707267143778	36.949402651117154	2059.5	1965.1198910081744	1114.6702031192467	1151.61804328534	7.646733576416143	0.00047760163993780064	0.0009563999999784301
38.0-40.0 kDa	38.0	40.0	553	276.5	1277.1489268468436	1254.3680276026153	7.150053617986926	0.0007866100025576243	0.9984646878198568	0.0015353121801432446	38.91914193569618	1177.0	1180.48643761302	727.3768362453853	735.7167802901776	7.134387161071868	0.0007972141971054772	0.0011394000000279902
40.0-42.0 kDa	40.0	42.0	551	275.5	1107.2764292322413	1102.620029597087	7.009460677179617	0.000903473061653379	0.9953940634595702	0.004605936540429845	41.009562658947345	1069.0	1069.4410163339383	676.0880462911722	675.6565575410921	7.0054444717778965	0.0009069307405611107	0.001332300000079556
42.0-44.0 kDa	42.0	44.0	503	251.5	1047.1701464591167	1050.2912948490243	6.953654529454156	0.000955322884666383	0.9933469805527124	0.006653019447287578	42.94717197025842	1023.0	1017.1630218687873	634.7640909762143	634.4676400418169	6.956822828342477	0.0009521168126445783	0.0011951999999837426
44.0-46.0 kDa	44.0	46.0	451	225.5	989.8352041610965	989.2686924305683	6.897528884655453	0.0010102885040863233	0.9918116683725691	0.008188331627430934	44.96233807423499	951.0	949.4057649667405	587.5144363864194	588.480271919	6.89696597564483	0.0010108477177651965	0.0016193999999600805
46.0-48.0 kDa	46.0	48.0	510	255.0	955.2322210981214	949.9440766212626	6.861880481820935	0.0010470202593118373	0.9907881269191402	0.0092118730808598	46.97625434882348	926.0	930.5333333333333	601.4980047532888	595.8498693062909	6.856403111478631	0.0010526935573874413	0.0014154000000452527
48.0-50.0 kDa	48.0	50.0	430	215.0	905.0223385319972	900.3529397848657	6.807546544366578	0.0011058561514704563	0.9887410440122825	0.011258955987717534	49.05436429046507	854.0	871.060465116279	533.221808834885	538.3378732753775	6.802786841716176	0.0011106755539029502	0.0016781000000030133
50.0-52.0 kDa	50.0	52.0	408	204.0	904.0956769626669	910.3106732464742	6.806826636118751	0.001106318686620264	0.9882292732855681	0.011770726714431912	51.04511394348034	880.0	871.1176470588235	535.8422318317917	539.7577223239731	6.813785940347151	0.0010985260631715763	0.0015824500000576336
52.0-54.0 kDa	52.0	54.0	469	234.5	944.2512059210612	945.5853254913224	6.850258725102705	0.0010593233786946419	0.9902763561924258	0.009723643807574178	52.99395815206816	927.0	918.2515991471215	582.4026213236684	579.7137033639235	6.851804127803966	0.0010575460225975947	0.0014344000000150459
54.0-56.0 kDa	54.0	56.0	473	236.5	958.1803920397506	956.9597379098502	6.865032180188411	0.0010436529117424068	0.9912998976458547	0.008700102354145312	54.99936114004221	929.0	929.3636363636364	583.082711430986	582.0617792175481	6.863761319418357	0.0010449760427582422	0.0013501999999405712
56.0-58.0 kDa	56.0	58.0	475	237.5	919.0068396435361	920.5375560525297	6.822933929449636	0.0010889147058466364	0.989252814738997	0.010747185261003045	57.05962076105255	892.0	895.4757894736842	568.8278715016847	565.3230227267014	6.8249577994633706	0.0010863217838587955	0.0013872999999833269
58.0-60.0 kDa	58.0	60.0	378	189.0	838.5050852061006	844.2738773229488	6.730928993027903	0.0011942588662212374	0.9877175025588536	0.0122824974411464	59.01131290830679	819.5	813.8015873015873	501.3416233328557	504.52395501469516	6.738476729105234	0.0011844502725478464	0.0020177000000174417
60.0-62.0 kDa	60.0	62.0	358	179.0	735.4720371002709	736.6666219536182	6.599993873564517	0.00136108394405107	0.9872057318321392	0.012794268167860778	60.96809125094963	715.0	709.7653631284916	445.40852564652846	444.62839343840733	6.602135443329969	0.0013574661506755563	0.0021614999999854945
62.0-64.0 kDa	62.0	64.0	318	159.0	647.7846574937251	645.395308600071	6.472900272706091	0.0015457510599619269	0.9866939611054247	0.013306038894575267	62.995454096352105	616.0	626.0283018867924	394.11259811712796	392.9609250296291	6.469862989199409	0.0015494380413028366	0.0021473999999415128
64.0-66.0 kDa	64.0	66.0	274	137.0	583.7880063053725	582.5641561019263	6.36902224547016	0.0017147179617467072	0.9856704196519959	0.014329580348004134	65.01855234824806	565.0	564.1350364963504	346.6240170473611	349.3464595304575	6.3674392278094825	0.0017165494497357835	0.0027156000000303493
66.0-68.0 kDa	66.0	68.0	259	129.5	539.0799961122283	539.6034347528033	6.289755445850886	0.00185541499337874	0.9851586489252815	0.014841351074718512	66.98035705258677	525.0	520.6679536679536	326.8665696176074	326.257219191977	6.290834489681769	0.001853212814440494	0.002529599999732568
68.0-70.0 kDa	68.0	70.0	238	119.0	518.2930052069357	518.902327959973	6.250515860969648	0.001929506623366209	0.984646878198567	0.015353121801433	68.98071422285707	499.5	500.46638655462186	309.5485316663985	310.0276429790158	6.251715672666144	0.0019271449484515872	0.0027017499999999472
70.0-72.0 kDa	70.0	72.0	253	126.5	500.6325079268401	500.9931115873397	6.215821006372573	0.0019976783319611605	0.9841351074718526	0.01586489252814738	70.93277376893278	488.0	486.7154150197629	310.73051444284124	308.1230315945932	6.2165923516636745	0.0019960354281750776	0.002815499999996973
