mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
0.0-2.0 kDa	0.0	2.0	1	0.5	41.21788350386987	41.21788350386987	3.718872227804158	0.024261313657847373	0.7857142857142857	0.2142857142857143	1.97641008	34.0	34.0	13.71159572749234	13.71159572749234	3.718872227804158	0.024261313657847373	0.7356649999999996
2.0-4.0 kDa	2.0	4.0	34	17.0	75.03844829235015	73.01164559181659	4.307969742989325	0.01359357578126652	0.8214285714285714	0.1785714285714286	3.4291765035294115	69.0	70.32352941176471	48.97200672558307	49.10910589202517	4.290618032919927	0.013696470476951945	0.0125743500000004
4.0-6.0 kDa	4.0	6.0	58	29.0	139.8155857063374	145.42650815904136	4.929504966098318	0.0073149008061747425	0.875	0.125	5.156961940344827	141.0	136.79310344827587	82.25732417297826	82.6182833009923	4.97966993477783	0.006876338186147236	0.010144700000000562
6.0-8.0 kDa	6.0	8.0	103	51.5	185.65704478418533	187.9188306825622	5.221778016266979	0.005409409357890133	0.8928571428571429	0.1071428571428571	7.026582568349514	187.0	184.09708737864077	120.02711712530493	117.5521660485365	5.236010117909854	0.005321446479673068	0.006910299999998593
8.0-10.0 kDa	8.0	10.0	98	49.0	217.80610606883786	212.67865656774262	5.381875121948793	0.004607026863961301	0.9035714285714286	0.09642857142857142	9.036935817755104	202.0	204.3265306122449	123.82677689747442	125.23233823656616	5.359782266457874	0.004701930259894365	0.007199899999998038
10.0-12.0 kDa	10.0	12.0	124	62.0	308.51665861288876	316.05131894625765	5.726824169601091	0.0032744314842169104	0.9607142857142857	0.03928571428571426	11.150996196935488	313.5	298.60483870967744	183.42487365016137	181.21038343869222	5.755904238246009	0.003164045418642833	0.0054637999999993525
12.0-14.0 kDa	12.0	14.0	222	111.0	372.63621546685863	373.4614855583916	5.9201222628679275	0.0026861734846723804	1.0	0.0	12.978425744864873	376.0	371.05855855855856	246.4389035493964	244.6891726369571	5.9228148774563145	0.0026776523067901527	0.002494699999990857
14.0-16.0 kDa	14.0	16.0	161	80.5	362.47543254628573	362.514068545762	5.891766260719679	0.002765392804745461	0.9964285714285714	0.0035714285714285587	15.03383577751554	337.0	350.7950310559006	210.24476050216015	213.36818674969905	5.893063283323062	0.0027585136323440783	0.004387199999998259
16.0-18.0 kDa	16.0	18.0	157	78.5	324.2470368634771	324.0934165741312	5.781308792485976	0.0030852843354396533	0.9714285714285714	0.02857142857142858	16.95305999210192	316.0	313.5923566878981	196.40948725606447	196.81622257570336	5.7810317969949745	0.0030855301245258896	0.003096899999995628
18.0-20.0 kDa	18.0	20.0	142	71.0	305.3544905496443	305.0469801687823	5.721445207623602	0.003275066412120313	0.95	0.050000000000000044	18.975474933521138	292.0	292.50704225352115	180.11060126508505	181.05611680966643	5.720465797694893	0.003278183577586781	0.006814049999993799
