mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
0.0-2.0 kDa,0.0,2.0,1,0,0,0,,,,YJR151W-A,0.05,routine
2.0-4.0 kDa,2.0,4.0,34,0,0,1,Ribosomal_proteins,,,"YNL040C-A, YOR302W, YPR160W-A, YHR073C-B, YJL077W-A, YMR182W-A, YMR242W-A, YJL136W-A, YGL007C-A, YHL015W-A, YAR035C-A, RPL41A [Ribosomal_proteins], RPL41B [Ribosomal_proteins], YKL145W-A, YNR075C-A, YFR012W-A, YGR174W-A, YBL039C-A",2.45,routine
4.0-6.0 kDa,4.0,6.0,58,0,0,1,Mitochondrial_membrane,,,"YJL077W-B, YMR315W-A, YBR221W-A, YMR272W-B, YGL006W-A, MFA2, YML007C-A, YDR118W-A, YER053C-A, PMP1, YBR296C-A, YLR264C-A, YGR204C-A, YJL052C-A, PLS1, YBL100W-C, YKL106C-A, YLR364C-A",3.65,routine
6.0-8.0 kDa,6.0,8.0,103,0,0,3,ER_UPR; Mitochondrial_membrane; Ribosomal_proteins,,,"MCO6, YLR154C-G, YGR146C-A, YML054C-A, YOR293C-A, YDR194W-A, YOR072W-B, PMP3, YBR072C-A, YLR157W-E, YOR376W-A, YBR121C-A, YML100W-A, YBR196C-A, YER078W-A, Q0017, YCR095W-A, YIL046W-A",7.4,routine
8.0-10.0 kDa,8.0,10.0,98,0,0,5,Autophagy; Heat_shock_chaperones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_system,,,"YGR121W-A, ERI1, COX17 [Heat_shock_chaperones; Mitochondrial_membrane], HSK3, EGO2, DAD4, ATG44 [Autophagy], YLR157W-D, KSH1, CMC4, ATX1 [Heat_shock_chaperones], TFB5, YNL162W-A, HUB1 [Ubiquitin_system], RPB10, YKL183C-A, YGR035W-A, VMA9",8.65,routine
10.0-12.0 kDa,10.0,12.0,124,0,0,6,Heat_shock_chaperones; Histones; Mitochondrial_membrane; Proteasome; Ribosomal_proteins; Ubiquitin_system,,,"YGR161W-C, YSF3, LSM3, YFR009W-A, ACB1, STF1, YJL197C-A, RPL43A [Ribosomal_proteins], RPL43B [Ribosomal_proteins], YPL119C-A, TOS6, TIM9 [Mitochondrial_membrane], WIP1, RSM19, TIM10 [Mitochondrial_membrane], SME1, YLR379W-A, SEM1 [Proteasome]",10.7,elevated
12.0-14.0 kDa,12.0,14.0,222,0,0,6,Actin_tubulin; Autophagy; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins,,,"YGL193C, RPS25B [Ribosomal_proteins], RTC3, YDR115W, RPS25A [Ribosomal_proteins], YIL054W, YLR012C, YMR141C, YBR209W, YOR072W, RPL33A [Ribosomal_proteins], FPR1, RPL33B [Ribosomal_proteins], YDL012C, YOR343C, YLR296W, CYC1, YPR014C",15.6,elevated
14.0-16.0 kDa,14.0,16.0,161,1,0,8,Autophagy; Cell_cycle; Glycolytic_controls; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_system,HHT1,,"YER189W, YEL008W, YHL018W, YMR075C-A, COX16 [Mitochondrial_membrane], CDC26 [Cell_cycle], YMR082C, YLR302C, BOL2, ATP14 [Mitochondrial_membrane], Q0144, YMR122C, ABM1, YGL088W, RPL26A [Ribosomal_proteins], AIM4, RPL26B [Ribosomal_proteins], HTB2 [Histones]",19.05,high
16.0-18.0 kDa,16.0,18.0,157,0,0,10,Actin_tubulin; Autophagy; Cell_cycle; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Proteasome; Protein_kinases; Ribosomal_proteins; Ubiquitin_system,,,"RPS15 [Ribosomal_proteins], GAT3, YER145C-A, MRP49, SLM6, YGL108C, RPS23A [Ribosomal_proteins], RPS23B [Ribosomal_proteins], YCR025C, SRB7, EDC2, YAE1, MOH1, SWS2, GPI19, MTC7, MRPL51, DSS4",15.35,elevated
18.0-20.0 kDa,18.0,20.0,142,0,1,10,Actin_tubulin; Autophagy; Cell_cycle; ER_UPR; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_system,,SNF11,"BUD25, YAR068W, YPL073C, IGO1, IRC23, YGL041W-A, YFL051C, GNA1, YHR180W, APS1, YPI1, FYV7, YLR281C, POP6, CAF20, RPL21A [Ribosomal_proteins], HED1, RPL21B [Ribosomal_proteins]",16.1,elevated
