mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
0.0-2.0 kDa,0.0,2.0,58,0,0,1,Actin family,,,"TRDD1, TRBD1, IGHD1-1, IGHD5-12, IGHD5OR15-5B, IGHD6-19, IGHD6-13, IGHD3-10, , IGLJ4, IGHD3-9, IGKJ4, IGKJ3, IGKJ2, IGLJ5, IGHD3-3, IGKJ5, LOC128462377",3.65,routine
2.0-4.0 kDa,2.0,4.0,108,0,0,1,Mitochondrial markers,,,"TRAJ22, TRAJ36, TRAJ50, TRAJ6, TRAJ33, TRAJ17, TRAJ41, TRAJ54, TRAJ9, , IGHJ2, TRAJ42, TRAJ5, TRAJ7, TRAJ57, TRAJ44, TRAJ26, TRAJ25",6.15,routine
4.0-6.0 kDa,4.0,6.0,67,0,0,2,Actin family; Mitochondrial markers,,,"FAM86JP, ID2B, OST4, BAGE4, , MT-RNR2, LOC128071545, , IGLJ2, LOC128031832, , KRTAP20-4, , LOC128092246, BAGE5, IGLJ1, BAGE, ",4.85,routine
6.0-8.0 kDa,6.0,8.0,162,0,1,3,JAK-STAT; Mitochondrial markers; p53 pathway,,STATH,"PRCD, MT1E, PMAIP1, TOMM5 [Mitochondrial markers], MT1H, MT2A, MT1L, MT1X, MT1F, MT1HL1, SMIM30, ARHGAP5-AS1, PLN, MT1M, MT1B, MT1A, MT1G, HTN3",11.85,elevated
8.0-10.0 kDa,8.0,10.0,284,0,2,7,Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway,,"CDKN2A-AS1, RBAKDN","DEFB110, TOMM6 [Mitochondrial markers], GNG12, UQCC6 [Mitochondrial markers], GTF2H5, PIGY, DEFB124, TMEM167A, NDUFA1, CD24, CCDC179, DEFB123, C16orf74, RBAKDN, TEX53, COX8C [Mitochondrial markers], DEFB131B, SPRR2G",22.45,elevated
10.0-12.0 kDa,10.0,12.0,408,0,3,7,Actin family; Apoptosis caspase/BCL; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers,,"RBIS, RBM12B-AS1, SMAD5-AS1","FLVCR1-DT, DEFB109D, WT1-AS, DBI, LINC03043, BANF1, CENPW, MLLT11, DEFB115, DEFA5, UQCC3, CCL3, DPM3, CHCHD7, SCGB3A1, NPS, PYDC1, SRP9",29.75,high
12.0-14.0 kDa,12.0,14.0,706,0,9,7,Actin family; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,,"CDK2AP1, CDK2AP2, CDKN2AIPNL, MAPKAPK5-AS1, RASAL2-AS1, RBX1, RHOXF1P3, TP53AIP1, TP53TG3","DNAL4, IGLV3-25, EMC6, C1orf210, CXorf51A, CXorf51B, PSENEN, PAGE2B, IGLV3-19, TRAV27, NAP1L6P, BLID, WFDC12, NDUFB2 [Mitochondrial markers], PVALB, BPY2, , WDR83OS",38.75,high
14.0-16.0 kDa,14.0,16.0,473,2,6,6,Actin family; Cell-cycle CDK/cyclin; Histone family; Lamin family; Mitochondrial markers; p53 pathway,"H2AC1, H3C1","CDKN2B, GSKIP, RBP1, RBP2, RBP5, RBP7","CXCL9, H2AJ [Histone family], SRSP, GABARAPL1, PAGE5, SMR3A, TEX46, CLPSL1, BEX4, LIMD2, LSM10, SEM1, ADAMTSL4-AS1, H2AC11 [Histone family], TEX54, H2AC18 [Histone family], HCP5, H2AC6 [Histone family]",43.5,high
16.0-18.0 kDa,16.0,18.0,490,1,5,9,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; p53 pathway,TOMM20,"BCL2L15, CDKN2A, CDKN2D, MAP3K7CL, RBM3","LEKR1, TUG1, C14orf119, JPT1, LINC00588, C1D, PXT1, HBD, LINC01565, RPS19, CSNK1G2-AS1, SMIM44, MRPL27, CST5, CCDC197, PLA2G2A, TMEM250, CNIH4",39.25,high
18.0-20.0 kDa,18.0,20.0,440,1,4,8,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Mitochondrial markers; Tubulin family; p53 pathway,COX4I1,"CDKN1A, CDKN2C, PIK3CD-AS1, RBM8A","NCBP2, ZCCHC13, UBE2I, MTFP1 [Mitochondrial markers], KRTAP1-5, PPIA, CTAGE3P, BIK [Actin family], H2BC19P [Histone family], UMODL1-AS1, , KRTAP4-4, TIMM17A [Mitochondrial markers], IGF2-AS, TMEM238, ACP1, LCN6, IL17F",37.0,high
