gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
ATPW	A1ZAA9	Uncharacterized protein	22.677434480000016	817	482.62340285164703	9.705868004011812	835.1363808454773	0.010072799999996107	0.0
Gar1	Q7KVQ0	H/ACA ribonucleoprotein complex subunit 1	22.66501297999994	818	482.8637895876595	9.705852215485125	835.1272413527143	0.011921899999926211	0.007237461098641429
Dmel\CG13566	Q9W1F0	Uncharacterized protein	22.689707580000032	816	482.3917407219481	9.705844752696848	835.1229214087963	0.002200300000019695	0.01447492219729396
Dmel\CG34308	A0A1Z1CK50	RING-type E3 ubiquitin transferase	22.687507280000013	817	482.43237483613404	9.705839986846115	835.1201626382312	0.002200300000019695	0.02171238329593539
gdl	P22468	Gonadal protein gdl	22.653091080000014	817	483.10099314379625	9.7058238468657	835.1108198822837	0.0013272999999962565	0.02894984439458792
CheB38c	Q9VIJ1	Chemosensory protein B 38c	22.651763780000017	818	483.1278664034455	9.705821779801312	835.1096233531839	0.0013272999999962565	0.03618730549322935
Dmel\CG17919	Q9VI09	Uncharacterized protein	22.646748480000007	821	483.23044485173335	9.705820969988645	835.1091545901103	0.002682199999995305	0.04342476659188188
CheB38a	Q7KT13	Chemosensory protein B 38a	22.64406628000001	823	483.28557598321316	9.705815031422839	835.1057170372511	0.0018320999999978937	0.05066222769052331
mRpL32	Q9V9Z1	Large ribosomal subunit protein bL32m	22.642234180000013	823	483.3234136036076	9.705810572718496	835.1031361149992	0.0018320999999978937	0.05789968878917584
Arfrp1	Q9W389	ADP-ribosylation factor-related protein 1	22.63700578	823	483.431859647681	9.70578764079216	835.0898620890566	0.005228400000014233	0.06513714988781727
akirin	Q9VS59	Akirin	22.704563680000007	819	482.1192632996126	9.705766272218288	835.0774931914385	0.00242860000001599	0.0723746109864698
pim	Q24454	Pimples, isoform A	22.701845580000008	817	482.16771254084966	9.705765862922323	835.0772562780296	0.0027180999999991684	0.07961207208511123
glob3	Q9I7P6	Globin 3	22.706992280000023	818	482.0759627952238	9.705758492806465	835.0729902341093	0.00242860000001599	0.08684953318376376
Csl4	Q9VKJ4	Csl4	22.71114048000001	819	482.0023002206776	9.705735519359875	835.0596926546134	0.0017583999999999378	0.09408699428240519
plh	Q9VN75	Pasang lhamu	22.62363468000001	829	483.7147815710608	9.705722634954297	835.0522349456647	0.00018230000000230007	0.10132445538105772
RpS9	P55935	Small ribosomal subunit protein uS4	22.623452380000007	829	483.71870152605857	9.705721874417733	835.0517947364923	0.00018230000000230007	0.10856191647969915
Obp58c	Q9W208	Odorant-binding protein 58c	22.71289888000001	820	481.971123938161	9.705720453937353	835.0509725432545	0.00041809999998676517	0.11579937757834058
BVR	Q9VH72	NAD(P)-binding domain-containing protein	22.71331698	821	481.9638121166304	9.705718847393408	835.050042654886	0.00041809999998676517	0.12303683867699311
Arc2	Q7JV70	Activity-regulated cytoskeleton associated protein 2	22.621706980000003	829	483.7559704823674	9.70570603155983	835.0426247221016	7.639999999398128e-05	0.13027429977563454
CheB42c	A1Z6S2	Chemosensory protein B 42c	22.62163058000001	829	483.7572840412373	9.705697259319422	835.0375472995153	7.639999999398128e-05	0.13751176087428707
Dmel\CG16956	Q9VJY0	Uncharacterized protein	22.620143080000013	829	483.78944143970983	9.70569076569873	835.0337887748527	0.0014874999999960892	0.1447492219729285
Dmel\CG12963	A0A0B4K878	Uncharacterized protein	22.617608679999982	829	483.8444473101789	9.705679215829011	835.0271037218153	0.002534400000030246	0.15198668307158103
BcDNA:AT06648	Q9VZ03	Uncharacterized protein	22.72449168	821	481.7710859447827	9.70566186281902	835.0170599176038	0.007183099999998888	0.15922414417022246
mRpL21	Q9VVX4	Large ribosomal subunit protein bL21m	22.613377280000016	830	483.93689957686684	9.705658790303936	835.015281579349	0.0042313999999663565	0.166461605268875
Obp50a	A1Z9Q2	Odorant-binding protein 50a, isoform B	22.73167478	820	481.6501502669568	9.705615767759193	834.990380997002	0.0012573000000095647	0.17369906636751642
Ssu72	Q9VWE4	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	22.73293208000001	819	481.6289530777099	9.705600179765874	834.9813591637001	0.0012573000000095647	0.18093652746616895
NEST:bs32h08	M9NDP9	Uncharacterized protein	22.602040680000023	830	484.1880865161744	9.705589964781366	834.9754471093779	0.011336599999992814	0.18817398856481038
rtp	Q9VN91	MORN repeat-containing protein 4 homolog	22.73903648000001	818	481.5280545009218	9.705546623738567	834.9503633862183	0.003520499999996929	0.1954114496634629
Arl6	A1ZBK9	ADP-ribosylation factor-like protein 6	22.742556980000007	818	481.471381273167	9.705532284463404	834.9420646653036	0.003520499999996929	0.20264891076210434
CheB42b	A1Z6S1	Chemosensory protein B 42b	22.75221808000001	818	481.3196316445143	9.705506147192784	834.9269381774501	0.00088029999999506	0.20988637186074577
ac	P10083	Achaete-scute complex protein T5	22.753098380000004	817	481.3055381140203	9.705491019857558	834.9181836221844	0.00088029999999506	0.2171238329593983
Rab1	O18332	Rab1	22.76271128000001	816	481.15767947151403	9.705413126450084	834.8731062740201	0.009612900000004032	0.22436129405803973
Timm29	Q9W4R8	Mitochondrial import inner membrane translocase subunit Tim29	22.573229880000014	824	484.85147403192514	9.705388780921156	834.8590178802224	0.001972100000003252	0.23159875515669226
DM27	Q9VK15	Protein Mabiki	22.57125778000001	824	484.8974594399715	9.70535569109555	834.8398696737634	0.001972100000003252	0.2388362162553337
AttB	Q9V751	Attacin-B	22.569064180000005	825	484.94954163977695	9.705337270187352	834.8292101719394	0.00012060000000246873	0.24607367735398622
amos	Q9Y0A7	Basic helix-loop-helix transcription factor amos	22.568943580000003	825	484.9524106032718	9.705336244822222	834.8286168348627	0.00012060000000246873	0.25331113845262765
anon-EST:ParkEST066	Q9VE40	Chitin-binding type-2 domain-containing protein	22.56831288	825	484.96742384385874	9.705330861087731	834.8255014937095	0.0006307000000020935	0.2605485995512802
Rab9Fa	Q9VZ47	Rab at 9Fa	22.77269758000001	815	481.00836873248187	9.705313231056579	834.815299816118	0.008284599999988984	0.2677860606499216
Dmel\CG16957	Q9VJY5	Cytochrome b5 heme-binding domain-containing protein	22.56035168	824	485.1583295730219	9.705260607317989	834.7848496519067	0.0012820999999973992	0.27502352174857414
Dmel\CG11286	Q9VI02	Uncharacterized protein	22.559069580000003	826	485.1896498701528	9.705257312829708	834.7829433683985	0.0012820999999973992	0.28226098284721557
EMC8-9	Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	22.78098218	816	480.88873330951554	9.705238270536091	834.7719250474383	0.008284599999988984	0.2894984439458681
mRpL40	Q9VGP7	Large ribosomal subunit protein mL40	22.555288179999994	823	485.281414727683	9.705221939705044	834.7624757586245	0.0037814000000082615	0.29673590504450953
Dmel\CG14151	Q9VTA1	Uncharacterized protein	22.54802198000002	824	485.45931970113253	9.705150411272744	834.7210894854458	0.0001745000000106245	0.30397336614316206
Dmel\CG31373	Q8INL3	Peptide deformylase	22.54784748000001	824	485.46361745545926	9.705148636238313	834.7200624785455	0.0001745000000106245	0.3112108272418035
FBgn	Q9VKU3	Large ribosomal subunit protein mL62	22.795064780000008	820	480.6924322799909	9.70508196566482	834.6814888522274	0.0014334000000211233	0.3184482883404449
Dmel\CG33631	Q4AB37	Uncharacterized protein	22.79649818000003	820	480.6729859737849	9.705064888233487	834.6716086412036	0.0008380999999744176	0.32568574943909745
Tmem186	Q059A4	Transmembrane protein 186	22.797336280000003	820	480.6616614778992	9.705054798720006	834.6657713708448	0.0008380999999744176	0.3329232105377389
Dmel\CG32298	Q8IRF1	Uncharacterized protein	22.53732078	823	485.72542192161393	9.705045692519874	834.6605030297505	0.010526700000006883	0.3401606716363914
l(2)SH0834	Q9VKZ9	Lethal (2) SH0834	22.798364880000012	820	480.64780897382064	9.70504231045569	834.6585463639237	0.0010286000000085949	0.34739813273503284
Pex11g	A1Z891	Peroxisomal membrane protein 11C	22.802489780000016	818	480.5924363765082	9.704982661752632	834.624037843984	0.000504499999991026	0.35463559383368537
BcDNA:LP06072	A1ZB20	Uncharacterized protein	22.802994280000007	818	480.58576125967386	9.70497628008157	834.620345945046	0.000504499999991026	0.3618730549323268
kappaB-Ras	Q9V4L4	NF-kappa-B inhibitor-interacting Ras-like protein	22.807417580000013	819	480.5280955420631	9.704927623192043	834.5921976919426	0.004423300000006236	0.36911051603097933
CheB93a	Q9VDA3	Chemosensory protein B 93a	22.51712888000001	821	486.2400692442225	9.70483685839459	834.5396923413384	0.00043860000000961463	0.37634797712962076
Dmel\CG9263	Q9VJX1	Uncharacterized protein	22.51669028	821	486.2513980726303	9.704831433379422	834.5365541992861	0.00043860000000961463	0.3835854382282733
