gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
	A0A8V0ZUU8	Titin	3895.525057078744	1	0.0	-0.0	1.0	2981.4908753987515	99.95917700849118
NEB	A0A8V0Y490	Nebulin	737.2266450799979	1	0.0	-0.0	1.0	35.94846659999007	99.95917700849118
DST	A0A8V0XCG5	Dystonin	882.1769971799866	1	0.0	-0.0	1.0	31.8571845000057	99.95917700849118
OBSCN	A0A8V0ZZE4	Obscurin	914.0341816799923	1	0.0	-0.0	1.0	31.8571845000057	99.95917700849118
MDN1	A0A8V0XG49	Midasin	632.74284318	1	0.0	-0.0	1.0	28.258605699992245	99.95917700849118
SYNE2	A0A8V0YVI8	Nesprin-2	804.4856426799955	1	0.0	-0.0	1.0	26.851083000000244	99.95917700849118
MACF1	A0A8V0Z4R2	Microtubule actin crosslinking factor 1	831.3367256799958	1	0.0	-0.0	1.0	26.851083000000244	99.95917700849118
ADGRV1	A0A8V0YK27	Adhesion G-protein coupled receptor V1	684.7946654800071	1	0.0	-0.0	1.0	16.4835130000007	99.95917700849118
AHNAK2	A0A8V0ZIT5	AHNAK nucleoprotein 2	701.2781784800078	1	0.0	-0.0	1.0	16.4835130000007	99.95917700849118
RNF213	A0A8V1ALH0	RING-type E3 ubiquitin transferase	591.7722609800093	1	0.0	-0.0	1.0	12.711976499998514	99.95917700849118
HMCN1	A0A8V0ZHJ2	Hemicentin-1	604.4842374800078	1	0.0	-0.0	1.0	12.711976499998514	99.95917700849118
KMT2C	A0A8V1AA15	Histone-lysine N-methyltransferase 2C	546.9866883800084	1	0.0	-0.0	1.0	6.459035900002618	99.95917700849118
MYCBP2	A0A8V0X3S6	E3 ubiquitin-protein ligase MYCBP2	518.5135085800106	1	0.0	-0.0	1.0	4.61323239999831	99.95917700849118
DNAH1	A0A8V1A4F4	Dynein axonemal heavy chain 1	480.102541680009	1	0.0	-0.0	1.0	4.121043900001666	99.95917700849118
FAT2	A0A8V0YP25	FAT atypical cadherin 2	495.2309182800105	1	0.0011332841930664639	0.013839564983227713	1.0096390143666705	3.8504382999993823	99.91835401698236
PKD1	A0A8V0YXP6	Polycystin 1, transient receptor potential channel interacting	484.5649776800068	1	0.008065418207767072	0.06722771794353205	1.0477014853999982	3.1048896000011155	99.91291095144786
VPS13B	A0A8V0YH92	Vacuolar protein sorting 13 homolog B	449.49133488000615	1	0.010269682040455308	0.08589627915948575	1.0613469019362591	3.0527247000012494	99.90746788591335
RYR3	A0A8V0ZGY9	Ryanodine receptor 3	553.4457242800111	1	0.01556109707649389	0.11430358808612671	1.0824524023472544	2.8854743999959283	99.90202482037883
	A0A8V0YYC6	Spen family transcriptional repressor	366.5835840800067	1	0.022441525071738244	0.1819332911233353	1.134403029982369	2.933322999998893	99.89658175484433
CSMD2	A0A8V0YZE8	CUB and Sushi multiple domains 2	392.1133252800059	1	0.05661347575860787	0.331455846291043	1.2582824867513638	2.4346551999997246	99.89113868930983
ZZEF1	A0A8V1AB20	Zinc finger ZZ-type and EF-hand domain containing 1	334.9787782800034	1	0.050688751763698026	0.34551043186860736	1.2706004470651082	2.748462600001403	99.8856956237753
AKAP9	A0A8V0XKR6	A-kinase anchoring protein 9	456.8352285800086	1	0.07126576559768716	0.38454581288140427	1.3054487429480521	2.3348631999996883	99.8802525582408
PCLO	A0A8V0XXL2	Protein piccolo	568.7391663800041	1	0.10854935029315982	0.47084535897645957	1.3859213221823687	2.1125768999933143	99.87480949270629
DYNC2H1	A0A8V0XK27	Cytoplasmic dynein 2 heavy chain 1	487.6698672800079	1	0.10199055647363497	0.49002617211634036	1.4044703541842738	2.1806756000012797	99.86936642717178
PRKDC	Q8QGX4	DNA-dependent protein kinase catalytic subunit	472.6571776800087	2	0.20149421320579108	0.7032114014944567	1.6281249256335943	1.8148068000001558	99.86392336163728
RYR2	A0A8V0Y8K1	Ryanodine receptor 2	565.0672933800099	2	0.2976828288104727	0.7855275055486808	1.723722464344452	1.5592961000008927	99.85848029610277
DNAH7	A0A8V0Y8G8	Dynein axonemal heavy chain 7	459.1700917800083	1	0.193288876293239	0.7939230013832689	1.7337825902007666	2.0311843000000067	99.85303723056825
OTOG	A0A8V0ZZC7	Otogelin	381.2864954800029	2	0.3243738684318713	0.8112844889456498	1.7547730918131645	1.5028799999979015	99.84759416503375
VPS13D	A0A8V0ZAE9	Vacuolar protein sorting 13 homolog D	491.3468884800091	2	0.32812362585959187	0.8192196165025966	1.7644513063035447	1.496345599999927	99.84215109949925
