accession	entry_name	gene_primary	protein_name	length_aa	mass_da	mw_kda	gene_upper	marker_categories	marker_notes	is_marker	signaling_categories	signaling_notes	is_signaling_prefix	families	family_categories	family_notes	mw_bin_start_kda	mw_bin_end_kda	mw_bin_label	protein_count	marker_count	signaling_prefix_count	family_count	audit_burden_score	audit_priority	defensive_note	mw_window_count	mw_window_alternative_count	mw_nearest_neighbor_gap_kda	mw_gaussian_ambiguity	mw_gaussian_candidate_mass_including_self	mw_identity_entropy_nats	mw_identity_entropy_bits	mw_effective_candidate_number	mw_discriminability	mw_ambiguity_percentile	mw_auditability_percentile	mw_auditability_score_0_100	_audit_marker_value	_audit_signaling_value	_audit_family_value	_audit_family_protein_value	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100
Q3E775	YJ151_YEAST	YJR151W-A	Uncharacterized protein YJR151W-A	16	1976.41008	1.97641008	YJR151W-A			False			False				0.0	2.0	0.0-2.0 kDa	1	0	0	0	0.05	routine	standard full-blot and antibody-validation checks	34	33	0.7356649999999996	13.71159572749234	14.71159572749234	3.718872227804158	5.365198520752751	41.21788350386987	0.024261313657847373	0.07253544345532476	0.9274645565446753	92.74645565446752	0.0	0.0	0.0	0.0	0.0	0.0	0.7930400916030589	0.7930400916030589	0.0	0.0	0.6699419383653417	0.18561934545516662	0.8143806545448333	18.56193454551666	81.43806545448334
P9WEJ1	YN040_YEAST	YNL040C-A	Uncharacterized protein YNL040C-A	26	2712.07508	2.7120750799999995	YNL040C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	57	56	0.2671697000000006	31.443678818784925	32.443678818784925	4.005385484161303	5.778549774848151	54.892980695724354	0.018217265437689933	0.10154962083745467	0.8984503791625453	89.84503791625454	0.0	0.0	0.0	0.0	0.0	0.0	1.6613761797077864	1.6613761797077864	0.0	0.0	0.7311299687360429	0.20816989739337438	0.7918301026066257	20.816989739337437	79.18301026066257
P08521	AAP_YEAST	YOR302W	Arginine attenuator peptide	25	2979.24478	2.97924478	YOR302W			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	59	58	0.08860180000000062	38.613731266894476	39.613731266894476	4.11193800531387	5.932272568709176	61.06494715991765	0.016376006964866234	0.10352786020441807	0.8964721397955819	89.64721397955819	0.0	0.0	0.0	0.0	0.0	0.0	1.9170149191565329	1.9170149191565329	0.0	0.0	0.74497543546226	0.2121258239166695	0.7878741760833305	21.212582391666952	78.78741760833306
P0C5S1	YP60A_YEAST	YPR160W-A	Uncharacterized protein YPR160W-A	26	3067.846580000001	3.0678465800000008	YPR160W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	60	59	0.0027274999999993277	40.933037172281644	41.933037172281644	4.148545153811117	5.985085520307241	63.34178068348728	0.015787367977495026	0.10435212660731949	0.8956478733926805	89.56478733926805	0.0	0.0	0.0	0.0	0.0	0.0	1.9827221969663689	1.9827221969663689	0.0	0.0	0.7494417150513623	0.21344846041467044	0.7865515395853295	21.344846041467044	78.65515395853295
P0C5N4	YH73B_YEAST	YHR073C-B	Uncharacterized protein YHR073C-B	26	3070.57408	3.07057408	YHR073C-B			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	60	59	0.0027274999999993277	41.00355557910803	42.00355557910803	4.149672090874872	5.986711346820514	63.413203120560695	0.015769586628494505	0.10451697988789976	0.8954830201121002	89.54830201121003	0.0	0.0	0.0	0.0	0.0	0.0	1.9845800811452516	1.9845800811452516	0.0	0.0	0.7494417150513623	0.2134896737348155	0.7865103262651845	21.34896737348155	78.65103262651844
Q8TGN3	YJ77A_YEAST	YJL077W-A	Uncharacterized protein YJL077W-A	28	3077.76988	3.07776988	YJL077W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	60	59	0.007195799999999863	41.18967028647284	42.18967028647284	4.152716351335425	5.9911032862901274	63.60654356752112	0.015721652897841498	0.10484668644906034	0.8951533135509396	89.51533135509396	0.0	0.0	0.0	0.0	0.0	0.0	1.989433696117132	1.989433696117132	0.0	0.0	0.7503349709691827	0.21379541435456076	0.7862045856454393	21.379541435456076	78.62045856454392
Q8TGS7	YM182_YEAST	YMR182W-A	Uncharacterized protein YMR182W-A	28	3090.81478	3.09081478	YMR182W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	60	59	0.009742699999999882	41.525475196664296	42.525475196664296	4.158124409724608	5.99890546530904	63.95146330144077	0.01563685877344844	0.10501153972964063	0.8949884602703594	89.49884602703594	0.0	0.0	0.0	0.0	0.0	0.0	1.9980549489440493	1.9980549489440493	0.0	0.0	0.7507815989280929	0.21394828466443339	0.7860517153355666	21.39482846644334	78.60517153355666
Q8TGS6	YM242_YEAST	YMR242W-A	Uncharacterized protein YMR242W-A	29	3100.55748	3.10055748	YMR242W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	62	61	0.009742699999999882	41.77540828751749	42.77540828751749	4.162172327670693	6.004745376455783	64.21085822791018	0.01557368998948118	0.1051763930102209	0.8948236069897791	89.48236069897791	0.0	0.0	0.0	0.0	0.0	0.0	2.004344097235519	2.004344097235519	0.0	0.0	0.7507815989280929	0.21398949798457845	0.7860105020154216	21.398949798457846	78.60105020154215
Q3E801	YJ136_YEAST	YJL136W-A	Uncharacterized protein YJL136W-A	27	3143.826579999999	3.143826579999999	YJL136W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	62	61	0.02491510000000119	42.87668959574211	43.87668959574211	4.180385527357589	6.031021469322788	65.39105839700767	0.015292610710301037	0.10534124629080119	0.8946587537091988	89.46587537091987	0.0	0.0	0.0	0.0	0.0	0.0	2.0314659728422653	2.0314659728422653	0.0	0.0	0.7525681107637338	0.21447733926363374	0.7855226607363662	21.447733926363373	78.55226607363662
Q8TGU0	YG007_YEAST	YGL007C-A	Uncharacterized protein YGL007C-A	28	3168.74168	3.16874168	YGL007C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	63	62	0.02491510000000119	43.50338290210314	44.50338290210314	4.190935342832827	6.0462416357912065	66.08457379429908	0.01513212452746827	0.10550609957138148	0.8944939004286185	89.44939004286185	0.0	0.0	0.0	0.0	0.0	0.0	2.045583136302513	2.045583136302513	0.0	0.0	0.753014738722644	0.21463020957350637	0.7853697904264936	21.463020957350636	78.53697904264936
Q3E7Z6	YH015_YEAST	YHL015W-A	Uncharacterized protein YHL015W-A	27	3199.95628	3.19995628	YHL015W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	63	62	0.03121459999999976	44.279951604384166	45.279951604384166	4.204147320882748	6.065302491004162	66.96347495937951	0.014933514137469817	0.10567095285196175	0.8943290471480383	89.43290471480383	0.0	0.0	0.0	0.0	0.0	0.0	2.0620999424582482	2.0620999424582482	0.0	0.0	0.7534613666815543	0.214783079883379	0.785216920116621	21.4783079883379	78.5216920116621
Q8TGV0	YA035_YEAST	YAR035C-A	Uncharacterized protein YAR035C-A	26	3319.8993800000003	3.3198993800000003	YAR035C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	68	67	0.017248299999999883	47.1732624193425	48.1732624193425	4.256087542878187	6.140236391699654	70.53348367967737	0.014177663541211525	0.10682492581602374	0.8931750741839762	89.31750741839762	0.0	0.0	0.0	0.0	0.0	0.0	2.1138205132647547	2.1138205132647547	0.0	0.0	0.757034390352836	0.21596482904221495	0.7840351709577851	21.596482904221496	78.40351709577851
P0CX86	RS32A_YEAST	RPL41A	Small ribosomal subunit protein eS32A	25	3337.14768	3.33714768	RPL41A			False			False	Ribosomal_proteins	ribosome	Large family of abundant proteins that can populate crowded MW neighborhoods.	2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	configured audit family match: Ribosomal_proteins	69	68	0.0	47.576408263286645	48.576408263286645	4.26366962961871	6.151175030639797	71.07030722063197	0.014070573761494818	0.10707220573689416	0.8929277942631059	89.29277942631059	0.0	0.0	1.0	1.0	0.0	0.0	2.1197970154410983	2.1197970154410983	0.0	0.0	0.757034390352836	0.21602664902243254	0.7839733509775675	21.602664902243255	78.39733509775675
P0CX87	RS32B_YEAST	RPL41B	Small ribosomal subunit protein eS32B	25	3337.14768	3.33714768	RPL41B			False			False	Ribosomal_proteins	ribosome	Large family of abundant proteins that can populate crowded MW neighborhoods.	2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	configured audit family match: Ribosomal_proteins	69	68	0.0	47.576408263286645	48.576408263286645	4.26366962961871	6.151175030639797	71.07030722063197	0.014070573761494818	0.10707220573689416	0.8929277942631059	89.29277942631059	0.0	0.0	1.0	1.0	0.0	0.0	2.1197970154410983	2.1197970154410983	0.0	0.0	0.757034390352836	0.21602664902243254	0.7839733509775675	21.602664902243255	78.39733509775675
P0C5P3	YK145_YEAST	YKL145W-A	Uncharacterized protein YKL145W-A	30	3344.20708	3.34420708	YKL145W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.007059399999999716	47.74028208696519	48.74028208696519	4.266755685486185	6.155627268135709	71.28997293523057	0.014027218118157164	0.10748433893834487	0.8925156610616551	89.25156610616551	0.0	0.0	0.0	0.0	0.0	0.0	2.1221431614619513	2.1221431614619513	0.0	0.0	0.757034390352836	0.21612968232279522	0.7838703176772048	21.612968232279524	78.38703176772049
Q8TGJ2	YN075_YEAST	YNR075C-A	Putative UPF0377 protein YNR075C-A	30	3367.2221800000007	3.3672221800000006	YNR075C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.009751299999999574	48.27119400035233	49.27119400035233	4.276966439263708	6.17035827197428	72.02162630507709	0.01388471840061054	0.10781404549950543	0.8921859545004945	89.21859545004945	0.0	0.0	0.0	0.0	0.0	0.0	2.129399024507932	2.129399024507932	0.0	0.0	0.7574810183117463	0.21632376595281294	0.783676234047187	21.632376595281293	78.3676234047187
Q3E838	YF012_YEAST	YFR012W-A	Uncharacterized protein YFR012W-A	28	3376.97348	3.37697348	YFR012W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.009751299999999574	48.49397498164912	49.49397498164912	4.281256559293991	6.176547606866786	72.33127145921962	0.013825278884580372	0.10797889878008572	0.8920211012199143	89.20211012199142	0.0	0.0	0.0	0.0	0.0	0.0	2.1322959829655277	2.1322959829655277	0.0	0.0	0.7574810183117463	0.216364979272958	0.7836350207270419	21.6364979272958	78.3635020727042
Q8TGT8	YG174_YEAST	YGR174W-A	Uncharacterized protein YGR174W-A	28	3394.97898	3.39497898	YGR174W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.006150300000000719	48.90270388905224	49.90270388905224	4.289258503274888	6.188091971765498	72.91238415635706	0.013715091223125397	0.10814375206066601	0.8918562479393339	89.1856247939334	0.0	0.0	0.0	0.0	0.0	0.0	2.13737665254798	2.13737665254798	0.0	0.0	0.7574810183117463	0.21640619259310306	0.7835938074068969	21.640619259310306	78.35938074068969
P0C5K9	YB39A_YEAST	YBL039C-A	Uncharacterized protein YBL039C-A	27	3401.129280000001	3.4011292800000006	YBL039C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.004883099999999807	49.04130956211391	50.04130956211391	4.291977562564966	6.192014745119177	73.11090702727611	0.013677849730778492	0.1083086053412463	0.8916913946587537	89.16913946587538	0.0	0.0	0.0	0.0	0.0	0.0	2.139034151078076	2.139034151078076	0.0	0.0	0.7574810183117463	0.21644740591324815	0.7835525940867518	21.644740591324815	78.35525940867518
P0C5P2	YK100_YEAST	YKL100W-A	Uncharacterized protein YKL100W-A	29	3406.0123800000006	3.4060123800000004	YKL100W-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.004883099999999807	49.151031293049094	50.151031293049094	4.2941383954826415	6.195132168053697	73.2690582895118	0.013648326092149957	0.10863831190240686	0.8913616880975932	89.13616880975933	0.0	0.0	0.0	0.0	0.0	0.0	2.1403224716799185	2.1403224716799185	0.0	0.0	0.7574810183117463	0.2165298325535383	0.7834701674464617	21.65298325535383	78.34701674464617
P0C5M8	YE090_YEAST	YER090C-A	Uncharacterized protein YER090C-A	29	3422.95548	3.42295548	YER090C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	69	68	0.016943099999999767	49.52949103085143	50.52949103085143	4.30164951056786	6.205968416538689	73.82146260763993	0.013546195979819398	0.10896801846356742	0.8910319815364326	89.10319815364326	0.0	0.0	0.0	0.0	0.0	0.0	2.1446068419167643	2.1446068419167643	0.0	0.0	0.7574810183117463	0.21661225919382843	0.7833877408061716	21.661225919382844	78.33877408061716
Q3E741	YA037_YEAST	YAL037C-A	Putative uncharacterized protein YAL037C-A	30	3447.2159799999995	3.4472159799999997	YAL037C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	70	69	0.02097240000000067	50.06528817760729	51.06528817760729	4.312440380206041	6.221536350652572	74.6223738800195	0.013400806594652637	0.109297725024728	0.890702274975272	89.0702274975272	0.0	0.0	0.0	0.0	0.0	0.0	2.150258743045657	2.150258743045657	0.0	0.0	0.7579276462706566	0.21680634282384614	0.7831936571761539	21.680634282384613	78.31936571761538
A0A0B7P221	RDT1_YEAST	RDT1	Uncharacterized protein RDT1	28	3468.1883800000005	3.4681883800000004	RDT1			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	70	69	0.02097240000000067	50.52298303956724	51.52298303956724	4.3218610351448525	6.235127482814721	75.32868725867348	0.013275155009220716	0.10979228486646884	0.8902077151335311	89.02077151335311	0.0	0.0	0.0	0.0	0.0	0.0	2.1550709253238476	2.1550709253238476	0.0	0.0	0.758820902188477	0.21715329676373646	0.7828467032362636	21.715329676373646	78.28467032362636
Q8TGT6	YH022_YEAST	YHR022C-A	Uncharacterized protein YHR022C-A	29	3505.14108	3.50514108	YHR022C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	70	69	0.029124699999999226	51.31596093640875	52.31596093640875	4.338493556473682	6.259123138853303	76.5920707575244	0.013056181796752898	0.1102868447082097	0.8897131552917903	88.97131552917902	0.0	0.0	0.0	0.0	0.0	0.0	2.162085285412813	2.162085285412813	0.0	0.0	0.7592675301473872	0.21738859371389924	0.7826114062861007	21.738859371389925	78.26114062861006
P0C1Z1	YD24C_YEAST	YDR524W-C	Uncharacterized protein YDR524W-C	29	3534.2657799999997	3.5342657799999992	YDR524W-C			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	70	69	0.029124699999999226	51.92978213144269	52.92978213144269	4.351787937364401	6.278302876236032	77.61711347637619	0.012883756625455588	0.11078140454995054	0.8892185954500494	88.92185954500495	0.0	0.0	0.0	0.0	0.0	0.0	2.167580597320547	2.167580597320547	0.0	0.0	0.7592675301473872	0.21751223367433445	0.7824877663256655	21.751223367433443	78.24877663256655
Q8TGQ7	YP159_YEAST	YPR159C-A	Uncharacterized protein YPR159C-A	33	3584.475379999999	3.584475379999999	YPR159C-A			False			False				2.0	4.0	2.0-4.0 kDa	34	0	0	1	2.45	routine	standard full-blot and antibody-validation checks	71	70	0.03686590000000134	52.962418092818304	53.962418092818304	4.374667121227592	6.311310561335045	79.41340011679844	0.012592333265283128	0.11275964391691394	0.887240356083086	88.72403560830861	0.0	0.0	0.0	0.0	0.0	0.0	2.17520849890906	2.17520849890906	0.0	0.0	0.7597141581062975	0.21811845050580286	0.7818815494941971	21.811845050580285	78.18815494941971
