accession	entry_name	gene_primary	protein_name	length_aa	mass_da	mw_kda	gene_upper	marker_categories	marker_notes	is_marker	signaling_categories	signaling_notes	is_signaling_prefix	families	family_categories	family_notes	mw_bin_start_kda	mw_bin_end_kda	mw_bin_label	protein_count	marker_count	signaling_prefix_count	family_count	audit_burden_score	audit_priority	defensive_note	mw_window_count	mw_window_alternative_count	mw_nearest_neighbor_gap_kda	mw_gaussian_ambiguity	mw_gaussian_candidate_mass_including_self	mw_identity_entropy_nats	mw_identity_entropy_bits	mw_effective_candidate_number	mw_discriminability	mw_ambiguity_percentile	mw_auditability_percentile	mw_auditability_score_0_100	_audit_marker_value	_audit_signaling_value	_audit_family_value	_audit_family_protein_value	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100
C0HJX4	TAL1A_DROME	tal-1A	Peptide tarsal-less 1A	11	1229.36988	1.22936988	TAL-1A			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	30	29	0.0	15.174894606490277	16.174894606490277	3.616874576427153	5.218047014928824	37.22105427936092	0.026866514647719157	0.04092784251284649	0.9590721574871535	95.90721574871534	0.0	0.0	0.0	0.0	0.0	0.0	0.09496110390603528	0.09496110390603528	0.0	0.0	0.870997442455243	0.2279813212420224	0.7720186787579776	22.79813212420224	77.20186787579776
C0HJX5	TAL2A_DROME	tal-2A	Peptide tarsal-less 2A	11	1229.36988	1.22936988	TAL-2A			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	30	29	0.0	15.174894606490277	16.174894606490277	3.616874576427153	5.218047014928824	37.22105427936092	0.026866514647719157	0.04092784251284649	0.9590721574871535	95.90721574871534	0.0	0.0	0.0	0.0	0.0	0.0	0.09496110390603528	0.09496110390603528	0.0	0.0	0.870997442455243	0.2279813212420224	0.7720186787579776	22.79813212420224	77.20186787579776
A3RLR0	TAL3A_DROME	tal-3A	Peptide tarsal-less 3A	11	1236.31858	1.23631858	TAL-3A			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	30	29	0.006948700000000141	15.294886934926808	16.294886934926808	3.6215322413670625	5.224766605039754	37.39482184030213	0.0267416703914405	0.04103640442932619	0.9589635955706738	95.89635955706738	0.0	0.0	0.0	0.0	0.0	0.0	0.09640146445165838	0.09640146445165838	0.0	0.0	0.8710997442455243	0.22803403716871262	0.7719659628312874	22.803403716871262	77.19659628312874
M9PBF3	M9PBF3_DROME	Dmel\CG43739	Uncharacterized protein	15	1722.00068	1.7220006799999998	DMEL\CG43739			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	41	40	0.13609790000000022	24.91726722704062	25.91726722704062	3.9312966468782635	5.6716621767146815	50.97302885615643	0.019618218152622525	0.05232684374321488	0.9476731562567852	94.76731562567852	0.0	0.0	0.0	0.0	0.0	0.0	0.24572209393732267	0.24572209393732267	0.0	0.0	0.8811253196930946	0.23336304085907736	0.7666369591409227	23.336304085907734	76.66369591409227
A0A1Z1CH01	A0A1Z1CH01_DROME	CG1461-5'utr	Uncharacterized protein	15	1858.09858	1.85809858	CG1461-5'UTR			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	50	49	0.031193599999999932	28.02388079354328	29.02388079354328	4.015157078249173	5.792647205180302	55.432001880480335	0.01804012061761993	0.05847868567706448	0.9415213143229355	94.15213143229354	0.0	0.0	0.0	0.0	0.0	0.0	0.30620287627098325	0.30620287627098325	0.0	0.0	0.8846035805626599	0.2357705665599311	0.7642294334400689	23.577056655993108	76.42294334400688
A0A384SX97	A0A384SX97_DROME	CG6424-5'utr	Uncharacterized protein	15	1889.29218	1.88929218	CG6424-5'UTR			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	52	51	0.031193599999999932	28.758461594500144	29.758461594500144	4.034103214984321	5.819980702692104	56.49223612448421	0.017701547479841952	0.05941955561988854	0.9405804443801115	94.05804443801115	0.0	0.0	0.0	0.0	0.0	0.0	0.3212173172678475	0.3212173172678475	0.0	0.0	0.8850127877237852	0.23610808583591844	0.7638919141640815	23.610808583591844	76.38919141640815
A0A126GUS8	A0A126GUS8_DROME	Dmel\CG46270	Uncharacterized protein	16	1980.32718	1.98032718	DMEL\CG46270			False			False				0.0	2.0	0.0-2.0 kDa	7	0	0	0	0.35	routine	standard full-blot and antibody-validation checks	54	53	0.09103499999999998	30.949458097601838	31.949458097601838	4.089188150657922	5.899451466216095	59.691411594304775	0.016752828812234208	0.06086704783961786	0.9391329521603822	93.91329521603822	0.0	0.0	0.0	0.0	0.0	0.0	0.3673706639141965	0.3673706639141965	0.0	0.0	0.8867519181585678	0.2369047414995464	0.7630952585004536	23.69047414995464	76.30952585004536
A0A1Z1CH02	A0A1Z1CH02_DROME	CG14253-5'utr	Uncharacterized protein	19	2149.78278	2.14978278	CG14253-5'UTR			False			False				2.0	4.0	2.0-4.0 kDa	49	0	0	1	3.2	routine	standard full-blot and antibody-validation checks	59	58	0.14811410000000036	35.20205890946822	36.20205890946822	4.189825395552116	6.044640320353678	66.01126409379691	0.015148929712648394	0.06564377216472461	0.9343562278352754	93.43562278352753	0.0	0.0	0.0	0.0	0.0	0.0	0.4616282369054677	0.4616282369054677	0.0	0.0	0.8905370843989769	0.2390452141409254	0.7609547858590746	23.90452141409254	76.09547858590746
A0A0B4LF48	A0A0B4LF48_DROME	Dmel\CG43178	Uncharacterized protein	21	2297.89688	2.29789688	DMEL\CG43178			False			False				2.0	4.0	2.0-4.0 kDa	49	0	0	1	3.2	routine	standard full-blot and antibody-validation checks	67	66	0.016067000000000053	39.097719013632165	40.097719013632165	4.2768659825168385	6.170213343523747	72.01439161018727	0.013886113284313831	0.0703481218788449	0.9296518781211551	92.96518781211552	0.0	0.0	0.0	0.0	0.0	0.0	0.5514086099768672	0.5514086099768672	0.0	0.0	0.8936061381074168	0.24098856499656543	0.7590114350034346	24.09885649965654	75.90114350034347
A0A9F2H0Z1	A0A9F2H0Z1_DROME	Dmel\CG46525	Uncharacterized protein	20	2313.96388	2.31396388	DMEL\CG46525			False			False				2.0	4.0	2.0-4.0 kDa	49	0	0	1	3.2	routine	standard full-blot and antibody-validation checks	68	67	0.016067000000000053	39.52944107871267	40.52944107871267	4.2861502565991305	6.1836077197005235	72.68610632651395	0.013757787430625194	0.07063762032279076	0.9293623796772092	92.93623796772093	0.0	0.0	0.0	0.0	0.0	0.0	0.5617599444689562	0.5617599444689562	0.0	0.0	0.8939130434782608	0.2411376659502629	0.7588623340497371	24.11376659502629	75.88623340497371
