gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
dpy	M9PB30	Dumpy, isoform Q	2443.3914174798083	1	0.0	-0.0	1.0	377.6258434999145	99.92400665846421
sls	Q9I7U4	Titin	2065.765573979894	1	0.0	-0.0	1.0	296.0091538997358	99.92400665846421
Muc14A	Q8IR22	Mucin 14A	1769.756420080158	1	0.0	-0.0	1.0	281.402658400184	99.92400665846421
Msp300	M9MRD1	Muscle-specific protein 300 kDa	1405.14781118001	1	0.0	-0.0	1.0	83.20595049996405	99.92400665846421
Ank2	M9MRX4	Ankyrin 2, isoform U	1488.353761679974	1	0.0	-0.0	1.0	83.20595049996405	99.92400665846421
Strn-Mlck	A0A0B4KG35	Stretchin-Mlck, isoform U	923.798260679994	1	0.0	-0.0	1.0	65.7509497999988	99.92400665846421
Dmel\CG13185	A8DYB0	Midasin	631.3282306799983	1	0.0	-0.0	1.0	31.328466499995102	99.92400665846421
shot	A1Z9J3	Short stop, isoform H	989.5492104799928	1	0.0	-0.0	1.0	10.528709700010268	99.92400665846421
bt	D1YSG0	Bent, isoform F	1000.077920180003	1	0.0	-0.0	1.0	10.528709700010268	99.92400665846421
Dhc93AB	A0A0B4KHJ4	Dynein heavy chain at 93AB, isoform C	515.012073880011	1	0.0	-0.0	1.0	8.768773099998043	99.92400665846421
Dhc1	A0A0B4LH20	Dynein heavy chain 1, isoform G	541.54018778001	1	0.0	-0.0	1.0	8.764089799997805	99.92400665846421
tweek	X2JA38	Tweek, isoform J	573.1995798800068	1	0.0	-0.0	1.0	7.002871699997172	99.92400665846421
spen	Q8SX83	Protein split ends	599.9997641800032	1	0.0	-0.0	1.0	6.556474999994521	99.92400665846421
btv	Q0E8P6	Dynein heavy chain, cytoplasmic	481.2886642800077	1	0.0	-0.0	1.0	5.633296999998265	99.92400665846421
Dhc62B	Q7KVA7	Dynein heavy chain at 62B	455.3529721800087	1	0.0	-0.0	1.0	5.606385000003911	99.92400665846421
Sdb	A1Z9M5	SAXO downstream of blistered	460.9593571800126	1	0.0	-0.0	1.0	5.067584299995815	99.92400665846421
Cubn	Q9W332	Cubilin homolog	418.1793740800063	1	0.0	-0.0	1.0	5.021928499999376	99.92400665846421
puf	Q9VC56	Ubiquitin carboxyl-terminal hydrolase puf	440.3754975800068	1	0.0	-0.0	1.0	4.664263699999651	99.92400665846421
Vps13D	Q9VU08	Intermembrane lipid transfer protein Vps13D	445.0397612800065	1	0.0	-0.0	1.0	4.664263699999651	99.92400665846421
HUWE1	X2JF73	HECT-type E3 ubiquitin transferase	557.6280831800101	1	0.0	-0.0	1.0	4.1009147000007715	99.92400665846421
Bruce	A0A0B4KG50	Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6	550.3042775800078	1	0.005552467382153425	0.0493613618295671	1.0348067442803002	3.2228909000015165	99.8443945863791
Dmel\CG3339	Q0KI05	Uncharacterized protein	553.5271684800093	1	0.005552467382153425	0.0493613618295671	1.0348067442803002	3.2228909000015165	99.8443945863791
Dhc36C	A0A6H2EJG3	Dynein axonemal heavy chain 7	466.0269414800084	1	0.009585367624344698	0.07742212458425714	1.0551309973969156	3.048776000000373	99.82991966418182
