gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
YOL014W	Q08110	Putative uncharacterized protein YOL014W	13.916893080000008	383	234.2749695920346	8.596705013476027	387.13824141243566	0.007329000000007468	0.0
MZM1	Q03429	Mitochondrial zinc maintenance protein 1, mitochondrial	13.926985380000003	385	233.98560570121168	8.596683758063808	387.1325376967809	0.00027680000001240046	0.016485328058024606
YDR274C	P87283	Uncharacterized protein YDR274C	13.927262180000016	385	233.97766858470305	8.59668296817429	387.13232573802253	0.00027680000001240046	0.032970656116060315
RPL35A	P0CX84	Large ribosomal subunit protein uL29A	13.90956408	384	234.48404649124603	8.596659034534927	387.1259034461639	0.0	0.057698648203097225
RPL35B	P0CX85	Large ribosomal subunit protein uL29B	13.90956408	384	234.48404649124603	8.596659034534927	387.1259034461639	0.0	0.057698648203097225
HMF1	P40037	Protein HMF1	13.905950680000004	382	234.58727779848454	8.596642632648305	387.1215022671876	0.0011000000000063181	0.08242664029014524
RPS20	P38701	Small ribosomal subunit protein uS10	13.90705068000001	382	234.55575115021907	8.596642474385588	387.12145980021074	0.0011000000000063181	0.09891196834816984
HRT1	Q08273	RING-box protein HRT1	13.93976368000001	387	233.61885891225378	8.596618633969847	387.11506270309235	0.0029128999999930016	0.11539729640619445
ACP1	P32463	Acyl carrier protein, mitochondrial	13.942676580000002	387	233.53533862165773	8.59660453361554	387.1112792057401	0.0029128999999930016	0.13188262446423016
YLR297W	Q05899	Uncharacterized vacuolar protein YLR297W	13.94690938000001	387	233.41398163781759	8.596581835347562	387.105188738814	0.004232800000007586	0.14836795252225476
TDA8	Q6B2U8	Topoisomerase I damage affected protein 8	13.885610080000006	385	235.16919012778533	8.596581099358025	387.1049912575111	0.0037112999999990848	0.16485328058027937
HMRA2	P0CY13	Silenced mating-type protein A2	13.881898780000007	386	235.2753816519495	8.596570053327437	387.10202738983025	0.0037112999999990848	0.18133860863831508
YOR015W	Q12169	Uncharacterized protein YOR015W	13.873526380000015	385	235.5151323029349	8.5965558821655	387.09822502105646	0.007478899999998845	0.1978239366963397
MIX14	Q04341	Mitochondrial intermembrane space cysteine motif-containing protein MIX14	13.866047480000017	385	235.72947250394537	8.596554516460952	387.09785858078885	0.003265100000005461	0.2143092647543643
SRB6	P32570	Mediator of RNA polymerase II transcription subunit 22	13.862782380000011	385	235.82269316510974	8.59653649745015	387.0930238258769	0.003265100000005461	0.2307945928124
CNL1	Q06333	Biogenesis of lysosome-related organelles complex 1 subunit CNL1	13.956727380000007	386	233.13256270478416	8.596519545672878	387.0884754799086	0.00522839999999114	0.2472799208704246
PKR1	Q03880	V-type ATPase assembly factor PKR1	13.961955779999998	385	232.98309316319967	8.596498717601285	387.08288715524264	0.00522839999999114	0.2637652489284492
SRX1	P36077	Sulfiredoxin	13.854038480000002	384	236.07179151369553	8.596464053555614	387.0735867159242	0.004114599999988755	0.2802505769864849
YBL044W	P38194	Uncharacterized protein YBL044W	13.849923880000013	384	236.18938360698405	8.596451877420476	387.0703198852507	0.004114599999988755	0.29673590504450953
RPL22B	P56628	Large ribosomal subunit protein eL22B	13.826588780000002	382	236.85307263715924	8.596259320282503	387.0186608879479	0.010812499999991232	0.31322123310253414
HTA1	P04911	Histone H2A.1	13.989163380000011	383	232.20410074323863	8.59621713710176	387.00734495562125	0.0	0.33794922518958215
HTA2	P04912	Histone H2A.2	13.989163380000011	383	232.20410074323863	8.59621713710176	387.00734495562125	0.0	0.33794922518958215
