accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
A0A1Y7VHP7,A0A1Y7VHP7_MOUSE,Gm45021,Predicted gene 45021 (Fragment),7,663.74358,0.66374358,GM45021,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
P38639,UF01_MOUSE,,Unknown protein from 2D-PAGE of fibroblasts (Fragment),5,716.84048,0.71684048,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A1Y7VE86,A0A1Y7VE86_MOUSE,Aars1,Alanyl-tRNA synthetase 1 (Fragment),7,721.82368,0.72182368,AARS1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A0G2JDD8,A0A0G2JDD8_MOUSE,Ighd1-1,Immunoglobulin heavy diversity 1-1 (Fragment),7,749.90548,0.74990548,IGHD1-1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A2I3BRA1,A0A2I3BRA1_MOUSE,Tsc2,TSC complex subunit 2 (Fragment),7,761.93488,0.76193488,TSC2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
P38642,UF04_MOUSE,,Unknown protein from 2D-PAGE of fibroblasts (Fragment),7,765.86748,0.76586748,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A1Y7VI41,A0A1Y7VI41_MOUSE,Tlr3,Toll-like receptor 3 (Fragment),7,774.90508,0.77490508,TLR3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A1Y7VDJ1,A0A1Y7VDJ1_MOUSE,Tor1aip2,Torsin A interacting protein 2 (Fragment),7,779.9066799999999,0.77990668,TOR1AIP2,,,False,,,False,Actin family,marker/cytoskeleton family,actin family and actin-related proteins,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,configured audit family match: Actin family
A0A1C7ZMZ6,A0A1C7ZMZ6_MOUSE,Dtx2,"Deltex 2, E3 ubiquitin ligase (Fragment)",8,780.9093800000002,0.7809093800000002,DTX2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
A0A0G2JDD0,A0A0G2JDD0_MOUSE,Slc2a4,"Solute carrier family 2 (facilitated glucose transporter), member 4 (Fragment)",7,781.92208,0.7819220800000001,SLC2A4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,332,1,6,6,35.1,elevated,standard full-blot and antibody-validation checks
