gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
Or9i2	Q8VFQ3	Olfactory receptor	35.609573179999984	2438	1729.3789314797664	11.232894179339754	2406.7893778315583	0.001059700000006103	0.0
Or9i16	Q8VFQ4	Olfactory receptor	35.60851347999998	2438	1729.7184000258067	11.232893471980885	2406.7881977738566	0.0002567999999811832	0.004576030750924609
Or1ad6	Q8VGH0	Olfactory receptor	35.60825668	2438	1729.800564788994	11.232893282628853	2406.78788188575	3.5200000020552125e-05	0.009152061501849218
Ppp2ca	P63330	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	35.608221479999976	2438	1729.8118242195844	11.23289325612917	2406.787837677435	3.5200000020552125e-05	0.01372809225278493
Slc25a19	Q9DAM5	Mitochondrial thiamine pyrophosphate carrier	35.61819577999998	2435	1726.5919355632134	11.232893206986748	2406.7877556951903	0.000570600000031618	0.018304123003709538
Fndc8	Q9D2H8	Fibronectin type III domain-containing protein 8	35.61876638000001	2435	1726.4059989390485	11.232893035783455	2406.787470083917	0.000570600000031618	0.022880153754634147
Znf330	Q922H9	Zinc finger protein 330	35.60763797999999	2439	1729.9983620397486	11.23289279772263	2406.7870729370884	0.0005834999999834167	0.027456184505558756
Csn1s1	P19228	Alpha-S1-casein	35.60229337999998	2438	1731.6982742712503	11.23289178566184	2406.7853845595	0.001775100000003249	0.032032215256483365
Or8s16	Q7TS17	Olfactory receptor	35.605970780000014	2440	1730.5302381574588	11.2328912893655	2406.784556610045	0.0016671999999786635	0.036608246007407974
Or9r7	Q8VFU4	Olfactory receptor	35.61431297999999	2436	1727.8518296319412	11.232891098530319	2406.7842382481413	0.0016972999999893545	0.041184276758343685
Wdr54	Q9R0D8	WD repeat-containing protein 54	35.61261568	2437	1728.3999513226945	11.232890737553793	2406.7836360470696	0.00014570000001157268	0.045760307509268294
Or8u9	Q8VGR9	Olfactory receptor 8U9	35.612469979999986	2437	1728.446924652051	11.23289069221103	2406.7835604037637	8.109999999561524e-05	0.0503363382601929
Or8k40	Q8VGA6	Olfactory receptor	35.61238887999999	2437	1728.4730657048012	11.232890665989897	2406.7835166602244	8.109999999561524e-05	0.05491236901111751
Mdh2	P08249	Malate dehydrogenase, mitochondrial	35.61144677999999	2438	1728.7764511136781	11.232890309944946	2406.782922686451	3.209999998432522e-05	0.05948839976204212
Or6c1b	Q8VFH8	Olfactory receptor	35.61141468	2438	1728.7867791327863	11.232890296145477	2406.782899665424	3.209999998432522e-05	0.06406443051297783
Dnase1l1	Q9D7J6	Deoxyribonuclease-1-like 1	35.60422258	2439	1731.0861901788899	11.232889392436466	2406.7813920490153	0.0017482000000157427	0.06864046126390244
Or4m1	Q8VFT4	Olfactory receptor 4M1	35.600518279999974	2438	1732.2588990843265	11.232889199884095	2406.7810708228258	0.0015400999999926057	0.07321649201482705
Or2t1	E9Q3K2	Olfactory receptor	35.59897817999998	2438	1732.7437871494042	11.232886702558465	2406.7769046541757	0.0010472999999819876	0.07779252276575166
Mtx1	P47802	Metaxin-1	35.62389298	2437	1724.7262961495098	11.232885094301821	2406.774221680517	0.002217699999960132	0.08236855351667627
Vmn1r19	Q8R2C7	Vomeronasal type-1 receptor	35.596700080000005	2436	1733.458772602933	11.232884994739937	2406.7740555865334	0.0004539000000249871	0.08694458426760088
Or51d1	E9Q550	Olfactory receptor	35.59793088	2437	1733.072714627779	11.232884871804256	2406.7738504992562	0.00048200000001941135	0.09152061501853659
Or10ak13	A2ACY8	Olfactory receptor family 10 subfamily AK member 13	35.59624617999998	2434	1733.6007930757319	11.23288411137187	2406.7725819093994	0.0004539000000249871	0.0960966457694612
Or13p8	A0ACM8Q8T0	Olfactory receptor family 13 subfamily P member 8	35.59744887999998	2437	1733.2238772328315	11.232883990822723	2406.7723808035785	0.0002556999999754339	0.1006726765203858
Vmn1r208	Q8R275	Vomeronasal type-1 receptor	35.597193180000005	2436	1733.304012331263	11.232883513643845	2406.7715847512427	0.0002556999999754339	0.10524870727131042
Dnajb7	Q9QYI8	DnaJ homolog subfamily B member 7	35.62611067999996	2435	1723.9952622180554	11.232882896758515	2406.7705556344004	0.00028240000003876276	0.10982473802223502
Dnajb2	Q9QYI5	DnaJ homolog subfamily B member 2	35.593294580000006	2435	1734.5219826735488	11.232882715080253	2406.7702525503446	0.00043029999997656887	0.11440076877317074
Or2f2	Q7TRV8	Olfactory receptor	35.62639308	2435	1723.9019695010477	11.232882578390516	2406.770024518246	0.00028240000003876276	0.11897679952409534
Six3	Q62233	Homeobox protein SIX3	35.592753880000025	2435	1734.6900468752892	11.23288148768372	2406.768204951842	0.0005406999999806317	0.12355283027501995
Or51h5	Q8VGZ3	Olfactory receptor family 51 subfamily H member 5	35.59372487999998	2435	1734.3877730256236	11.23288125267749	2406.7678129039996	0.00043029999997656887	0.12812886102594456
Znrf4	Q9DAH2	E3 ubiquitin-protein ligase ZNRF4	35.62786438000001	2436	1723.4148398771465	11.232878358531256	2406.7629847658163	0.0006602999999785197	0.13270489177686917
Sult1e1	P49891	Sulfotransferase 1E1	35.59018417999998	2433	1735.4867120343408	11.2328776662506	2406.761829875134	0.0001401000000171848	0.13728092252780488
Or8k25	Q7TR72	Olfactory receptor	35.62852467999999	2436	1723.1959685967058	11.23287747907353	2406.7615176188456	6.100000007336348e-06	0.1418569532787295
Or6c75	Q7TRI0	Olfactory receptor	35.62853078	2436	1723.1939454473793	11.232877470725917	2406.761503693026	6.100000007336348e-06	0.1464329840296541
Or8k32	Q8VF52	Olfactory receptor	35.62857777999999	2436	1723.1783565313176	11.232877406271308	2406.7613961672755	4.6999999995023245e-05	0.1510090147805787
Tas2r135	Q7TQA9	Taste receptor type 2 member 135	35.59103677999998	2433	1735.2226025621217	11.23287738984022	2406.7613687562794	0.0008526000000017575	0.15558504553150332
Gm3415	J3QMS8	Predicted gene 3415	35.59004407999996	2433	1735.530013726764	11.232877307357745	2406.7612311557305	0.0001401000000171848	0.16016107628242793
Cd300a	Q6SJQ0	CMRF35-like molecule 8	35.62949308000002	2436	1722.8745179745688	11.232876102691804	2406.7592214849483	0.0009153000000239331	0.16473710703336364
Vmn1r12	G5E8G1	Vomeronasal type-1 receptor	35.58770768000002	2433	1736.2507322233469	11.232873450353049	2406.7547967557357	0.0020755000000534096	0.16931313778428825
Ftsj1	Q8CBC7	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	35.58563217999997	2433	1736.8882424709154	11.232869844032944	2406.7487805727474	0.0012335999999848468	0.17388916853521286
Or7e169	Q8VFF7	Olfactory receptor	35.584398579999984	2433	1737.2657193796076	11.232866060493548	2406.7424687628145	0.0010297999999977492	0.17846519928613747
Or12d13	Q920Y8	Olfactory receptor	35.634467779999994	2436	1721.2144274119428	11.232865010703765	2406.7407174760488	8.029999999337178e-05	0.18304123003706207
Or2l5	Q8VGJ5	Olfactory receptor	35.63454807999999	2436	1721.1875205591582	11.232864849888749	2406.7404492003457	8.029999999337178e-05	0.18761726078799779
Pih1d2	Q8CHR9	PIH1 domain-containing protein 2	35.58336877999999	2433	1737.5801268496853	11.232862783390866	2406.737001818646	0.000774899999996137	0.1921932915389224
Or10ak11	Q7TQV7	Olfactory receptor family 10 subfamily AK member 11	35.63615527999999	2437	1720.6482097534915	11.23286148068197	2406.734828610728	0.0016072000000022513	0.196769322289847
Or52n2c	Q8VGW3	Olfactory receptor	35.58259387999999	2433	1737.816286043605	11.232860246387673	2406.7327695353747	0.000774899999996137	0.2013453530407716
Eif3g	Q9Z1D1	Eukaryotic translation initiation factor 3 subunit G	35.63803897999998	2435	1720.0139157649846	11.232854744384342	2406.723591000696	0.00020199999998737894	0.20592138379169622
Or5b104	Q8VFK3	Olfactory receptor	35.63824097999997	2435	1719.9458132896602	11.232854259888416	2406.7227827581028	0.00020199999998737894	0.21049741454262083
Or5d14	Q7TR28	Olfactory receptor	35.63865598	2433	1719.8058272597905	11.23285325022215	2406.7210984201865	0.0004150000000322507	0.21507344529355654
Sfxn4	Q925N1	Sideroflexin-4	35.57950937999999	2433	1738.7530353373654	11.232851978839062	2406.718977484671	0.001854900000012094	0.21964947604448115
Or8b50	E9PW59	Olfactory receptor	35.639499079999965	2433	1719.5211378887716	11.23285115115651	2406.7175967363637	0.0008430999999617939	0.22422550679540576
Ccdc83	Q9D4V3	Coiled-coil domain-containing protein 83	35.64156897999999	2433	1718.8204923120281	11.232845668063657	2406.7084498060703	0.0007377000000516887	0.22880153754633037
Or52r1	Q8VGZ2	Olfactory receptor	35.57765447999998	2435	1739.3133634773571	11.23284509550567	2406.707494663205	0.0001329999999839515	0.23337756829725498
Or51e2	Q8VBV9	Olfactory receptor 51E2	35.577521479999994	2435	1739.3534592760325	11.232844588637478	2406.7066491045625	0.0001005999999819096	0.2379535990481907
Or56b1b	Q7TRU7	Olfactory receptor family 56 subfamily B member 1B	35.57742088000001	2435	1739.3837801853183	11.232844204064364	2406.706007559036	0.0001005999999819096	0.2425296297991153
Gpr31	F8VQN3	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	35.64230668000004	2433	1718.570202021705	11.232843597778244	2406.7049961518433	3.3999999963896244e-05	0.2471056605500399
Or11h7	E9Q840	Olfactory receptor	35.642340680000004	2433	1718.5586589500247	11.232843500886753	2406.704834517389	3.3999999963896244e-05	0.2516816913009645
Or2t6	Q8VF37	Olfactory receptor	35.64352667999999	2433	1718.1556020993544	11.232840039724156	2406.699060610549	0.00013859999999965567	0.2562577220518891
Or11i1	Q8VFC3	Olfactory receptor	35.643665279999986	2433	1718.1084478496246	11.232839624909792	2406.69836861871	0.00013859999999965567	0.26083375280281373
Or4a80	A2AUA2	Olfactory receptor	35.57576838000001	2435	1739.8802897750238	11.23283293644599	2406.6872109747515	0.0006605000000234895	0.26540978355374945
Ppp2cb	P62715	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	35.57510787999998	2434	1740.0785438330795	11.232830288279306	2406.682793337719	0.0004642999999830977	0.26998581430467405
Or52n5	Q8VGU9	Olfactory receptor	35.57464358	2435	1740.217746729577	11.232828400545907	2406.679644250498	0.00011230000003337182	0.27456184505559866
Or8g51	Q8VF78	Olfactory receptor	35.57453127999997	2435	1740.2513957830815	11.232827940714628	2406.6788771677984	0.00011230000003337182	0.2791378758065233
Tacstd2	Q8BGV3	Tumor-associated calcium signal transducer 2	35.57415808	2436	1740.3631640628073	11.232826403505445	2406.6763128234334	0.00037319999997009745	0.2837139065574479
Vmn1r85	Q8VIB8	Vomeronasal type-1 receptor	35.573149780000016	2435	1740.6647080349421	11.23282218057936	2406.669268229103	0.00025150000001161743	0.2882899373083836
Slc35g3	Q5F297	Solute carrier family 35 member G3	35.572898280000004	2434	1740.739489332669	11.232818701421873	2406.663464389021	0.00025150000001161743	0.2928659680593082
Sfxn1	Q99JR1	Sideroflexin-1	35.64935887999999	2435	1716.1617350480865	11.232818276087913	2406.662754858926	0.0007034000000345486	0.2974419988102328
Gpbar1	Q80SS6	G protein-coupled bile acid receptor 1	35.65006228000002	2435	1715.9200180419796	11.232815689688126	2406.6584403043694	0.00024079999997894674	0.3020180295611574
Vmn1r222	Q8R269	Vomeronasal type-1 receptor	35.65030308	2435	1715.8372059470669	11.232814791321761	2406.656941678356	0.00024079999997894674	0.30659406031208203
Polr3f	Q921X6	DNA-directed RNA polymerase III subunit RPC6	35.65190867999999	2435	1715.2845447937111	11.232811080977614	2406.6507522108905	0.001605599999990659	0.31117009106300664
Or51af1	E9Q4X7	Olfactory receptor family 51 subfamily AF member 1	35.57051828000001	2434	1741.4484090919393	11.232808291977351	2406.6460997078307	0.000980699999992396	0.31574612181394235
Or56b1	Q7TRP7	Olfactory receptor family 56 subfamily B member 1	35.569537580000016	2434	1741.7395094717845	11.232803838377617	2406.6386704025495	0.0005198000000419256	0.32032215256486696
Or4c1	Q7TQZ8	Olfactory receptor	35.569017779999974	2435	1741.8935604245085	11.232801439036491	2406.6346679334397	8.980000000491373e-05	0.32489818331579157
Or52ab4	Q8VG01	Olfactory receptor	35.56892797999997	2435	1741.9201571600574	11.232801021808259	2406.6339719334155	8.980000000491373e-05	0.3294742140667162
Or52ae7	E9Q564	Olfactory receptor	35.56870807999999	2435	1741.9852655324914	11.23279999672647	2406.6322619422476	0.00011989999999428846	0.3340502448176408
Or4d1	Q5SW48	Olfactory receptor	35.56858818	2435	1742.0207531368087	11.23279943577902	2406.6313261977357	0.00011989999999428846	0.3386262755685765
