accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
C0HJX4,TAL1A_DROME,tal-1A,Peptide tarsal-less 1A,11,1229.36988,1.22936988,TAL-1A,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
C0HJX5,TAL2A_DROME,tal-2A,Peptide tarsal-less 2A,11,1229.36988,1.22936988,TAL-2A,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
A3RLR0,TAL3A_DROME,tal-3A,Peptide tarsal-less 3A,11,1236.31858,1.23631858,TAL-3A,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
M9PBF3,M9PBF3_DROME,Dmel\CG43739,Uncharacterized protein,15,1722.0006799999999,1.7220006799999998,DMEL\CG43739,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
A0A1Z1CH01,A0A1Z1CH01_DROME,CG1461-5'utr,Uncharacterized protein,15,1858.09858,1.85809858,CG1461-5'UTR,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
A0A384SX97,A0A384SX97_DROME,CG6424-5'utr,Uncharacterized protein,15,1889.29218,1.88929218,CG6424-5'UTR,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
A0A126GUS8,A0A126GUS8_DROME,Dmel\CG46270,Uncharacterized protein,16,1980.32718,1.98032718,DMEL\CG46270,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,7,0,0,0,0.35,routine,standard full-blot and antibody-validation checks
A0A1Z1CH02,A0A1Z1CH02_DROME,CG14253-5'utr,Uncharacterized protein,19,2149.78278,2.14978278,CG14253-5'UTR,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0B4LF48,A0A0B4LF48_DROME,Dmel\CG43178,Uncharacterized protein,21,2297.8968800000002,2.29789688,DMEL\CG43178,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A9F2H0Z1,A0A9F2H0Z1_DROME,Dmel\CG46525,Uncharacterized protein,20,2313.96388,2.3139638799999998,DMEL\CG46525,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0B4LFA8,A0A0B4LFA8_DROME,Dmel\CG45088,Uncharacterized protein,21,2359.72588,2.35972588,DMEL\CG45088,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0ACD4DAS6,A0ACD4DAS6_DROME,MSAmiP,"MSA micropeptide, isoform B",20,2365.8704799999996,2.3658704799999994,MSAMIP,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0B4K848,A0A0B4K848_DROME,Dmel\CG43200,Uncharacterized protein,21,2412.9305799999993,2.4129305799999994,DMEL\CG43200,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0B4LEP6,A0A0B4LEP6_DROME,noncoding_5744,Uncharacterized protein,22,2468.0013799999997,2.4680013799999996,NONCODING_5744,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A126GUN2,A0A126GUN2_DROME,MIP03715_ORF_1,Uncharacterized protein,23,2514.980379999999,2.514980379999999,MIP03715_ORF_1,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
O46201,A98AB_DROME,Acp98AB,Accessory gland protein 98AB,25,2622.25698,2.62225698,ACP98AB,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0B4LG22,A0A0B4LG22_DROME,MIP03715,Uncharacterized protein,23,2628.1016799999993,2.6281016799999994,MIP03715,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A1Z1CK60,A0A1Z1CK60_DROME,CG13627-5'utr,Uncharacterized protein,22,2636.39828,2.63639828,CG13627-5'UTR,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A2U8U1T7,A0A2U8U1T7_DROME,Dmel\CG46335,Uncharacterized protein,23,2640.05268,2.6400526799999997,DMEL\CG46335,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A384TTL1,A0A384TTL1_DROME,CG43200-3'utr,Uncharacterized protein,23,2664.3061799999996,2.6643061799999996,CG43200-3'UTR,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
Q24437,MST40_DROME,Mst40,Protein male-specific 40,23,2724.1239800000003,2.7241239800000003,MST40,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A1Z1CH08,A0A1Z1CH08_DROME,Dmel\CG46310,Uncharacterized protein,23,2774.40608,2.7744060800000003,DMEL\CG46310,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
X2JDL1,X2JDL1_DROME,Dmel\CG45307,Uncharacterized protein,26,2879.28958,2.87928958,DMEL\CG45307,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A0S0X126,A0A0S0X126_DROME,CR33939,Uncharacterized protein,26,2881.2902799999993,2.881290279999999,CR33939,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A1Z1CH22,A0A1Z1CH22_DROME,CG7708-5'utr,Uncharacterized protein,26,2968.43718,2.96843718,CG7708-5'UTR,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
A0A1W5PW65,A0A1W5PW65_DROME,CG42784-5'utr,Uncharacterized protein,27,3053.5880799999995,3.0535880799999995,CG42784-5'UTR,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,49,0,0,1,3.2,routine,standard full-blot and antibody-validation checks
