case_id	paper_or_case_title	organism_context	reported_protein_claim	reported_issue	approx_mw_kda	species_scope	source_url	results_sentence	species_interpretation
ORI_Eckert_JBC2014_MEK3	P38δ regulates p53 to control p21Cip1 expression in human epidermal keratinocytes	human keratinocytes	MEK3 western blot	ORI reported MEK3 bands were compiled from a source image representing p44 expression in an unrelated experiment.	39.4	direct_human	https://ori.hhs.gov/content/case-summary-eckert-richard-l	A public ORI case documents a human-cell western blot malpractice example in the 38-40 kDa bin, where MEK3-labeled bands were compiled from an unrelated p44 source image.	direct report for human proteins/cells
ORI_Eckert_JBC2014_p38d	P38δ regulates p53 to control p21Cip1 expression in human epidermal keratinocytes	human keratinocytes	p38δ western blot	ORI reported p38δ bands were compiled from a source image representing β-actin expression in an unrelated experiment.	41.9	direct_human	https://ori.hhs.gov/content/case-summary-eckert-richard-l	The 40-42 kDa bin is supported by a public ORI case in which p38δ-labeled bands were compiled from a β-actin source image.	direct report for human proteins/cells
ORI_Eckert_PLoS2012_TAM67	Suppression of AP1 transcription factor function in keratinocyte suppresses differentiation	human keratinocytes / transgenic model context	TAM67-FLAG western blot	ORI reported TAM67-FLAG bands were generated using unrelated bands from a source image representing Cyclin A expression.	48.5	direct_human	https://ori.hhs.gov/content/case-summary-eckert-richard-l	A public ORI case maps a relabeled western blot problem to the 48-50 kDa neighborhood, involving Cyclin A source material used for a TAM67-FLAG claim.	direct report for human proteins/cells
ORI_Yang_GAPDH_NFYA	ORI Newsletter case summary involving GAPDH loading-control western blots	human-cell/manuscript context	GAPDH loading-control bands	ORI reported claimed GAPDH loading-control bands were actually a prominent nonspecific/background band from an NF-YA western blot.	36.0	direct_human	https://ori.hhs.gov/images/ddblock/vol17_no1.pdf	The 36-38 kDa neighborhood is supported by an ORI-described case where a nonspecific NF-YA blot band was claimed as GAPDH.	direct report for human proteins/cells
CancerGeneTherapy_Liu2021_CTBP2_GAPDH	CTBP2 Overexpression Inhibits the Proliferation and Drug Resistance of Ovarian Cancer Cells by Upregulating FOXC1	human ovarian cancer cell context	CTBP2 and GAPDH western blots	Retraction note reported apparent similarity in western blots presented for different proteins, including CTBP2 and GAPDH.	48.0	direct_human	https://www.nature.com/articles/s41417-023-00649-4	A retraction notice maps an apparent different-protein western blot similarity to the CTBP2/GAPDH region, spanning roughly the 36-38 and 48-50 kDa neighborhoods.	direct report for human proteins/cells
CancerGeneTherapy_Liu2021_CyclinD1_CDK4	CTBP2 Overexpression Inhibits the Proliferation and Drug Resistance of Ovarian Cancer Cells by Upregulating FOXC1	human ovarian cancer cell context	Cyclin D1 and CDK4 western blots	Retraction note reported apparent similarity in western blots presented for Cyclin D1 and CDK4.	34.0	direct_human	https://www.nature.com/articles/s41417-023-00649-4	A retraction notice maps an apparent different-protein western blot similarity to the 32-36 kDa cell-cycle neighborhood involving Cyclin D1 and CDK4.	direct report for human proteins/cells
Das_UConn_Garlic_AKT	Freshly Crushed Garlic is a Superior Cardioprotective Agent than Processed Garlic	rat heart model / mammalian proteins	Akt / p-Akt western blots in Figure 6	UConn/ACS retraction materials reported data fabrication in Figures 6, 7, and 8; exact lane-level source images are not public.	55.8	mammalian_general	https://retractionwatch.com/2012/03/15/hold-the-broccoli-garlic-and-wine-three-dipak-das-retractions-appear-in-journal-of-agricultural-and-food-chemistry/	The 54-56 kDa signaling region is supported as an audit-priority bin by the garlic-paper retraction, where Akt/p-Akt figure panels were within figures reported to contain fabricated data.	mammalian evidence case; use as family/bin audit precedent, not proof for this species
Das_UConn_Garlic_FOXO1	Freshly Crushed Garlic is a Superior Cardioprotective Agent than Processed Garlic	rat heart model / mammalian proteins	FoxO1 / p-FoxO1 western blots in Figure 6	UConn/ACS retraction materials reported data fabrication in Figures 6, 7, and 8; exact lane-level source images are not public.	70.0	mammalian_general	https://retractionwatch.com/2012/03/15/hold-the-broccoli-garlic-and-wine-three-dipak-das-retractions-appear-in-journal-of-agricultural-and-food-chemistry/	The 70 kDa transcription-factor signaling region can be referenced as an audit-priority bin because FoxO1 panels occurred in a figure reported to contain fabricated data.	mammalian evidence case; use as family/bin audit precedent, not proof for this species
Das_UConn_Garlic_NFKB_PPAR_GLUT4	Freshly Crushed Garlic is a Superior Cardioprotective Agent than Processed Garlic	rat heart model / mammalian proteins	Nrf2, NF-kB p65, PPARα/δ, Glut-4 western blots in Figures 7 and 8	UConn/ACS retraction materials reported data fabrication in Figures 6, 7, and 8; exact lane-level source images are not public.	52.0	mammalian_general	https://today.uconn.edu/2012/01/scientific-journals-notified-following-research-misconduct-investigation/	The 50-56 kDa metabolic/signaling region is an audit-priority region in the garlic-paper case because PPAR and Glut-4 panels were in figures reported to contain fabricated data.	mammalian evidence case; use as family/bin audit precedent, not proof for this species
Ilangovan_HSP25_HSP27	AJP/JBC-related Ilangovan investigation western blot relabeling cases	mammalian cardiology model context	Hsp25/Hsp27-family western blots	Public investigation materials described Hsp-family western blot relabeling and unreliable/falsified blot images.	23.0	mammalian_general	https://retractionwatch.com/wp-content/uploads/2026/02/20231120-Final-Investigation-Report-Ilangovan_Redacted.pdf	The 22-24 kDa small heat-shock-protein neighborhood can be cited as an audit-risk bin based on public investigation materials describing Hsp-family western blot relabeling.	mammalian evidence case; use as family/bin audit precedent, not proof for this species
