accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
P0DPR3,TRDD1_HUMAN,TRDD1,T cell receptor delta diversity 1,2,260.29017999999996,0.26029018,TRDD1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
P0DPI4,TDB01_HUMAN,TRBD1,T cell receptor beta diversity 1,4,290.27608,0.29027608,TRBD1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
P0DOY5,HD101_HUMAN,IGHD1-1,Immunoglobulin heavy diversity 1-1,5,435.43438,0.43543437999999995,IGHD1-1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0U1RQB9,A0A0U1RQB9_HUMAN,IGHD5-12,Immunoglobulin heavy diversity 5-12 (Fragment),7,729.8717800000001,0.7298717800000001,IGHD5-12,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0G2JLJ8,A0A0G2JLJ8_HUMAN,IGHD5OR15-5B,Immunoglobulin heavy diversity 5/OR15-5A (non-functional) (Fragment),7,745.8711800000001,0.7458711800000001,IGHD5OR15-5B,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A1Y8EKQ5,A0A1Y8EKQ5_HUMAN,IGHD6-19,Immunoglobulin heavy diversity 6-19 (Fragment),7,818.84068,0.81884068,IGHD6-19,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A1Y8EI39,A0A1Y8EI39_HUMAN,IGHD6-13,Immunoglobulin heavy diversity 6-13 (Fragment),7,848.86698,0.84886698,IGHD6-13,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YXN1,A0A0J9YXN1_HUMAN,IGHD3-10,Immunoglobulin heavy diversity 3-10 (Fragment),9,1089.3426800000002,1.0893426800000001,IGHD3-10,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0ACI8PYV1,A0ACI8PYV1_HUMAN,,Uncharacterized protein,8,1103.3947799999999,1.10339478,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MTA1,A0A0A0MTA1_HUMAN,IGLJ4,Immunoglobulin lambda joining 4 (non-functional) (Fragment),11,1117.35358,1.11735358,IGLJ4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YW22,A0A0J9YW22_HUMAN,IGHD3-9,Immunoglobulin heavy diversity 3-9 (Fragment),9,1224.46798,1.2244679799999998,IGHD3-9,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT69,A0A0A0MT69_HUMAN,IGKJ4,Immunoglobulin kappa joining 4 (Fragment),12,1249.47288,1.2494728800000001,IGKJ4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT96,A0A0A0MT96_HUMAN,IGKJ3,Immunoglobulin kappa joining 3 (Fragment),13,1309.5279799999998,1.30952798,IGKJ3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT85,A0A0A0MT85_HUMAN,IGKJ2,Immunoglobulin kappa joining 2 (Fragment),13,1310.5309800000002,1.3105309800000002,IGKJ2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT86,A0A0A0MT86_HUMAN,IGLJ5,Immunoglobulin lambda joining 5 (non-functional) (Fragment),13,1350.53408,1.3505340799999999,IGLJ5,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YWD0,A0A0J9YWD0_HUMAN,IGHD3-3,Immunoglobulin heavy diversity 3-3 (Fragment),10,1351.65428,1.35165428,IGHD3-3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MTA3,A0A0A0MTA3_HUMAN,IGKJ5,Immunoglobulin kappa joining 5 (Fragment),13,1362.59188,1.3625918799999999,IGKJ5,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A804HJT0,A0A804HJT0_HUMAN,LOC128462377,Uncharacterized protein,13,1391.46958,1.3914695799999999,LOC128462377,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT89,KJ01_HUMAN,IGKJ1,Immunoglobulin kappa joining 1,12,1393.60548,1.39360548,IGKJ1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MTA2,A0A0A0MTA2_HUMAN,TRBJ2-2P,T cell receptor beta joining 2-2P (non-functional) (Fragment),15,1440.77018,1.44077018,TRBJ2-2P,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT92,A0A0A0MT92_HUMAN,IGLJ7,Immunoglobulin lambda joining 7 (Fragment),15,1465.72768,1.4657276799999999,IGLJ7,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A8I5KPI3,A0A8I5KPI3_HUMAN,,Uncharacterized protein,12,1481.68978,1.48168978,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YX06,TJB12_HUMAN,TRBJ1-2,T cell receptor beta joining 1-2,15,1634.80898,1.63480898,TRBJ1-2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YXA8,TJB11_HUMAN,TRBJ1-1,T cell receptor beta joining 1-1,15,1639.82848,1.6398284799999998,TRBJ1-1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT70,TJB26_HUMAN,TRBJ2-6,T cell receptor beta joining 2-6,17,1662.90648,1.6629064800000002,TRBJ2-6,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YW14,A0A0J9YW14_HUMAN,IGHJ3,Immunoglobulin heavy joining 3 (Fragment),17,1713.8793799999999,1.7138793799999998,IGHJ3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT78,TJB27_HUMAN,TRBJ2-7,T cell receptor beta joining 2-7,15,1718.88358,1.71888358,TRBJ2-7,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MTA4,TJB25_HUMAN,TRBJ2-5,T cell receptor beta joining 2-5,15,1721.97378,1.7219737800000001,TRBJ2-5,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YVS3,A0A0J9YVS3_HUMAN,IGHJ4,Immunoglobulin heavy joining 4 (Fragment),16,1722.8713799999996,1.7228713799999995,IGHJ4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YWP8,TJB13_HUMAN,TRBJ1-3,T cell receptor beta joining 1-3,16,1729.9066799999996,1.7299066799999996,TRBJ1-3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT87,TJB24_HUMAN,TRBJ2-4,T cell receptor beta joining 2-4,16,1738.01948,1.73801948,TRBJ2-4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MT94,TJB22_HUMAN,TRBJ2-2,T cell receptor beta joining 2-2,16,1739.9456799999998,1.7399456799999997,TRBJ2-2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YXG5,TJB14_HUMAN,TRBJ1-4,T cell receptor beta joining 1-4,16,1740.9737799999998,1.7409737799999998,TRBJ1-4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Z4,A0A075B6Z4_HUMAN,TRDJ4,T cell receptor delta joining 4 (Fragment),16,1749.0427799999998,1.7490427799999997,TRDJ4,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0B4J200,TJB23_HUMAN,TRBJ2-3,T cell receptor beta joining 2-3,16,1755.94518,1.7559451799999999,TRBJ2-3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B706,TRDJ1_HUMAN,TRDJ1,T cell receptor delta joining 1,16,1761.05148,1.7610514800000001,TRDJ1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YXM7,TJB15_HUMAN,TRBJ1-5,T cell receptor beta joining 1-5,16,1769.93448,1.7699344799999999,TRBJ1-5,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A6Q8PFQ6,A0A6Q8PFQ6_HUMAN,LOC128092247,Uncharacterized protein,16,1772.9686799999997,1.7729686799999997,LOC128092247,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6S0,TRGJ1_HUMAN,TRGJ1,T cell receptor gamma joining 1,16,1791.0771799999995,1.7910771799999996,TRGJ1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A5H1ZRR4,A0A5H1ZRR4_HUMAN,TRGJ2,T cell receptor gamma joining 2 (Fragment),17,1791.0771799999995,1.7910771799999996,TRGJ2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YVP9,A0A0J9YVP9_HUMAN,IGHJ5,Immunoglobulin heavy joining 5 (Fragment),17,1793.9530799999998,1.7939530799999999,IGHJ5,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0A0MTA7,TJB21_HUMAN,TRBJ2-1,T cell receptor beta joining 2-1,16,1829.04228,1.82904228,TRBJ2-1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6V6,A0A075B6V6_HUMAN,TRDJ2,T cell receptor delta joining 2 (Fragment),18,1862.19918,1.8621991800000002,TRDJ2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0J9YWX3,TJB16_HUMAN,TRBJ1-6,T cell receptor beta joining 1-6,17,1864.04768,1.8640476799999999,TRBJ1-6,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A8I5QKY2,A0A8I5QKY2_HUMAN,,Uncharacterized protein,17,1866.96338,1.8669633799999998,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0N4Z3,A0N4Z3_HUMAN,TRAJ14,T cell receptor alpha joining 14 (Fragment),17,1873.1821799999998,1.8731821799999997,TRAJ14,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
C0HMA1,P155_HUMAN,MIR155HG,HSPA8-interacting micropeptide miPEP155,17,1879.3249799999996,1.8793249799999996,MIR155HG,,,False,,,False,Actin family,marker/cytoskeleton family,actin family and actin-related proteins,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,configured audit family match: Actin family
A0A075B6Z1,A0A075B6Z1_HUMAN,TRAJ20,T cell receptor alpha joining 20 (Fragment),19,1887.0795799999999,1.8870795799999998,TRAJ20,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6V1,A0A075B6V1_HUMAN,TRAJ43,T cell receptor alpha joining 43 (Fragment),18,1891.1350799999998,1.8911350799999997,TRAJ43,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6W6,A0A075B6W6_HUMAN,TRAJ27,T cell receptor alpha joining 27 (Fragment),20,1909.0831799999999,1.9090831799999999,TRAJ27,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A0C4DH62,HJ01_HUMAN,IGHJ1,Immunoglobulin heavy joining 1,17,1910.0728799999997,1.9100728799999998,IGHJ1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Y2,A0A075B6Y2_HUMAN,TRAJ35,T cell receptor alpha joining 35 (non-functional) (Fragment),20,1911.2492799999998,1.9112492799999998,TRAJ35,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Y0,A0A075B6Y0_HUMAN,TRAJ49,T cell receptor alpha joining 49 (Fragment),19,1917.1051799999996,1.9171051799999996,TRAJ49,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B711,A0A075B711_HUMAN,TRAJ29,T cell receptor alpha joining 29 (Fragment),20,1931.22228,1.9312222799999998,TRAJ29,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Y5,A0A075B6Y5_HUMAN,TRAJ47,T cell receptor alpha joining 47 (Fragment),19,1952.28408,1.9522840799999999,TRAJ47,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6V9,A0A075B6V9_HUMAN,TRAJ59,T cell receptor alpha joining 59 (non-functional) (Fragment),18,1955.2653799999998,1.9552653799999997,TRAJ59,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Y8,A0A075B6Y8_HUMAN,TRAJ11,T cell receptor alpha joining 11 (Fragment),20,1973.2714799999999,1.97327148,TRAJ11,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B700,TJA31_HUMAN,TRAJ31,T cell receptor alpha joining 31,18,1974.2651799999996,1.9742651799999997,TRAJ31,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,58,0,0,1,3.65,routine,standard full-blot and antibody-validation checks
A0A075B6Z0,A0A075B6Z0_HUMAN,TRAJ22,T cell receptor alpha joining 22 (Fragment),21,2007.2308799999996,2.00723088,TRAJ22,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A087WU04,A0A087WU04_HUMAN,TRAJ36,T cell receptor alpha joining 36 (Fragment),20,2007.27668,2.00727668,TRAJ36,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6X7,A0A075B6X7_HUMAN,TRAJ50,T cell receptor alpha joining 50 (Fragment),20,2009.33008,2.00933008,TRAJ50,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Z3,A0A075B6Z3_HUMAN,TRAJ6,T cell receptor alpha joining 6 (Fragment),21,2017.2718799999998,2.0172718799999996,TRAJ6,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6W3,A0A075B6W3_HUMAN,TRAJ33,T cell receptor alpha joining 33 (Fragment),19,2017.3553799999997,2.0173553799999997,TRAJ33,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6W8,A0A075B6W8_HUMAN,TRAJ17,T cell receptor alpha joining 17 (Fragment),21,2027.4409799999996,2.0274409799999997,TRAJ17,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B702,A0A075B702_HUMAN,TRAJ41,T cell receptor alpha joining 41 (Fragment),21,2040.2601799999995,2.0402601799999998,TRAJ41,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B712,A0A075B712_HUMAN,TRAJ54,T cell receptor alpha joining 54 (Fragment),20,2041.3809800000001,2.04138098,TRAJ54,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0N4Z8,A0N4Z8_HUMAN,TRAJ9,T cell receptor alpha joining 9 (Fragment),20,2042.3683799999997,2.0423683799999997,TRAJ9,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0AAQ5BH44,A0AAQ5BH44_HUMAN,,Uncharacterized protein,16,2048.47318,2.04847318,,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A0J9YWN2,A0A0J9YWN2_HUMAN,IGHJ2,Immunoglobulin heavy joining 2 (Fragment),18,2050.3007799999996,2.0503007799999997,IGHJ2,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Y9,TJA42_HUMAN,TRAJ42,T cell receptor alpha joining 42,20,2051.3731799999996,2.0513731799999997,TRAJ42,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6V8,A0A075B6V8_HUMAN,TRAJ5,T cell receptor alpha joining 5 (Fragment),20,2060.3004799999994,2.0603004799999995,TRAJ5,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B714,A0A075B714_HUMAN,TRAJ7,T cell receptor alpha joining 7 (Fragment),20,2061.3279799999996,2.0613279799999997,TRAJ7,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B704,A0A075B704_HUMAN,TRAJ57,T cell receptor alpha joining 57 (Fragment),21,2061.3659799999996,2.0613659799999997,TRAJ57,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6X8,A0A075B6X8_HUMAN,TRAJ44,T cell receptor alpha joining 44 (Fragment),21,2066.3420799999994,2.0663420799999996,TRAJ44,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6V7,A0A075B6V7_HUMAN,TRAJ26,T cell receptor alpha joining 26 (Fragment),20,2081.31528,2.0813152799999997,TRAJ26,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Z8,A0A075B6Z8_HUMAN,TRAJ25,T cell receptor alpha joining 25 (non-functional) (Fragment),20,2081.4453799999997,2.0814453799999995,TRAJ25,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6X0,A0A075B6X0_HUMAN,TRAJ45,T cell receptor alpha joining 45 (Fragment),22,2089.33528,2.08933528,TRAJ45,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A087X096,A0A087X096_HUMAN,TRAJ37,T cell receptor alpha joining 37 (Fragment),22,2090.3639799999996,2.09036398,TRAJ37,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B710,A0A075B710_HUMAN,TRAJ39,T cell receptor alpha joining 39 (Fragment),21,2092.4185799999996,2.0924185799999995,TRAJ39,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Y1,A0A075B6Y1_HUMAN,TRAJ30,T cell receptor alpha joining 30 (Fragment),19,2093.4597799999997,2.09345978,TRAJ30,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B709,A0A075B709_HUMAN,TRAJ13,T cell receptor alpha joining 13 (Fragment),21,2095.3830799999996,2.0953830799999995,TRAJ13,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6W7,A0A075B6W7_HUMAN,TRAJ38,T cell receptor alpha joining 38 (Fragment),21,2095.3887799999998,2.09538878,TRAJ38,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A0A0MT97,A0A0A0MT97_HUMAN,TRGJP1,T cell receptor gamma joining P1 (Fragment),20,2096.4540799999995,2.0964540799999996,TRGJP1,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Y3,TJA3_HUMAN,TRAJ3,T cell receptor alpha joining 3,20,2097.4018799999994,2.0974018799999996,TRAJ3,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Z5,A0A075B6Z5_HUMAN,TRAJ4,T cell receptor alpha joining 4 (Fragment),21,2105.4269799999997,2.10542698,TRAJ4,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A0A0MT84,A0A0A0MT84_HUMAN,TRGJP2,T cell receptor gamma joining P2 (Fragment),20,2107.4374799999996,2.1074374799999998,TRGJP2,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
A0A075B6Z2,A0A075B6Z2_HUMAN,TRAJ56,T cell receptor alpha joining 56 (Fragment),21,2110.4410799999996,2.1104410799999997,TRAJ56,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,108,0,0,1,6.15,routine,standard full-blot and antibody-validation checks
