gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
ADGRV1	F1N0A6	Adhesion G-protein coupled receptor V1	689.6967672800095	1	0.0	-0.0	1.0	53.516796300007286	99.9713832878401
SYNE2	F1MF78	Nesprin-2	797.8915941799931	1	0.0	-0.0	1.0	24.494341599995778	99.9713832878401
MDN1	A0AAA9TK27	Midasin	636.1799709800022	1	0.0	-0.0	1.0	23.548485299994695	99.9713832878401
FSIP2	F1MB15	Fibrous sheath interacting protein 2	760.5891786799948	1	0.0	-0.0	1.0	12.808073900002569	99.9713832878401
NEB	F1MT60	Nebulin	773.3972525799974	1	0.0	-0.0	1.0	12.808073900002569	99.9713832878401
HMCN1	E1BE11	Hemicentin-1	612.6314856800075	1	0.0	-0.0	1.0	9.20834220000279	99.9713832878401
MACF1	A0AAA9T0L5	Microtubule actin crosslinking factor 1	855.2150917799909	1	0.0	-0.0	1.0	7.5719854000032	99.9713832878401
DST	A0AAA9SCC2	Dystonin	862.7870771799941	1	0.0	-0.0	1.0	7.5719854000032	99.9713832878401
LYST	Q9TTK4	Lysosomal-trafficking regulator	428.6009518800055	1	0.0	-0.0	1.0	5.636376500000267	99.9713832878401
FAT3	F1MC84	Protocadherin Fat 3	499.7452890800114	1	0.0	-0.0	1.0	5.286132300000531	99.9713832878401
DNAH12	A0A3Q1M7D1	Dynein axonemal heavy chain 12	453.1370231800089	1	0.0	-0.0	1.0	5.228863600000295	99.9713832878401
SMG1	A0AAA9TMV7	Serine/threonine-protein kinase SMG1	410.232273480006	1	0.0	-0.0	1.0	4.428852900002028	99.9713832878401
BSN	E1BMN9	Bassoon presynaptic cytomatrix protein	414.661126380008	1	0.0020764524383822813	0.021458882654185846	1.014985334894649	3.51485259999896	99.94056529012944
VPS13C	A0A3Q1MYF8	Vacuolar protein sorting 13 homolog C	418.17597898000696	1	0.0020764524383822813	0.021458882654185846	1.014985334894649	3.51485259999896	99.94056529012944
BRCA2	E1B8X8	BRCA2 DNA repair associated	384.3549800800048	1	0.0026666633013971985	0.028881618812256545	1.020220940986041	3.539626700000781	99.93396143347715
HERC2	E1B782	E3 ubiquitin-protein ligase HERC2	527.0458756800141	1	0.0031636651870763366	0.032313284581479446	1.022650577449963	3.4268016999941437	99.92955886237563
RYR3	A0ABI0NZM1	Ryanodine receptor 3	552.3192170800108	1	0.027784984388502743	0.17929133633022848	1.1323275400656112	2.6770354999955543	99.9251562912741
AHNAK	A0A3Q1NE82	AHNAK nucleoprotein	600.7721528800186	1	0.029781270773032276	0.18894643803466085	1.1399309504605903	2.6509905999861303	99.91855243462182
KMT2D	E1B9N8	Histone-lysine N-methyltransferase 2D	603.4231434800047	1	0.029781270773032276	0.18894643803466085	1.1399309504605903	2.6509905999861303	99.91855243462182
TNXB	A0AAA9RSG2	Tenascin XB	473.0436698800112	1	0.030445616483560478	0.1921102795633722	1.1424335710970734	2.6426551999971934	99.91194857796954
USH2A	A0AAA9S2E1	Usherin	576.6376758800074	1	0.04971830735542504	0.2750898227360016	1.2100694262517304	2.4500539000007393	99.90534472131725
UBR4	A0AAA9TU63	Ubiquitin protein ligase E3 component n-recognin 4	579.0877297800081	1	0.04971830735542504	0.2750898227360016	1.2100694262517304	2.4500539000007393	99.90534472131725
DNAH6	A0A3Q1LW75	Dynein axonemal heavy chain 6	475.6863250800084	1	0.041740976712772104	0.28261450557040174	1.2163972885262617	2.6426551999971934	99.89874086466496
DNAH1	G3N1C8	Dynein axonemal heavy chain 1	487.55055048000935	1	0.076034508807715	0.3731854201058927	1.2952094529107647	2.2736299999990592	99.89433829356345
