gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
OR2AT2C	G3N3A7	Olfactory receptor	35.61432917999999	2209	1536.9767778101009	11.094981283016192	2187.369577386256	0.00020489999999995234	0.0
OR6M2	A0A3Q1MXJ5	Olfactory receptor	35.61453407999999	2210	1536.9369744879755	11.09498123337116	2187.369502115993	1.0600000003080368e-05	0.004402571101524977
CLEC11A	F6QHT8	C-type lectin domain containing 11A	35.614544679999995	2210	1536.9349148414576	11.094981230671278	2187.3694980225164	1.0600000003080368e-05	0.008805142203049954
OR8K1	E1BFA3	Olfactory receptor	35.61261657999999	2208	1537.3083809140535	11.094978789511165	2187.3657968143616	0.001712600000004727	0.01320771330457493
OR2C3	G3N0J3	Olfactory receptor	35.615294179999985	2210	1536.788817428107	11.094978285463737	2187.3650325947033	0.00040340000000327336	0.017610284406088805
OR1E2	A0AAA9THT2	Olfactory receptor family 1 subfamily E member 2	35.61569757999999	2209	1536.710259556679	11.0949781419707	2187.364815035463	0.00040340000000327336	0.022012855507613782
OR6C5H	A0A3Q1M108	Olfactory receptor	35.617619979999965	2210	1536.3348782811051	11.094977199757617	2187.3633864847197	0.0007371000000091499	0.02641542660913876
SLC25A32	G3X7X2	Solute carrier family 25 member 32	35.618357079999974	2211	1536.1905027303678	11.094976725009907	2187.3626666890896	0.00023980000001699864	0.030817997710663736
GCNT7	A0A3Q1MNU1	Glucosaminyl (N-acetyl) transferase family member 7	35.61859687999999	2211	1536.1434801405312	11.094976556978922	2187.3624119265296	0.00023980000001699864	0.03522056881218871
OR56A3H	A0ABI0NP48	Olfactory receptor family 56 subfamily A member 3H	35.60577588	2208	1538.6209385214088	11.094976527823173	2187.3623677216283	0.0011624000000125534	0.03962313991371369
MAPRE1	A0ABI0P6X4	Microtubule-associated protein RP/EB family member 1	35.610764379999985	2207	1537.6655412233772	11.094975957016707	2187.3615022855533	0.00014250000000259888	0.044025711015227564
OR52B4L	F1MJK1	Olfactory receptor family 52 subfamily B member 4L	35.61062187999998	2207	1537.692980708538	11.09497593315772	2187.361466111429	0.00014250000000259888	0.04842828211675254
TAS2R42	F1N2G6	Taste receptor type 2	35.60950808000002	2207	1537.9071323142737	11.094975666542432	2187.361061879115	0.0011137999999633053	0.05283085321827752
OR56A3	A0ABI0NN86	Olfactory receptor family 56 subfamily A member 3	35.60461347999999	2207	1538.8418491569664	11.094975637202289	2187.3610173946727	0.0011624000000125534	0.057233424319802495
OR13P16B	A0A3Q1LQA8	Olfactory receptor family 13 subfamily P member 16B	35.60739027999997	2207	1538.3127654984241	11.094974801125176	2187.359749765753	0.001614399999965599	0.06163599542132747
OR1E1H	A0A3Q1LYP0	Olfactory receptor family 1 subfamily E member 1H	35.61983687999998	2210	1535.899577237752	11.094972861274274	2187.356808639033	0.0012399999999885836	0.06603856652285245
CYB5RL	A0AAA9SH94	NADH-cytochrome b5 reductase	35.62153357999999	2211	1535.5651780086018	11.094971252679478	2187.354369752981	0.0016967000000107646	0.07044113762437743
OR1L8D	A0A3Q1MA51	Olfactory receptor	35.59922868	2209	1539.856808276847	11.094967001912545	2187.3479249259976	0.0015092000000294092	0.0748437087258913
HACD2	F1MXT1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	35.62557348	2212	1534.7637384216596	11.094966082614258	2187.3465311286227	0.0028484999999704996	0.07924627982741628
OR52N2G	A0ABI0P0C3	Olfactory receptor	35.597719479999974	2209	1540.1389728654017	11.09496478412453	2187.3445624203064	0.0011802999999943609	0.08364885092894125
OR10A5G	A0ABI0NUG0	Olfactory receptor	35.59653917999998	2209	1540.3589142902415	11.094962885189235	2187.3416833481933	0.0011802999999943609	0.08805142203046623
OR2C3B	G3N238	Olfactory receptor	35.62842197999997	2210	1534.1942516562826	11.094961381370151	2187.3394033344975	0.00033939999999432757	0.09245399313199121
OR6C5	G3MXH0	Olfactory receptor	35.628761379999965	2210	1534.1261553992094	11.094960764749501	2187.338468446448	0.00033939999999432757	0.09685656423351618
PIM1	Q9N0P9	Serine/threonine-protein kinase pim-1	35.629713579999994	2211	1533.9348332295972	11.094958962242202	2187.335735581232	0.0009522000000288244	0.10125913533504116
PPP2CA	P67774	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	35.59419467999998	2209	1540.7938881512391	11.094958666285322	2187.335286867557	0.0015027999999759345	0.10566170643655504
OR51V1D	A0AAA9RS43	Olfactory receptor	35.63071618	2210	1533.7329457542446	11.094956948566715	2187.3326825581375	0.001002600000006737	0.11006427753808001
PLEKHB1	A0ABZ3NNR8	Pleckstrin homology domain containing B1	35.592691880000004	2209	1541.07136536402	11.094955658095786	2187.3307260199254	0.0015027999999759345	0.11446684863960499
TMEM121	G3MZ75	Transmembrane protein 121	35.63455457999998	2210	1532.9558827317487	11.094948156866838	2187.3193531202887	0.0008569999999750166	0.11886941974112997
