accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
Q3E775,YJ151_YEAST,YJR151W-A,Uncharacterized protein YJR151W-A,16,1976.4100799999999,1.97641008,YJR151W-A,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,1,0,0,0,0.05,routine,standard full-blot and antibody-validation checks
P9WEJ1,YN040_YEAST,YNL040C-A,Uncharacterized protein YNL040C-A,26,2712.0750799999996,2.7120750799999995,YNL040C-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
P08521,AAP_YEAST,YOR302W,Arginine attenuator peptide,25,2979.24478,2.97924478,YOR302W,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
P0C5S1,YP60A_YEAST,YPR160W-A,Uncharacterized protein YPR160W-A,26,3067.846580000001,3.0678465800000008,YPR160W-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
P0C5N4,YH73B_YEAST,YHR073C-B,Uncharacterized protein YHR073C-B,26,3070.57408,3.0705740799999997,YHR073C-B,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
Q8TGN3,YJ77A_YEAST,YJL077W-A,Uncharacterized protein YJL077W-A,28,3077.76988,3.07776988,YJL077W-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
Q8TGS7,YM182_YEAST,YMR182W-A,Uncharacterized protein YMR182W-A,28,3090.81478,3.09081478,YMR182W-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
Q8TGS6,YM242_YEAST,YMR242W-A,Uncharacterized protein YMR242W-A,29,3100.55748,3.10055748,YMR242W-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
Q3E801,YJ136_YEAST,YJL136W-A,Uncharacterized protein YJL136W-A,27,3143.826579999999,3.143826579999999,YJL136W-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
Q8TGU0,YG007_YEAST,YGL007C-A,Uncharacterized protein YGL007C-A,28,3168.7416799999996,3.1687416799999997,YGL007C-A,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,34,0,0,1,2.45,routine,standard full-blot and antibody-validation checks
