gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
CELA2A	A0A3Q2U6P1	pancreatic elastase II	35.348941779999976	2417	1562.2169483274881	11.287912312842376	2500.3464820034696	0.0008055000000268819	0.0
	A0A8V0XC55	Olfactory receptor	35.34974728	2416	1562.2555020450197	11.287909455528085	2500.3415299737876	0.00036880000000394375	0.002287701317715829
KCNK17	A0A8V0ZJF6	Potassium channel subfamily K member	35.35011608000001	2416	1562.273287381847	11.287909351429834	2500.3413495606287	0.00036880000000394375	0.004575402635431658
HMOX2	A0A8V0YXK7	Heme oxygenase	35.351957079999984	2416	1562.3618813675284	11.287908795464475	2500.3403860147173	0.001840999999977555	0.006863103953147487
ANXA13	A0A1D5NUB1	Annexin	35.343048679999995	2417	1561.9299436024476	11.287908259078883	2500.3394564029327	0.0007844000000218898	0.009150805270863316
SLC25A19	A0A8V1ANF1	Mitochondrial thiamine pyrophosphate carrier	35.33497037999999	2420	1561.5318853389945	11.287905955368391	2500.335463837994	0.0011231000000009317	0.011438506588579145
CYP39A1	A0A8V0XZ86	Cytochrome P450 family 39 subfamily A member 1	35.333847279999986	2421	1561.476110381559	11.287905835989863	2500.3352569430185	0.0003533000000217612	0.013726207906294974
DCUN1D1	A0A8V0YY81	DCN1-like protein	35.333493979999965	2421	1561.4585406014048	11.287905788979266	2500.335175468937	0.0003533000000217612	0.016013909224010803
	A0A8V1A9C1	C2H2-type domain-containing protein	35.342264279999974	2417	1561.8912544284292	11.287905728265336	2500.3350702456123	0.0007844000000218898	0.01830161054172663
SHISA4	A0A8V0ZU11	Shisa family member 4	35.34420197999997	2418	1561.985897696859	11.287905439620845	2500.3345699958354	0.0011532999999772642	0.02058931185944246
MFF	A0A8V1ABG1	Mitochondrial fission factor	35.32926098	2420	1561.2471309620182	11.287904895311305	2500.3336266532265	0.00020589999999742759	0.02287701317715829
ARPP21	A0A8V0Z5J8	cAMP regulated phosphoprotein 21	35.32476427999999	2418	1561.0207499146711	11.28790336762202	2500.3309790175454	0.000586699999999496	0.02516471449487412
C1orf198	A0A8V0XPL3	Chromosome 1 open reading frame 198	35.329611779999965	2420	1561.2643785273308	11.287902349334757	2500.329214227193	0.00014489999996669667	0.027452415812589948
LDLRAD3	A0A8V1A985	Low density lipoprotein receptor class A domain containing 3	35.32946688	2420	1561.257117076289	11.287902309603869	2500.329145369743	0.00014489999996669667	0.029740117130305777
SGCZ	A0A8V0YUC0	Sarcoglycan zeta	35.355646880000016	2416	1562.537826345196	11.287902203414886	2500.328961334037	0.0003102000000083649	0.032027818448021605
TMEM59L	A0A8V1AKG7	Transmembrane protein 59 like	35.32624497999994	2419	1561.095161665517	11.287901285348234	2500.327370236928	0.00040979999993595584	0.034315519765737434
ARG2	A0A8V0ZIH2	Arginase	35.325835180000006	2418	1561.0744944803519	11.28790113582179	2500.3271110934334	0.00040979999993595584	0.03660322108345326
SLC25A33	E1C5T1	Solute carrier family 25 member 33	35.32417757999999	2417	1560.9907415758516	11.28790048289945	2500.3259795174486	0.000586699999999496	0.03889092240116909
