gene_primary	accession	protein_name	mw_kda	mw_window_count	mw_gaussian_ambiguity	mw_identity_entropy_bits	mw_effective_candidate_number	mw_nearest_neighbor_gap_kda	mw_auditability_score_0_100
MDN1	Q12019	Midasin	559.307683380008	1	0.0	-0.0	1.0	87.9600450000006	99.90933069568084
TRA1	P38811	SAGA complex/NuA4 acetyltransferase complex subunit TRA1	433.1799785800061	1	0.0	-0.0	1.0	38.16765980000133	99.90933069568084
DYN1	P36022	Dynein heavy chain, cytoplasmic	471.3476383800074	1	0.0	-0.0	1.0	38.16765980000133	99.90933069568084
TOM1	Q03280	E3 ubiquitin-protein ligase TOM1	374.1847755800049	1	0.0	-0.0	1.0	16.335307200000386	99.90933069568084
CSF1	Q12150	Protein CSF1	338.25769208000435	1	0.0	-0.0	1.0	12.722229900001082	99.90933069568084
NUM1	Q00402	Nuclear migration protein NUM1	313.03296518000406	1	0.0	-0.0	1.0	8.491525499999966	99.90933069568084
TEL1	P38110	Serine/threonine-protein kinase TEL1	321.524490680004	1	0.0	-0.0	1.0	8.491525499999966	99.90933069568084
GCN1	P33892	eIF-2-alpha kinase activator GCN1	296.6982214800034	1	0.0	-0.0	1.0	6.781058700000131	99.90933069568084
FMP27	Q06179	Protein FMP27, mitochondrial	303.4792801800035	1	0.0	-0.0	1.0	6.781058700000131	99.90933069568084
VPS13	Q07878	Intermembrane lipid transfer protein VPS13	357.8494683800045	1	0.0	-0.0	1.0	6.180931199999861	99.90933069568084
CCH1	P50077	Calcium-channel protein CCH1	234.5990771800022	1	0.0021666841417546934	0.02225681966658511	1.0155468661645535	3.502729599999384	99.81866139136169
TAO3	P40468	Cell morphogenesis protein PAG1	269.8578840800022	1	0.0023112124922977095	0.023523455726132684	1.016438872503665	3.484245400000873	99.79393339927465
MEC1	P38111	Serine/threonine-protein kinase MEC1	273.34212948000305	1	0.0023112124922977095	0.023523455726132684	1.016438872503665	3.484245400000873	99.79393339927465
GLT1	Q12680	Glutamate synthase [NADH]	238.1018067800016	1	0.09711857908840282	0.4556698098629171	1.3714193754195723	2.1776271000010183	99.7692054071876
HFA1	P32874	Acetyl-CoA carboxylase, mitochondrial	259.1634016800028	2	0.22088782030933873	0.6969190186758086	1.621039245079909	1.7437464000006457	99.75272007912957
HOB2	Q06116	Protein YPR117W	285.9039125800025	2	0.25366959889480767	0.7265867830610377	1.6547196192244147	1.656334900000786	99.72799208704252
UTP20	P35194	U3 small nucleolar RNA-associated protein 20	287.5602474800033	2	0.25366959889480767	0.7265867830610377	1.6547196192244147	1.656334900000786	99.72799208704252
POL2	P21951	DNA polymerase epsilon catalytic subunit A	255.67110028000292	2	0.22555266999009382	0.7382354390640631	1.6681342948184572	1.7485549999992145	99.70326409495549
SEC16	P48415	COPII coat assembly protein SEC16	241.695785280002	2	0.3729905934517139	0.8832347633214096	1.8445063596886546	1.4163513999993995	99.68677876689746
IRA1	P18963	Inhibitory regulator protein IRA1	350.97992198000543	2	0.7889159848901195	0.9899332891000046	1.986093150865508	0.6886151999992194	99.66205077481042
IRA2	P19158	Inhibitory regulator protein IRA2	351.66853718000465	2	0.7889159848901195	0.9899332891000046	1.986093150865508	0.6886151999992194	99.66205077481042
PRP8	P33334	Pre-mRNA-splicing factor 8	279.50382248000284	2	0.3811463140023108	1.0969339342307465	2.13899622182839	1.6359643000005235	99.63732278272339
DCK1	Q06409	DOCK-like protein 1	221.5632507800016	2	0.3027640341277751	1.0982687381446918	2.1409761702343437	1.8906166999995833	99.62083745466535
SEN1	Q00416	Helicase SEN1	252.49713358000187	2	0.3740521022296952	1.1054094414929754	2.1515993250824508	1.6249403999989624	99.60435212660732
